Bacteria,Bacteria2
Acinetobacter baumannii,Acinetobacter baumannii
Citrobacter freundii,Citrobacter spp
Citrobacter koseri,Citrobacter spp
Enterobacter asburiae,Enterobacter spp
Enterobacter cloacae,Enterobacter spp
Enterococcus faecalis,Enterococcus faecalis
Enterococcus faecium,Enterococcus faecium
Enterococcus hirae,Other enterococci
Escherichia coli,Escherichia coli
Haemophilus influenzae,Haemophilus influenzae
Klebsiella pneumoniae,Klebsiella pneumoniae
Morganella morganii,Morganella spp
Mycobacterium tuberculosis 7H11,Mycobacterium tuberculosis
Proteus mirabilis,Proteus spp
Proteus vulgaris,Proteus spp
Pseudomonas aeruginosa,Pseudomonas aeruginosa
Salmonella enterica,Non-typhoidal Salmonella
Salmonella Typhi,Salmonella enterica serotype Typhi
Serratia liquefaciens,Serratia spp
Serratia marcescens,Serratia spp
Staphylococcus aureus,Staphylococcus aureus
Staphylococcus aureus MRSA,Staphylococcus aureus
Staphylococcus aureus MSSA,Staphylococcus aureus
Streptococcus agalactiae,Group B Streptococcus
Streptococcus pneumoniae,Streptococcus pneumonia
Streptococcus pyogenes,Group A Streptococcus
