Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter anitratus,0,0,0,0,0,0,0,0,4,30,60,43,17,13,16,0,0,0,0,1,183,ID,
Acinetobacter baumannii,0,0,0,0,0,0,0,3,45,294,690,517,230,135,149,50,11,70,0,8,2194,8, 2-16
Acinetobacter calcoaceticus,0,0,0,0,0,0,0,0,5,26,55,41,18,16,10,0,0,0,0,1,171,ID,
Acinetobacter lwoffii,0,0,0,0,0,0,0,0,74,87,45,25,13,6,9,0,0,0,0,1,259,ID,
Acinetobacter pittii,0,0,0,0,0,0,0,0,0,4,20,10,1,0,3,0,0,0,0,1,38,ID,
Aeromonas hydrophila,0,0,0,0,0,0,0,0,4,5,27,11,8,0,0,0,0,0,0,1,55,-,
Alcaligenes faecalis,0,0,0,0,0,0,0,0,0,0,1,15,7,0,0,0,0,0,0,1,23,ID,
Chryseobacterium spp,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,2,0,0,2,1,19,ID,
Citrobacter amalonaticus,0,0,0,0,0,0,0,0,1,6,18,5,1,0,1,0,0,0,0,1,32,ID,
Citrobacter braakii,0,0,0,0,0,0,0,0,0,9,20,4,0,0,1,0,0,0,0,1,34,ID,
Citrobacter freundii,0,0,0,0,0,0,0,1,28,371,617,139,38,26,19,4,0,1,0,6,1244,8, 2-16
Citrobacter koseri,0,0,0,0,0,0,0,0,68,240,164,27,5,0,2,0,0,0,0,3,506,-4, 2-16
Enterobacter amnigenus,0,0,0,0,0,0,0,0,1,10,7,3,0,0,0,0,0,0,0,1,21,ID,
Enterobacter asburiae,0,0,0,0,0,0,0,0,0,6,10,5,0,3,0,0,0,0,0,1,24,ID,
Enterobacter cloacae,0,0,0,0,0,2,9,70,425,2108,3095,475,177,202,93,13,0,2,4,15,6675,8, 1-8
Enterobacter sakazakii,0,0,0,0,0,0,0,0,0,19,27,2,2,2,0,0,0,0,0,1,52,ID,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,1,1,1,3,16,5,46,22,3,2,98,ID,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,0,0,1,2,6,10,25,8,0,0,1,52,ID,
Escherichia coli,0,0,0,2,1,0,1,28,329,4723,15660,6316,1134,191,56,36,4,5,45,21,28531,8, 4-8
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,0,10,66,11,0,0,0,0,0,0,0,2,87,((8)),
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,0,0,14,67,32,4,0,0,0,0,0,0,2,117,((8)),
Haemophilus influenzae,0,0,0,0,0,0,0,0,5,7,184,670,830,98,5,0,0,0,0,2,1799,ID,
Klebsiella aerogenes,0,0,0,1,0,0,0,4,25,426,1101,396,180,147,88,21,4,1,4,14,2398,8, 4-16
Klebsiella oxytoca,0,0,0,0,0,1,1,6,65,1156,1454,385,69,41,28,13,4,0,1,17,3224,8, 2-8
Klebsiella ozaenae,0,0,0,0,0,0,0,0,6,8,7,2,0,1,0,0,0,0,0,1,24,ID,
Klebsiella pneumoniae,0,0,0,0,0,0,0,14,373,5348,4478,566,386,612,104,21,6,25,77,15,12010,8, 2-8
