Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Bacteroides fragilis group,0,0,0,0,0,283,356,305,190,80,73,45,35,61,91,25,98,0,0,1,1642,ID,
Burkholderia pseudomallei,0,0,0,0,0,0,0,0,2,6,126,159,15,3,3,5,33,0,0,7,352,8, 2-8
Clostridium perfringens,0,0,0,0,24,49,5,2,2,2,0,0,0,0,0,0,0,0,0,1,84,ID,
Cutibacterium acnes,0,0,0,0,6,57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,64,ID,
Enterococcus faecalis,0,0,0,0,0,0,22,28,522,766,328,168,19,11,2,0,0,0,177,1,2043,ID,
Escherichia coli,0,0,0,0,0,0,0,0,0,419,2121,3316,1786,997,501,313,230,389,65,3,10137,ID,
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,0,0,0,10,84,0,0,0,0,0,0,2,94,ID,
Haemophilus influenzae,0,0,0,0,0,0,29,135,294,126,77,21,14,2,5,0,0,0,254,4,957,-2,0.5 - 8
Haemophilus influenzae ATCC 49247,0,0,0,0,0,0,0,0,0,1,15,61,0,0,0,0,0,0,0,2,77,ID,
Haemophilus influenzae ATCC 49766,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,1,16,ID,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,0,543,704,334,175,77,46,33,47,105,86,2,2150,ID,
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,1,32,ID,
Proteus mirabilis,0,0,0,0,0,0,0,0,5,34,7,1,1,0,2,0,0,0,0,1,50,ID,
Proteus vulgaris,0,0,0,0,0,0,0,0,0,20,78,132,73,26,10,5,2,19,127,1,492,ID,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,1,32,ID,
Streptococcus pneumoniae ATCC 49619,0,0,0,0,10,101,0,0,0,0,0,0,0,0,0,0,0,0,0,2,111,ID,
