Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Actinobacillus pleuropneumoniae,0,0,0,0,0,1,18,90,20,1,0,0,6,0,0,0,0,0,0,4,136,-0.5,0.125 - 2
Actinobaculum schaalii,0,0,0,0,2,18,19,8,1,0,0,0,0,0,0,0,0,0,0,1,48,ID,
Actinomyces israelii,0,0,0,0,1,11,35,41,9,1,0,0,0,0,0,0,0,0,0,1,98,ID,
Bacteroides fragilis,0,0,0,0,1,0,0,1,5,10,7,5,30,177,176,88,144,0,0,1,644,ID,
Bacteroides fragilis group,0,0,0,0,0,8,11,53,63,44,29,17,98,352,380,102,411,0,0,1,1568,ID,
Bacteroides thetaiotaomicron,0,0,0,0,0,2,6,12,7,2,0,5,12,49,78,17,42,0,0,1,232,ID,
Bordetella bronchiseptica,0,0,0,0,0,0,0,0,0,0,0,3,77,0,0,0,0,0,0,2,80,ID,
Campylobacter coli,0,0,0,0,0,0,0,7,37,120,204,170,153,7,10,92,0,0,0,6,800,16,16 - 64
Campylobacter jejuni,0,0,0,0,0,0,0,1,1,17,27,89,135,19,40,72,0,0,0,5,401,16,16 - 64
Clostridioides difficile,0,0,0,0,2,0,8,11,102,316,62,8,0,0,0,0,0,0,0,2,509,ID,
Clostridium perfringens,0,0,0,0,25,70,11,2,4,1,1,1,0,0,0,0,0,0,0,1,115,ID,
Cutibacterium acnes,0,0,0,0,7,93,9,19,12,1,4,2,1,0,0,0,0,0,0,1,148,ID,
Enterobacter agglomerans,0,0,0,0,0,0,0,0,0,1,3,38,23,12,9,14,16,8,0,1,124,ID,
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,1,3,12,13,27,62,99,147,95,365,6,824,ID,1024 - 1024
Enterobacter dissolvens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,1,37,ID,
Enterococcus faecium,0,0,0,0,0,9,26,130,281,235,937,431,21,7,14,0,0,0,0,9,2091,ID, 4-32
Escherichia coli,0,0,0,0,0,0,0,0,9,94,735,1614,511,24,6,718,611,53,275,19,4650,8, 8-16
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,0,0,0,21,79,0,0,0,0,0,0,2,100,ID,
Haemophilus influenzae,0,0,0,0,9,36,698,7885,11398,2915,1361,518,459,740,2269,195,46,8,1,17,28538,2,0.5 - 2
Haemophilus influenzae ATCC 49247,0,0,0,0,0,0,0,0,0,0,1,77,0,0,0,0,0,0,0,2,78,ID,
Haemophilus influenzae ATCC 49766,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,1,29,ID,
Haemophilus parainfluenzae,0,0,0,0,0,0,63,148,133,21,8,3,5,7,28,0,0,0,0,1,416,ID,
Haemophilus parasuis,0,0,0,0,11,17,4,5,2,2,2,0,4,0,0,0,0,0,0,1,47,ID,
Helicobacter pylori,4,0,14,1075,150,68,38,19,13,7,5,10,32,19,44,0,0,0,0,2,1498,ID,
Kingella kingae,0,0,1,2,26,69,65,12,11,8,7,1,0,0,0,0,0,0,0,1,202,ID,
Legionella pneumophila,0,0,0,0,0,0,1,3,18,20,25,16,12,2,3,0,0,0,0,1,100,ID,
Mannheimia haemolytica,0,0,0,3,5,18,71,150,27,2,0,2,32,9,24,13,0,0,0,10,356,0.5,
Moraxella catarrhalis,2,0,21,55,6,8,4,0,7,13,24,98,225,318,267,159,41,16,1,3,1265,-0.03,0.002 - 0.5
Neisseria meningitidis,0,0,0,0,9,105,431,85,129,59,0,0,0,0,0,0,0,0,0,1,818,ID,
Pasteurella multocida,0,0,0,5,10,23,50,148,166,9,0,1,6,1,0,9,0,0,0,11,428,0.5,0.25 - 1
Porphyromonas spp,0,0,0,0,1,47,5,3,1,2,0,0,0,1,0,0,0,0,0,1,60,-,
Proteus mirabilis,0,0,0,0,0,0,0,13,236,80,11,50,2,4,18,17,10,13,107,4,561,-2,0.5 - 4
Salmonella enterica,0,0,0,0,0,0,0,6,2418,5791,207,6,4,2,14,1148,553,0,0,6,10149,4, 1-2
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,1,32,ID,
Staphylococcus hyicus,0,0,0,0,0,1,12,38,1,1,3,8,12,0,0,0,0,0,0,3,76,-0.5,0.125 - 1.000
Streptococcus agalactiae,0,0,0,9,56,254,19,0,0,0,0,0,0,0,0,0,0,0,0,5,338,0.125,0.06 - 0.25
Streptococcus anginosus,0,0,0,2,4,25,27,8,0,1,0,0,0,0,0,0,0,0,0,3,67,ID,
Streptococcus bovis,0,0,0,0,3,21,14,1,1,0,0,0,0,0,0,0,0,0,0,1,40,ID,
Streptococcus group G,0,0,33,138,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,4,188,-0.03,0.016 - 0.03
Streptococcus intermedius,0,0,0,0,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,17,ID,
Streptococcus oralis,0,0,4,41,62,26,23,12,9,6,5,5,0,3,0,0,0,0,0,4,196,-0.125,0.016 - 2
Streptococcus pneumoniae,2,150,1474,2717,2455,245,210,104,156,372,301,45,32,11,0,0,0,0,0,12,8274,0.06,0.016 - 0.06
Streptococcus pneumoniae ATCC 49619,0,0,0,0,4,97,10,0,0,0,0,0,0,0,0,0,0,0,0,2,111,ID,
Streptococcus pyogenes,0,3,77,207,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,300,-0.06,0.008 - 0.06
Streptococcus sanguinis,0,0,0,0,1,2,11,9,9,2,2,0,1,0,0,0,0,0,0,1,37,ID,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,0,1,1,1,1,16,36,81,14,0,0,1,151,ID,
