Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter lwoffii,0,0,0,0,0,0,0,13,10,10,14,8,3,7,3,11,0,0,0,1,79,-,
Citrobacter freundii,0,0,0,0,0,0,0,16,18,159,139,154,97,53,70,145,7,116,28,4,1002,-,
Citrobacter koseri,0,0,0,0,0,0,0,0,0,3,82,28,9,4,0,4,0,0,0,1,130,-,
Enterobacter cloacae,0,0,0,0,0,0,0,16,5,99,184,395,514,534,544,874,78,384,55,4,3682,-,
Enterobacter sakazakii,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,1,11,-,
Enterococcus faecalis,0,0,0,0,0,0,1,39,290,2173,1165,138,11,10,13,16,0,0,179,4,4035,-4,
Enterococcus faecium,0,0,0,0,0,0,0,3,10,11,13,10,9,39,92,36,0,0,0,1,223,-,
Escherichia coli,0,0,0,0,0,0,6,11,71,393,2935,1949,744,1998,1605,1085,0,0,0,2,10797,-,
Haemophilus influenzae,0,0,0,0,0,0,11,189,31,68,54,30,12,1,0,0,0,0,0,3,396,-1,
Haemophilus parainfluenzae,0,0,0,0,0,0,0,8,2,1,2,0,0,0,0,0,0,0,0,1,13,-,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,1,23,24,67,109,133,98,139,26,73,46,2,739,-,
Klebsiella oxytoca,0,0,0,0,0,0,11,4,14,22,56,187,247,82,39,110,0,0,0,2,772,-,
Klebsiella pneumoniae,0,0,0,0,0,0,6,4,24,836,653,1659,727,273,299,655,22,167,88,3,5413,-,
Morganella morganii,0,0,0,0,0,0,0,0,0,9,16,40,108,221,181,60,15,15,96,2,761,-,
Proteus mirabilis,0,0,0,0,0,0,0,13,219,945,407,134,89,102,86,50,0,0,0,3,2045,-4,
Proteus vulgaris,0,0,0,0,0,0,0,1,0,92,206,316,162,58,17,6,4,0,128,5,990,16,
Providencia rettgeri,0,0,0,0,0,0,0,1,1,2,2,1,1,6,5,1,0,0,0,1,20,-,
Providencia stuartii,0,0,0,0,0,0,0,0,0,0,1,6,3,15,17,2,0,0,0,1,44,-,
Pseudomonas fluorescens group,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,0,1,23,-,
Pseudomonas putida group,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,0,0,0,1,25,-,
Salmonella Enteritidis,0,0,0,0,0,0,0,0,3,68,201,12,8,14,5,1,0,0,0,1,312,-,
Salmonella Group B,0,0,0,0,0,0,0,1,1,22,18,6,0,1,15,4,0,0,0,1,68,-,
Salmonella Group C,0,0,0,0,0,0,0,0,1,8,4,0,0,2,1,1,0,0,0,1,17,-,
Salmonella Group D,0,0,0,0,0,0,0,0,4,33,75,6,1,10,10,1,0,0,0,1,140,-,
Salmonella Paratyphi,0,0,0,0,0,0,0,0,1,12,19,4,0,0,0,0,0,0,0,1,36,-,
Salmonella Typhi,0,0,0,0,0,0,0,16,63,10,10,1,2,3,15,4,0,0,0,1,124,-,
Salmonella Typhimurium,0,0,0,0,0,0,0,2,2,7,21,1,1,8,38,15,0,0,0,1,95,-,
Serratia liquefaciens,0,0,0,0,0,0,0,0,0,2,7,15,19,27,20,18,5,6,136,2,255,-,
Serratia marcescens,0,0,0,0,0,0,0,0,1,0,5,32,80,221,512,401,35,31,152,3,1470,-,
Shigella flexneri,0,0,0,0,0,0,0,1,0,6,10,1,3,73,90,2,0,0,0,1,186,-,
Shigella sonnei,0,0,0,0,0,0,0,0,0,3,39,27,3,59,12,5,0,0,0,1,148,-,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,2,0,14,19,21,29,75,440,0,0,0,2,600,-,
