Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Campylobacter coli,0,0,0,75,1289,4362,2577,547,52,20,5,1,1,1,0,11,862,123,2,28,9928,0.5,0.125 - 0.5
Campylobacter jejuni,0,0,0,2052,9805,9891,3888,1176,186,62,12,14,10,2,5,7,276,15,85,41,27486,0.25,0.125 - 0.25
Campylobacter upsaliensis,0,0,0,0,0,3,16,4,2,0,0,0,0,0,0,0,0,0,0,1,25,ID,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,0,0,0,0,0,1,31,2,0,0,0,0,0,1,34,ID,
Escherichia coli,0,0,0,0,0,0,0,3,36,269,2762,6548,907,31,28,0,0,0,0,3,10584,-16, 4-16
Haemophilus influenzae,0,0,0,0,0,59,277,877,5441,15656,8887,1181,118,35,37,8,6,9,9,7,32600,4, 1-8
Haemophilus parainfluenzae,0,0,0,0,0,6,35,83,139,113,37,3,0,0,0,0,0,0,0,1,416,ID,
Legionella pneumophila,0,0,0,0,3,43,108,18,7,3,0,0,1,0,0,0,0,0,0,1,183,ID,
Neisseria gonorrhoeae,0,0,4,31,1620,2501,4527,4917,1744,276,99,70,44,7,2,5,0,14,0,16,15861,1,0.25 - 2
Neisseria meningitidis,0,0,0,0,1,8,15,25,128,92,30,1,0,0,0,0,0,0,0,2,300,ID,
Salmonella enterica,0,0,0,0,0,0,2,2,14,116,3672,13721,2577,176,19,0,0,0,0,7,20299,16, 4-16
Salmonella Typhi,0,0,0,0,0,0,0,0,0,0,9,29,89,35,3,1,0,0,0,5,166,32, 4-64
Shigella flexneri,0,0,0,0,0,0,0,0,0,1,18,10,0,0,2,0,0,0,1,1,32,ID,
Shigella sonnei,0,0,0,0,0,0,0,0,0,0,4,31,367,19,0,1,1,2,1,2,426,ID,
Staphylococcus aureus,0,0,0,0,2,5,7,345,1873,1869,182,31,29,86,30,1218,1646,0,0,3,7323,-2, 1-4
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,3,84,8,0,0,0,0,0,0,0,0,2,95,ID,
Streptococcus pneumoniae,0,2,380,218,1881,17696,27701,1821,236,267,672,2669,3053,2610,1654,571,5543,4094,0,7,71068,0.125,0.03 - 0.25
Streptococcus pneumoniae ATCC 49619,0,0,0,0,0,12,65,32,2,0,0,0,0,0,0,0,0,0,0,2,111,ID,
Streptococcus pyogenes,0,0,0,4,295,2875,15606,3360,108,44,29,117,683,456,151,50,379,186,0,5,24343,0.25,0.03 - 1
Yersinia enterocolitica,0,0,0,0,0,0,0,0,2,18,46,71,14,0,0,0,0,0,0,1,151,ID,
