Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,1,0,1,1,0,0,1,0,10,29,39,49,3,0,0,2,134,-,
Burkholderia cepacia complex,0,0,0,0,0,0,0,1,2,6,2,1,5,0,2,1,0,2,0,3,22,-,
Citrobacter freundii,0,0,0,0,13,20,9,5,1,2,1,2,0,2,8,3,0,0,0,2,66,-,
Enterobacter cloacae,0,0,0,0,11,42,52,20,11,5,10,1,11,12,25,44,1,0,0,3,245,-,
Escherichia coli,0,0,0,4,1103,1085,613,132,36,17,22,37,25,21,36,58,0,3,0,7,3192,0.25,
Klebsiella aerogenes,0,0,0,0,1,10,6,3,3,4,0,1,5,15,23,6,2,0,0,2,79,-,
Klebsiella oxytoca,0,0,0,0,15,33,26,14,25,19,3,1,1,2,6,15,0,0,0,4,160,-,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,1,7,-,
Moraxella catarrhalis,0,0,0,0,0,0,1,11,93,70,102,9,1,0,0,0,0,0,0,1,287,-,
Pseudomonas aeruginosa,0,0,0,0,1,2,6,8,18,52,314,636,273,197,144,41,9,1,0,10,1702,16,
Salmonella enterica,0,0,0,0,12,37,18,3,1,0,0,0,0,0,0,0,0,0,0,2,71,-,
Serratia marcescens,0,0,0,0,7,37,34,23,9,2,5,2,3,2,1,2,0,0,0,3,127,-,
Stenotrophomonas maltophilia,0,0,0,0,1,1,1,0,0,0,4,3,3,2,10,41,5,0,0,2,71,-,
