Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Actinomyces israelii,0,0,0,1,51,41,2,3,0,0,0,0,0,0,0,0,0,0,0,1,98,-,
Actinomyces spp,0,0,0,9,103,93,59,20,17,4,0,0,0,0,0,0,0,0,0,1,305,-,
Aerococcus sanguinicola,0,0,0,2,38,49,10,0,0,0,0,0,0,0,0,0,0,0,0,2,99,-,
Aerococcus spp,0,0,10,55,99,66,11,0,0,0,0,0,0,0,0,0,0,0,0,2,241,-,
Aerococcus urinae,0,0,10,53,61,17,1,0,0,0,0,0,0,0,0,0,0,0,0,2,142,-,
Bacteroides fragilis,0,0,0,0,0,0,0,0,0,0,2,20,44,14,5,4,12,2,0,2,103,-,
Bacteroides fragilis group,0,0,0,0,0,0,0,1,1,11,10,51,91,168,79,105,21,34,19,4,591,-,
Bacteroides thetaiotaomicron,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,1,1,7,0,1,25,-,
Clostridioides difficile,0,0,0,0,1,2,2,56,424,1053,365,262,43,15,4,0,0,0,0,1,2227,ID,
Clostridium butyricum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-,
Clostridium perfringens,0,0,0,12,22,23,11,6,2,0,1,0,0,0,0,0,0,0,0,3,77,-0.125,
Clostridium ramnosum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-,
Clostridium septicum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,
Clostridium sporogenes,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,5,-,
Corynebacterium amycolatum,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,1,12,-,
Corynebacterium jeikeium,0,0,0,1,0,1,0,1,1,0,1,4,9,1,11,48,0,0,0,2,78,-,
Corynebacterium pseudodiphtheriticum,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,-,
Corynebacterium spp,0,0,10,0,0,0,2,2,3,5,1,1,1,4,30,0,0,0,0,5,59,-,
Corynebacterium striatum,0,0,0,0,0,0,0,4,5,6,1,6,1,0,5,0,0,0,0,2,28,-,
Corynebacterium urealyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,1,12,-,
Cutibacterium acnes,0,0,1,118,92,62,30,0,0,0,0,0,0,0,0,0,0,0,0,1,303,-,
Enterococcus avium,0,0,0,0,0,0,0,1,1,15,28,10,3,2,14,29,0,0,0,1,103,-,
Enterococcus casseliflavus,0,0,0,1,0,0,0,0,26,15,8,2,1,1,0,5,0,0,0,1,59,-,
