Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Escherichia coli,0,0,0,0,0,0,0,2,31,60,25,22,3,0,4,2,0,1,0,1,150,ID,
Haemophilus influenzae,0,0,0,0,0,0,2,138,809,3523,9391,8394,3861,1481,497,137,18,1,0,14,28252,16, 8-32
Haemophilus parainfluenzae,0,0,0,0,0,0,0,10,87,92,148,81,29,13,2,0,0,0,0,2,462,ID,
Moraxella catarrhalis,0,0,0,0,0,0,5,255,1463,2170,1452,902,525,244,105,11,1,0,0,5,7133,4,0.5 - 8
Neisseria meningitidis,0,0,0,0,4,15,17,1,0,0,0,0,0,0,0,0,0,0,0,1,37,ID,
Staphylococcus aureus,0,0,0,0,0,0,0,0,147,442,1825,1399,281,118,104,168,754,0,0,2,5238,ID,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,1,1,7,21,6,1,0,0,0,0,0,0,1,37,ID,
Streptococcus agalactiae,0,0,0,0,0,0,1,18,26,10,1,0,0,0,0,0,0,0,0,2,56,ID,
Streptococcus pneumoniae,0,0,0,2,11,258,770,945,300,145,52,10,23,51,76,27,11,0,0,7,2681,1,0.25 - 4
Yersinia enterocolitica,0,0,0,0,0,0,0,0,10,19,42,38,19,16,4,1,0,0,0,1,149,ID,
