Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Actinobacillus pleuropneumoniae,0,0,0,0,0,0,0,2,21,74,36,3,0,0,0,0,0,0,0,4,136,-4,  1-8,
Escherichia coli,0,0,0,0,0,0,0,0,1,0,7,89,124,25,17,1,3,0,0,3,267,-32, 4-32,
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,0,0,0,0,67,5,0,0,0,0,0,1,72,ID,,
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38,0,0,0,0,1,44,ID,,
Haemophilus influenzae,0,0,0,0,0,0,0,0,0,1,0,2,33,38,16,5,1,2,0,1,98,ID,,
Haemophilus parasuis,0,0,0,0,0,0,0,7,1,11,11,4,13,0,0,0,0,0,0,1,47,ID,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,0,0,0,4,44,7,9,0,0,0,0,1,64,ID,,
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,1,0,0,1,31,ID,,
Mannheimia haemolytica,0,0,0,0,0,0,0,1,4,59,145,35,0,0,0,0,0,0,0,7,244,4,,
Moraxella catarrhalis,0,0,0,0,0,0,0,0,0,5,20,5,0,0,0,0,0,0,0,1,30,ID,,
Morganella morganii,0,0,0,0,0,0,0,0,2,0,3,2,2,2,2,11,7,23,0,1,54,ID,,
Neisseria gonorrhoeae,0,0,0,0,2,1,1,10,33,18,27,8,3,1,0,0,0,0,0,1,104,ID,,
Pasteurella multocida,0,0,0,0,0,0,0,0,0,9,130,138,5,0,1,0,0,0,0,7,283,8,  2-8,
Proteus mirabilis,0,0,0,0,0,0,0,0,0,0,0,39,83,27,5,0,0,5,0,2,159,ID,,
Staphylococcus aureus,0,0,0,0,0,0,0,0,1,16,34,13,10,5,5,7,5,6,0,1,102,ID,,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,2,4,43,25,1,0,0,0,0,0,0,3,75,-8,2.000 - 16.000,
Staphylococcus pseudintermedius,0,0,0,0,0,0,0,0,4,82,52,7,14,4,5,0,0,0,0,5,168,4,1.000 - 4.000,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,2,1,11,15,7,1,0,0,0,0,0,1,37,ID,,
Streptococcus agalactiae,0,0,0,0,0,0,0,0,0,3,19,10,0,0,0,0,0,0,0,1,32,ID,,
Streptococcus dysgalactiae,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,1,40,ID,,
Streptococcus pneumoniae,0,0,0,0,0,0,0,1,3,29,7,3,3,0,0,0,1,0,0,1,47,ID,,
Streptococcus uberis,0,0,0,0,0,0,0,6,29,4,0,0,0,0,0,0,0,0,0,1,39,ID,,
