Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Citrobacter freundii,0,0,0,0,0,0,0,0,0,2,1,2,4,3,0,0,0,0,5,1,17,-,
Enterobacter agglomerans,0,0,0,0,0,0,0,0,0,2,11,55,73,24,7,0,10,0,0,1,182,-,
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,0,7,4,4,5,23,21,75,4,45,2,188,-,
Enterobacter dissolvens,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9,68,0,0,1,80,-,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,0,1,2,12,16,5,2,5,0,1,43,-,
Escherichia coli,0,0,0,0,0,0,0,0,1,4,110,598,1800,1060,181,38,51,10,8,14,3861,32,
Hafnia alvei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,51,0,0,1,56,-,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,3,1,11,-,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,10,39,21,16,2,0,0,2,1,2,2,93,-,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,4,20,85,89,23,18,9,2,3,1,4,2,258,-,
Kluyvera spp,0,0,0,0,0,0,0,0,0,0,1,5,13,12,7,64,1,0,0,1,103,-,
Morganella morganii,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,22,1,33,-,
Prevotella spp beta lactamase pos,0,0,0,0,0,0,0,0,2,4,10,4,8,8,6,5,11,0,0,1,58,-,
Proteus mirabilis,0,0,0,0,0,0,0,0,1,9,119,173,32,8,7,5,1,2,6,3,363,-,
Raoultella spp,0,0,0,0,0,0,0,0,3,3,19,17,5,0,1,0,1,0,0,1,49,-,
Salmonella enterica,0,0,0,0,0,0,0,0,3,4,1954,2554,603,162,57,13,10,0,0,4,5360,-16,
Serratia liquefaciens,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,7,57,0,0,1,68,-,
Staphylococcus aureus,0,0,0,0,1,12,136,390,122,30,14,6,1,0,3,2,0,0,0,5,717,1,
Staphylococcus coagulase negative,0,0,0,0,4,9,126,169,116,34,13,5,3,1,7,11,20,1,0,3,519,-,
Staphylococcus saprophyticus,0,0,0,0,0,0,1,5,11,1,0,0,0,0,0,0,0,0,0,1,18,-,
Streptococcus pneumoniae,0,0,0,1,2,13,78,27,8,6,9,1,1,0,0,0,0,0,0,2,146,-,
Streptococcus pyogenes,0,0,0,0,1,18,47,1,0,0,0,0,0,0,0,0,0,0,0,2,67,-,
"Streptococcus, viridans group",0,0,0,0,0,1,11,8,4,0,0,0,1,0,0,0,0,0,0,1,25,-,
Yersinia spp,0,0,0,0,0,0,0,0,0,0,1,3,3,2,4,7,33,0,0,1,53,-,
