Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,0,5,0,1,6,3,2,9,6,18,1,50,-,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,0,1,17,41,5,1,0,0,0,1,65,ID,
Escherichia coli,0,0,0,0,0,0,0,0,37,142,113,41,18,11,17,1,1,0,0,5,381,4,0.5 - 16
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,7,34,13,13,5,1,1,5,1,4,2,84,ID, 2-16
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,5,71,82,17,8,6,12,1,5,1,0,5,208,4, 1-8
Morganella morganii,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,17,28,1,48,ID,
Pasteurella multocida,0,0,0,0,1,1,8,101,96,18,6,1,1,0,0,0,0,0,0,1,233,ID,
Proteus mirabilis,0,0,0,0,0,0,0,0,0,0,38,136,42,14,4,1,3,1,1,4,240,-8,2 - 128
Salmonella enterica,0,0,0,0,0,0,0,0,4,88,87,38,2,0,0,0,0,0,0,5,219,4, 1-4
Staphylococcus aureus,0,0,0,0,0,18,359,3277,7870,4718,878,250,181,157,1343,0,0,0,201,5,19252,2,0.5 - 8
Staphylococcus capitis,0,0,0,0,0,0,70,73,18,4,8,5,3,6,20,0,0,0,209,1,416,ID,
Staphylococcus epidermidis,0,0,0,0,0,0,122,207,88,171,292,207,105,79,198,0,0,0,0,1,1469,ID,
Staphylococcus haemolyticus,0,0,0,0,0,0,3,15,34,5,8,13,10,4,159,0,0,0,0,1,251,ID,
Staphylococcus warneri,0,0,0,0,0,0,12,33,24,8,8,9,9,3,9,0,0,0,246,1,361,ID,
Streptococcus pneumoniae,0,0,0,0,14,147,30,6,5,3,2,2,0,0,0,0,0,0,0,1,209,ID,
