Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Citrobacter freundii,0,0,1,55,331,112,60,31,13,10,4,2,4,1,4,3,0,2,1,4,634,-0.125,0.016 - 0.25,
Enterobacter cloacae,0,0,0,32,388,435,193,139,88,62,36,22,13,21,10,23,26,4,5,3,1497,-0.25,0.03 - 0.5,
Escherichia coli,3,0,24,784,4732,2462,627,203,91,75,54,30,17,11,6,24,88,2,2,3,9235,-0.25,0.03 - 0.5,
Klebsiella aerogenes,0,0,0,6,205,122,71,52,15,7,6,4,1,2,1,0,0,0,0,2,492,ID,,
Klebsiella oxytoca,0,0,0,102,399,93,29,11,16,17,8,10,4,3,2,6,0,1,0,2,701,ID,,
Klebsiella pneumoniae,2,3,6,128,1786,1168,390,258,160,135,133,122,96,112,165,189,263,95,16,4,5227,-0.125,0.016 - 1,
Morganella morganii,0,0,1,34,140,33,5,3,1,0,0,0,0,0,0,0,0,0,0,2,217,ID,,
Proteus mirabilis,0,0,0,2,233,865,105,22,3,1,0,0,0,0,0,0,2,0,0,3,1233,-0.125,0.06 - 0.25,
Pseudomonas aeruginosa,0,0,0,0,7,7,32,54,101,997,1932,867,911,545,251,84,59,26,46,4,5919,-8, 8-64,
Serratia marcescens,0,0,0,3,87,597,333,125,47,21,10,8,3,4,7,4,5,0,0,5,1254,0.25,0.06 - 1,
Stenotrophomonas maltophilia,0,0,0,1,0,0,1,0,0,2,10,17,60,117,104,68,11,2,0,2,393,ID,,
,,,,,,,,,,,,,,,,,,,,,,,,
