Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,3,10,5,4,26,102,224,247,457,774,493,143,28,38,70,6,2624,ID,
Burkholderia cepacia complex,0,0,0,0,0,0,0,2,1,4,34,32,28,8,2,2,0,0,0,2,113,ID,
Citrobacter freundii,0,4,1,91,278,76,60,19,4,1,1,3,0,0,0,0,0,0,0,3,538,-0.125,0.002 - 16
Enterobacter cloacae,0,2,2,28,448,334,190,143,43,13,14,1,1,0,0,0,0,0,0,2,1219,ID,
Escherichia coli,1,48,20,557,6226,2231,1534,242,30,10,7,1,0,0,0,0,0,0,0,3,10907,-0.125,0.03 - 0.125
Klebsiella aerogenes,0,0,1,9,261,116,86,30,14,9,7,2,0,0,0,0,0,0,0,3,535,-0.125,0.004 - 1
Klebsiella oxytoca,0,0,0,63,549,121,67,29,10,3,2,1,0,0,0,0,0,0,0,3,845,-0.125,0.03 - 0.125
Klebsiella pneumoniae,0,11,9,116,1719,614,456,524,235,184,152,25,7,3,4,1,0,0,0,2,4060,ID,
Morganella morganii,0,0,1,17,139,37,8,6,0,0,0,0,0,0,0,0,0,0,0,2,208,ID,
Proteus mirabilis,0,2,11,147,486,185,46,23,3,1,0,1,1,0,0,0,0,0,0,2,906,ID,
Pseudomonas aeruginosa,0,0,1,2,7,13,54,134,669,2466,1250,1089,466,40,6,1,0,0,0,4,6198,-8, 4-16
Serratia marcescens,0,0,0,11,70,504,375,79,33,11,2,1,1,5,0,0,0,0,0,4,1092,-0.25,0.125 - 0.5
Stenotrophomonas maltophilia,0,0,0,1,1,0,1,0,6,31,118,230,196,106,24,6,1,1,0,4,722,-32,16 - 128
