Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,5,27,24,79,316,686,641,480,632,1473,480,647,347,255,17,6092,ID,
Acinetobacter lwoffii,0,0,0,1,0,1,27,58,84,54,34,37,25,36,33,4,1,2,0,2,397,ID,
Acinetobacter pittii,0,0,0,0,0,0,0,0,0,0,3,13,12,4,3,3,0,0,0,1,38,ID,
Alcaligenes faecalis,0,0,0,0,0,0,0,0,0,0,0,1,18,4,0,0,0,0,0,1,23,ID,
Citrobacter freundii,0,0,1,23,325,167,43,38,33,52,31,12,13,15,6,4,4,1,7,5,775,0.125,0.016 - 0.25
Citrobacter koseri,0,0,1,3,14,40,1,5,0,2,0,0,0,0,0,0,0,0,0,1,66,ID,
Enterobacter cloacae,8,23,186,274,705,835,312,202,188,155,191,131,85,75,64,68,56,30,33,27,3621,0.125,0.03 - 0.25
Enterococcus faecalis,0,0,0,0,0,0,5,10,2,3,9,40,96,830,7441,62,26,0,0,2,8524,ID,
Escherichia coli,0,0,99,482,4110,4310,1259,400,201,128,119,193,208,179,214,216,269,129,403,33,12919,0.25,0.06 - 0.25
Escherichia coli NCTC 13846,0,0,0,0,0,0,1,41,2,0,0,0,0,0,0,0,0,0,0,1,44,ID,
Haemophilus influenzae,0,0,0,1,55,191,100,35,16,11,8,0,0,0,0,0,0,0,0,5,417,0.25,0.06 - 0.5
Haemophilus influenzae ATCC 49247,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,1,15,ID,
Hafnia alvei,0,0,1,4,9,7,4,1,1,1,0,0,1,0,0,0,0,0,0,1,29,ID,
Klebsiella aerogenes,0,0,0,12,240,240,84,90,85,68,20,20,12,2,7,4,2,2,5,8,893,0.125,0.06 - 0.25
Klebsiella oxytoca,0,0,32,102,599,363,83,48,23,39,63,75,36,12,12,11,8,2,3,18,1511,0.125,0.03 - 0.125
Klebsiella pneumoniae,0,0,35,168,1903,1970,512,278,168,150,138,143,176,243,283,323,352,215,723,31,7780,0.125,0.06 - 0.25
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,13,21,3,0,0,0,0,0,0,0,0,1,37,ID,
Moraxella catarrhalis,0,0,0,0,0,134,958,1562,2222,1491,621,135,2,0,0,0,0,0,0,3,7125,-4,0.5 - 16
Morganella morganii,0,0,1,24,173,95,13,7,6,3,3,2,6,0,1,0,0,0,1,3,335,-0.125,0.016 - 0.5
Neisseria meningitidis,0,0,0,0,0,49,132,2,1,0,0,0,0,0,0,0,0,0,0,1,184,ID,
Proteus mirabilis,0,0,8,7,239,1261,210,65,26,33,22,24,25,13,18,12,20,8,17,6,2008,0.125,0.06 - 0.125
Proteus vulgaris,0,0,0,1,15,17,7,1,0,0,1,0,0,0,0,0,0,0,0,1,42,ID,
Pseudomonas aeruginosa,0,0,0,3,5,2,20,83,236,1700,3317,1694,1700,1339,618,217,157,82,132,17,11305,8, 8-32
Pseudomonas aeruginosa ATCC 27853,0,0,0,0,0,0,0,0,0,13,61,9,0,0,0,0,0,0,0,2,83,ID,
Pseudomonas fluorescens group,0,0,0,0,0,0,2,0,4,24,59,32,16,15,9,0,0,0,0,2,161,ID,
Pseudomonas stutzeri group,0,0,0,1,1,5,9,3,0,0,0,0,0,0,0,0,0,0,0,1,19,ID,
Salmonella enterica,0,0,0,2,38,234,63,33,18,3,2,5,2,0,0,0,0,0,0,4,400,-0.25,0.06 - 0.25
Serratia marcescens,0,0,2,8,83,770,520,203,86,39,31,12,14,9,7,14,9,3,16,7,1826,0.25,0.125 - 0.5
Staphylococcus aureus,0,0,1,12,9,4,8,34,180,544,2008,831,98,33,13,64,8,12,0,30,3859,8, 2-8
Staphylococcus capitis,0,0,0,0,0,0,8,40,68,42,25,12,20,27,15,1,0,0,0,2,258,ID,
Staphylococcus lugdunensis,0,0,0,0,0,0,1,2,1,16,47,9,4,1,5,0,0,0,0,1,86,ID,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,2,6,28,62,19,18,11,27,0,0,0,0,1,173,ID,
Staphylococcus simulans,0,0,0,0,0,0,0,3,10,23,18,13,12,9,20,0,0,0,0,1,108,ID,
Staphylococcus warneri,0,0,0,0,0,0,0,3,24,52,20,11,20,16,16,0,0,0,0,1,162,ID,
Staphylococcus xylosus,0,0,0,0,0,0,0,1,6,4,9,9,8,7,4,0,0,0,0,1,48,ID,
Stenotrophomonas maltophilia,0,0,0,1,1,0,8,9,35,67,165,272,649,1322,2173,382,128,12,4,11,5228,ID,
Streptococcus agalactiae,0,0,0,1,4,97,24,0,0,0,0,1,0,1,0,0,0,2,0,3,130,-0.125,0.03 - 0.5
Streptococcus anginosus,0,0,0,0,0,0,38,54,36,1,0,1,0,0,0,0,0,0,0,1,130,ID,
Streptococcus constellatus,0,0,0,0,0,2,27,34,61,11,1,0,2,3,3,0,0,0,0,1,144,ID,
Streptococcus intermedius,0,0,0,0,0,4,19,26,11,3,4,2,0,1,0,0,0,0,0,1,70,ID,
Streptococcus milleri,0,0,0,0,0,4,29,50,39,8,0,0,0,0,0,0,0,0,0,1,130,ID,
Streptococcus mitis,0,0,0,0,0,26,215,56,46,32,34,13,6,3,6,0,0,0,0,1,437,ID,
Streptococcus mutans,0,0,0,0,0,8,23,6,0,1,1,0,0,0,0,0,0,0,0,1,39,ID,
Streptococcus oralis,0,0,0,0,0,12,89,22,17,7,16,9,5,2,0,0,0,0,0,1,179,ID,
Streptococcus salivarius,0,0,0,0,0,12,77,13,9,6,2,1,0,1,0,0,0,0,0,1,121,ID,
Streptococcus sanguinis,0,0,0,0,0,5,84,22,33,5,9,3,3,0,0,0,0,0,0,1,164,ID,
Yersinia enterocolitica,0,0,0,1,0,12,93,14,0,0,0,0,0,0,0,0,0,0,0,1,120,ID,
