Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,7,18,77,144,181,116,71,36,23,12,2,2,2,1,3,3,1,8,4,707,-,
Citrobacter freundii,6,34,53,39,53,122,92,71,41,22,5,1,0,0,0,0,0,0,0,3,539,-,
Citrobacter koseri,0,0,1,1,2,9,44,122,142,15,2,0,0,0,0,0,0,0,0,2,338,-,
Enterobacter cloacae,1,1,12,15,24,55,173,315,203,93,21,3,0,0,0,0,0,0,0,3,916,-,
Escherichia coli,45,210,300,371,309,425,557,466,186,45,14,7,6,3,1,1,0,0,2,4,2948,-,
Klebsiella aerogenes,1,3,13,28,77,202,155,129,55,22,12,2,1,0,0,0,0,0,0,3,700,-,
Klebsiella oxytoca,6,14,67,153,185,204,119,93,38,12,2,0,0,0,0,0,0,0,0,3,893,-,
Klebsiella pneumoniae,40,135,279,363,316,253,284,349,259,104,19,6,9,2,1,0,0,0,3,4,2422,-,
Morganella morganii,1,0,7,19,42,91,180,125,61,15,6,2,0,0,0,0,0,0,0,2,549,-,
Proteus mirabilis,2,17,87,157,83,96,58,29,6,3,1,0,0,0,0,0,0,0,0,2,539,-,
Proteus vulgaris,1,14,53,109,124,132,78,30,4,2,0,0,0,0,0,0,0,0,0,2,547,-,
Providencia rettgeri,11,32,42,35,48,74,50,30,4,2,0,0,0,0,0,0,0,0,0,2,328,-,
Pseudomonas aeruginosa,48,76,66,85,175,520,678,440,142,69,18,9,6,0,0,0,0,0,0,4,2332,-,
Serratia marcescens,1,1,21,40,119,463,619,293,75,23,5,3,0,0,1,0,0,0,0,3,1664,-,
Stenotrophomonas maltophilia,2,10,24,130,142,199,194,120,44,22,10,2,0,0,0,2,0,0,0,4,901,-,
