Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Escherichia coli,0,0,3,4,22,101,301,717,703,278,67,43,41,128,6,5,1,1,1,6,2422,2,
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,38,16,0,0,0,0,0,0,0,0,0,1,54,-,
Haemophilus influenzae,0,0,98,1202,4408,1339,200,90,63,25,7,1,0,0,0,0,0,0,0,9,7433,0.125,
Haemophilus parainfluenzae,0,0,163,139,70,24,10,6,3,1,0,0,0,0,0,0,0,0,0,1,416,-,
Moraxella catarrhalis,0,0,0,7,229,340,180,540,107,2,0,0,0,0,0,0,0,0,0,5,1405,-,
Neisseria gonorrhoeae,5,10,203,31,377,47,40,7,3,3,1,0,0,0,0,0,0,0,0,7,727,-,
Proteus mirabilis,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,-,
Salmonella enterica,0,0,0,0,0,0,19,15,1,2,0,0,0,0,0,0,0,0,0,1,37,-,
Staphylococcus aureus,0,0,0,0,0,0,0,0,0,0,0,0,17,2,4,9,0,0,0,1,32,-,
Staphylococcus coagulase negative,0,0,0,0,0,0,0,0,0,6,13,8,3,11,9,0,0,0,0,2,50,-,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,1,0,0,3,8,22,20,1,0,0,2,55,-,
Streptococcus agalactiae,0,0,0,0,0,0,3,65,5,0,0,0,0,0,0,0,0,0,0,2,73,-,
Streptococcus pneumoniae,0,0,0,0,0,6,282,2426,507,299,299,193,201,380,572,187,39,0,0,5,5391,-,
Streptococcus pyogenes,0,0,0,0,3,90,40,0,0,0,0,0,0,0,0,0,0,0,0,2,133,-,
"Streptococcus, viridans group",0,0,0,0,0,4,3,5,3,5,3,1,1,0,0,0,0,0,0,1,25,-,
