Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,1,0,0,24,4,7,20,72,289,338,127,55,6,88,5,6,1036,64,16 - 512
Acinetobacter lwoffii,0,0,0,0,0,0,0,31,23,45,64,38,65,35,9,7,0,0,15,1,332,ID,
Citrobacter freundii,0,0,0,1,3,6,47,6,6,3,4,5,3,21,21,7,1,0,0,4,134,-0.5,0.06 - 2
Citrobacter koseri,0,0,0,0,3,4,3,1,1,2,1,0,0,0,0,1,0,0,0,1,16,ID,
Clostridioides difficile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,139,47,24,1,243,ID,
Enterobacter agglomerans,0,0,0,2,4,27,17,2,0,0,2,0,0,0,0,0,0,0,0,1,54,ID,
Enterobacter cloacae,1,2,10,43,137,222,386,341,222,83,54,54,68,101,162,169,78,76,23,28,2232,1,0.25 - 2
Escherichia coli,0,5,37,303,1618,4952,2362,470,189,80,49,47,38,52,71,131,24,31,28,44,10487,0.25,0.125 - 0.25
Escherichia coli ATCC 25922,0,0,0,0,0,33,67,0,0,0,0,0,0,0,0,0,0,0,0,2,100,ID,
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,23,44,0,0,0,0,0,0,0,0,0,0,2,67,ID,
Haemophilus influenzae,42,339,3226,5616,2338,752,136,31,25,12,0,1,0,0,0,0,0,0,0,18,12518,0.06,0.016 - 0.125
Haemophilus influenzae ATCC 49247,0,0,0,0,0,0,21,57,0,0,0,0,0,0,0,0,0,0,0,2,78,ID,
Kingella kingae,0,0,0,53,143,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,ID,
Klebsiella aerogenes,0,0,0,1,10,49,78,31,23,13,25,28,55,66,50,45,11,25,0,14,510,0.5,0.125 - 0.5
Klebsiella oxytoca,0,1,14,109,256,167,80,32,21,25,30,27,13,10,15,9,0,5,0,17,814,0.125,0.06 - 0.25
Klebsiella pneumoniae,0,2,31,199,883,1190,499,178,116,40,41,46,83,63,74,133,119,220,42,33,3959,0.25,0.125 - 0.25
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,0,0,37,12,1,0,0,0,0,0,0,2,50,ID,
Legionella pneumophila,0,0,0,2,10,51,56,40,23,1,0,0,0,0,0,0,0,0,0,1,183,ID,
Moraxella catarrhalis,0,0,0,28,110,505,452,297,959,527,9,1,0,0,0,0,0,0,0,8,2888,0.25,0.06 - 0.5
Morganella morganii,0,8,47,50,39,29,18,12,12,7,12,16,9,2,2,0,1,1,0,6,265,ID,
Neisseria gonorrhoeae,2242,2925,3122,2231,1382,1179,1196,501,92,0,7,0,0,0,0,0,0,0,0,14,14877,0.016,0.016 - 0.06
Neisseria meningitidis,430,879,548,139,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2019,0.016,0.004 - 0.016
Nocardia aboflava,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,ID,
Nocardia abscessus,0,0,0,0,0,1,1,6,2,3,2,0,0,0,0,3,0,0,0,1,18,ID,
Plesiomonas shigelloides,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,ID,
Prevotella spp beta lactamase neg,0,0,0,0,3,15,8,13,2,0,1,0,0,0,0,0,0,0,0,1,42,-,
Prevotella spp beta lactamase pos,0,0,0,0,0,0,0,2,5,9,10,10,1,6,3,7,5,0,0,1,58,-,
Proteus mirabilis,0,1,107,212,71,11,2,3,3,13,1,1,2,1,2,4,1,1,0,4,436,-0.06,0.016 - 0.25
Proteus vulgaris,0,0,14,22,27,23,20,11,3,0,0,0,4,2,1,0,0,4,0,3,131,ID,
Pseudomonas aeruginosa,0,0,0,0,2,3,2,2,10,13,21,93,412,419,274,155,79,14,0,6,1499,64,16 - 512
Salmonella enterica,0,0,0,0,4,655,1520,183,20,5,0,0,1,1,3,0,0,0,0,4,2392,-0.5,0.125 - 0.5
Serratia liquefaciens,0,0,0,1,0,1,3,2,3,2,0,0,4,0,1,1,0,0,0,1,18,ID,
Serratia marcescens,0,0,0,0,1,8,19,36,47,39,13,7,5,6,9,10,0,4,0,3,204,ID,
Staphylococcus aureus,0,0,2,0,1,2,17,102,378,2140,2330,341,92,25,241,10,6,15,0,30,5702,4, 2-8
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,32,ID,
Staphylococcus capitis,0,0,0,0,0,0,5,20,41,49,11,9,7,1,6,0,0,0,0,1,149,ID,
Staphylococcus coagulase negative,0,0,0,1,1,2,17,46,79,65,47,43,31,12,12,41,0,3,0,1,400,ID,
Staphylococcus epidermidis,0,0,0,0,0,5,28,114,204,113,137,408,363,51,59,1,0,0,0,2,1483,ID,
Staphylococcus hominis,0,0,0,0,0,0,3,6,13,59,54,113,58,13,16,0,0,0,0,1,335,ID,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,2,11,5,0,0,0,0,0,0,0,1,18,ID,
Staphylococcus warneri,0,0,0,0,0,0,0,6,23,14,4,4,2,0,0,0,0,0,0,1,53,ID,
Stenotrophomonas maltophilia,0,0,0,0,1,1,2,0,0,3,12,14,8,24,22,55,21,49,0,3,212,ID,
Streptococcus agalactiae,0,0,0,17,515,397,45,8,0,0,0,0,0,0,0,2,0,0,0,9,984,0.125,0.03 - 0.25
Streptococcus anginosus,0,0,0,0,4,10,26,4,0,0,0,0,0,0,0,0,0,0,0,2,44,ID,
Streptococcus group G,0,1,6,35,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,-,
Streptococcus oralis,0,1,8,17,46,59,30,19,7,2,3,2,2,0,0,0,0,0,0,4,196,-0.5,0.125 - 4
Streptococcus pneumoniae,157,551,3539,5816,1117,458,337,254,355,231,81,14,2,3,0,0,0,0,0,26,12915,0.06,0.016 - 0.06
Streptococcus pneumoniae ATCC 49619,0,0,0,0,3,144,46,0,0,0,0,0,0,0,0,0,0,0,0,2,193,ID,
Streptococcus pyogenes,1,21,381,217,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,640,0.03,0.008 - 0.06
"Streptococcus, viridans group",1,3,16,39,114,111,165,136,62,25,18,9,11,7,4,1,0,1,1,7,724,ID,
Yersinia enterocolitica,0,0,0,0,1,25,223,24,6,5,2,2,0,0,0,0,0,0,0,3,288,-0.25,0.125 - 0.25
