Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter lwoffii,0,0,0,0,0,0,0,6,4,7,18,33,42,61,45,131,0,0,0,1,347,-,
Bacteroides fragilis,0,0,0,0,0,0,0,15,1,4,41,523,653,330,166,69,23,44,29,5,1898,-,
Bacteroides fragilis group,0,0,0,1,0,0,0,19,1,11,25,197,322,253,178,80,27,33,14,2,1161,-,
Bacteroides ovatus,0,0,0,0,0,0,0,0,0,1,1,3,4,13,15,6,3,3,0,1,49,-,
Bacteroides thetaiotaomicron,0,0,0,0,0,0,0,5,0,2,2,13,24,72,77,20,6,9,4,2,234,-,
Bacteroides vulgatus,0,0,0,0,0,0,0,0,0,1,3,7,12,8,5,3,1,1,1,1,42,-,
Citrobacter koseri,0,0,0,0,0,0,0,0,1,63,316,79,29,23,7,6,0,0,0,1,524,-,
Clostridium perfringens,0,0,0,0,0,0,0,5,14,17,7,1,0,0,0,0,0,0,0,1,44,-,
Cutibacterium acnes,0,0,0,0,0,4,2,8,0,1,0,0,0,0,0,0,0,0,0,1,15,-,
Enterobacter cloacae,0,0,0,0,0,0,1,2,8,8,34,74,82,113,282,5372,53,237,0,11,6266,-,
Escherichia coli,0,0,0,0,0,0,3,76,1450,4920,28297,41022,12510,2984,2029,1881,22,19,0,30,95213,8,
Haemophilus influenzae,0,0,0,0,0,0,0,31,41,165,1241,527,108,43,22,10,0,0,0,2,2188,-,
Hafnia alvei,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,0,0,0,2,13,-,
Klebsiella aerogenes,0,0,0,0,0,0,0,2,2,5,29,31,26,39,41,1644,17,149,0,10,1985,-,
Klebsiella oxytoca,0,0,0,0,0,0,0,3,22,396,1354,692,209,115,35,58,0,3,0,15,2887,8,
Klebsiella pneumoniae,0,0,0,0,0,0,0,7,77,1710,9828,7851,2892,1479,870,551,18,8,0,21,25291,8,
Morganella morganii,0,0,0,0,0,0,0,0,1,2,12,72,545,396,41,82,4,0,0,9,1155,-,
Peptostreptococcus spp,0,0,0,0,0,6,4,20,38,6,9,5,0,1,0,0,0,0,0,1,89,-,
Prevotella spp,0,0,0,0,0,1,0,44,13,26,13,35,24,12,7,0,0,0,0,1,175,-,
Proteus mirabilis,0,0,0,0,0,0,0,3,8,269,3786,3447,487,129,53,43,1,2,0,11,8228,8,
Proteus vulgaris,0,0,0,0,0,0,0,0,0,0,77,141,87,8,2,6,0,0,0,2,321,-,
Providencia rettgeri,0,0,0,0,0,0,0,0,0,16,29,18,8,4,2,1,0,0,0,1,78,-,
Providencia stuartii,0,0,0,0,0,0,0,1,1,16,89,38,8,10,8,16,0,0,0,1,187,-,
Rothia dentocariosa,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,1,172,-,
Salmonella Dublin,0,0,0,0,0,0,0,0,0,12,15,17,8,2,30,0,0,0,0,1,84,-,
Salmonella enterica,0,0,0,0,0,0,0,5,872,10548,33183,16944,2015,657,2115,1273,0,0,0,7,67612,8,
Salmonella Enteritidis,0,0,0,0,0,0,0,1,12,809,3776,922,65,17,8,0,0,0,0,2,5610,-,
Salmonella Group B,0,0,0,0,0,0,0,0,0,25,49,6,0,1,1,0,0,0,0,1,82,-,
Salmonella Group C,0,0,0,0,0,0,0,0,0,15,32,16,0,0,1,0,0,0,0,1,64,-,
Salmonella Paratyphi,0,0,0,0,0,0,0,0,0,162,302,693,154,13,2,0,0,0,0,2,1326,-,
Salmonella Typhi,0,0,0,0,0,0,0,0,187,1477,677,1634,431,21,4,1,0,0,0,11,4432,8,
Salmonella Typhimurium,0,0,0,0,0,0,0,0,7,945,2939,1015,106,75,154,1,0,0,0,2,5242,-,
Serratia liquefaciens,0,0,0,0,0,0,0,0,0,0,3,8,36,17,9,11,0,0,0,1,84,-,
Serratia marcescens,0,0,0,0,0,0,0,1,4,2,13,63,787,2691,1770,581,46,14,0,7,5972,-,
Shigella flexneri,0,0,0,0,0,0,0,1,0,5,141,177,7,1,0,1,0,0,0,2,333,-,
Shigella sonnei,0,0,0,0,0,0,0,0,0,51,267,103,5,0,0,0,0,0,0,1,426,-,
Staphylococcus aureus,0,0,0,0,0,0,1,9,67,277,238,167,29,14,16,7,4,27,0,13,856,4,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,0,0,3,75,1,0,0,0,0,0,0,2,79,-,
Staphylococcus aureus MRSA,0,0,0,0,0,0,0,0,0,0,0,1,4,18,69,55,12,9,0,2,168,-,
Staphylococcus capitis,0,0,0,1,1,0,0,0,2,7,57,39,3,9,26,64,0,0,0,5,209,-,
Staphylococcus epidermidis,0,0,0,0,0,0,0,0,2,19,152,41,54,80,66,41,0,0,0,7,455,-,
Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,1,11,64,19,7,24,19,35,0,0,0,4,180,-,
Staphylococcus hominis,0,0,0,0,0,0,0,1,1,8,47,58,19,23,24,20,0,0,0,5,201,-,
Staphylococcus lugdunensis,0,0,0,0,0,0,0,0,0,6,89,75,3,0,0,0,0,0,0,4,173,-,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,1,25,108,7,2,8,1,0,0,3,2,155,-,
Staphylococcus warneri,0,0,0,0,0,0,0,0,1,15,91,8,16,21,14,9,0,0,0,4,175,-,
Streptococcus uberis,0,0,0,0,0,0,0,0,28,32,11,21,2,1,0,0,0,0,0,1,95,-,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,2,9,67,31,11,21,10,0,0,0,0,1,151,-,
