Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Citrobacter freundii,0,0,0,0,0,0,1,28,31,203,251,67,11,4,3,205,8,0,30,3,842,-,
Citrobacter koseri,0,0,0,0,0,0,1,9,1,3,0,0,0,1,0,0,1,0,0,1,16,-,
Enterobacter cloacae,0,0,0,0,0,0,3,210,290,636,349,145,74,51,48,640,64,0,56,3,2566,-,
Escherichia coli,0,0,0,0,0,0,58,553,684,154,46,21,14,11,11,13,114,0,0,2,1679,-,
Haemophilus influenzae,0,0,20,662,5220,9636,3342,1274,234,211,212,30,1,0,0,0,0,0,0,7,20842,0.25,
Klebsiella aerogenes,0,0,0,0,0,0,1,22,34,17,8,4,3,3,4,27,19,0,0,2,142,-,
Legionella pneumophila,0,0,0,0,0,0,4,4,14,44,34,0,0,0,0,0,0,0,0,1,100,-,
Moraxella catarrhalis,0,0,0,1,35,219,1468,2598,3916,2392,145,11,3,0,0,0,0,0,0,4,10788,-,
Pseudomonas aeruginosa,0,0,0,0,0,0,8,0,3,1,0,0,1,2,2,7,414,0,0,1,438,-,
Salmonella enterica,0,0,0,0,0,0,8,16,9,2,0,2,0,0,0,0,0,0,0,1,37,-,
Serratia liquefaciens,0,0,0,0,0,0,1,17,37,48,15,12,6,3,6,11,3,0,138,2,297,-,
Serratia marcescens,0,0,0,0,0,0,1,30,209,277,94,59,32,26,25,50,10,0,154,3,967,-,
Staphylococcus aureus,0,0,0,0,0,0,7,10,23,597,3340,193,96,72,900,0,1,2,0,2,5241,-,
Streptococcus agalactiae,0,0,0,0,98,248,18,4,1,0,0,0,0,0,0,0,0,0,0,2,369,-,
Streptococcus oralis,0,0,0,0,6,4,5,2,2,3,3,1,5,0,0,0,0,0,0,1,31,-,
Streptococcus pneumoniae,0,0,49,378,3413,530,220,177,101,176,433,313,19,14,2,0,0,0,0,5,5825,0.125,
