Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0,0,0,1,27,30,13,10,11,0,0,0,1,92,-,
Acinetobacter baumannii,0,0,2,0,0,1,13,35,48,149,515,1235,838,425,361,255,236,428,2,60,4543,-,
Acinetobacter lwoffii,0,0,0,0,1,0,3,42,32,121,171,133,85,45,84,16,1,2,14,3,750,-,
Bacteroides fragilis,0,0,0,0,0,0,0,0,1,0,0,1,3,15,26,3,12,37,0,1,98,-,
Bacteroides fragilis group,0,0,0,0,0,0,0,0,2,0,0,1,4,16,28,4,16,56,0,1,127,-,
Burkholderia cepacia complex,0,0,0,0,0,0,0,1,5,13,20,9,5,2,8,3,4,1,0,3,71,-,
Burkholderia pseudomallei,0,0,0,0,0,0,0,0,1,7,107,179,14,22,5,17,0,0,0,7,352,8, 4-8
Citrobacter freundii,0,0,0,0,1,10,9,86,41,29,15,11,11,15,36,30,6,0,0,3,300,-1,
Citrobacter koseri,0,0,0,0,2,8,24,22,14,4,1,1,0,2,1,0,1,0,0,2,80,-,
Enterobacter cloacae,0,3,19,29,145,438,474,728,456,206,105,110,154,186,196,281,123,84,64,56,3801,1,
Escherichia coli,0,0,21,53,243,1674,5450,5316,1241,331,206,146,148,161,152,86,106,25,5,85,15364,0.5,
Escherichia coli ATCC 25922,0,0,0,0,0,0,1,73,29,0,0,0,0,0,0,0,0,0,0,3,103,-,
Haemophilus influenzae,0,0,0,0,32,194,172,43,13,10,7,0,0,2,0,0,0,0,0,8,473,0.5,
Klebsiella aerogenes,0,0,1,1,3,45,106,192,122,57,55,42,51,85,98,121,66,237,2,50,1284,1,
Klebsiella oxytoca,0,0,4,9,58,368,532,385,159,99,83,66,18,17,15,14,13,12,8,55,1860,0.5,
Klebsiella pneumoniae,0,0,10,9,90,598,1373,1442,615,284,145,91,104,117,150,139,183,112,27,70,5489,0.5,
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6,0,0,0,1,28,-,
Moraxella catarrhalis,0,0,0,6,27,28,10,7,1,1,0,0,0,0,0,0,0,0,0,2,80,-,
Morganella morganii,0,2,5,18,67,64,48,38,34,15,12,10,7,19,4,3,0,1,0,3,347,-0.25,
Neisseria gonorrhoeae,0,2,3,12,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,-,
Proteus mirabilis,0,0,6,86,517,461,92,50,37,30,10,9,2,4,2,2,0,3,0,5,1311,0.125,
Proteus vulgaris,0,0,0,10,52,82,12,2,6,1,1,1,1,1,0,0,0,0,0,2,169,-,
Providencia stuartii,0,0,0,0,1,1,1,6,4,2,8,6,2,3,1,1,0,1,0,3,37,-0.5,
Pseudomonas aeruginosa,0,0,0,1,4,7,31,293,970,6015,12402,6304,2730,1699,802,770,230,116,106,75,32480,8,
Pseudomonas fluorescens group,0,0,0,0,1,1,0,4,5,24,68,57,18,10,9,4,0,0,113,3,314,-8,
Salmonella enterica,0,0,0,0,0,4,168,415,2144,1663,1089,17,8,10,16,1,0,0,0,5,5535,2,
Serratia marcescens,0,0,1,1,12,89,614,836,379,924,526,83,70,43,156,7,21,15,0,6,3777,0.5,
Stenotrophomonas maltophilia,0,0,0,0,0,1,5,40,73,153,189,116,90,106,151,331,46,8,1,15,1310,-,
Streptococcus pneumoniae,0,0,2,1,14,49,107,189,105,161,335,28,30,21,6,0,0,0,0,4,1048,-0.5,
Streptococcus pyogenes,0,0,0,1,2,75,113,59,16,1,0,1,5,0,0,0,0,0,0,3,273,-0.5,
"Streptococcus, viridans group",0,0,0,0,2,2,6,19,28,18,12,19,7,7,9,2,2,2,0,3,135,-,
