Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,2,9,30,64,0,0,0,0,0,1,105,-,
Burkholderia cepacia complex,0,0,0,0,0,0,0,0,1,2,6,3,0,0,0,1,0,2,0,1,15,-,
Citrobacter freundii,0,0,0,0,4,13,8,43,61,26,8,2,2,91,0,0,0,3,0,3,261,-,
Enterobacter cloacae,0,0,0,2,3,49,54,136,126,73,31,16,25,171,3,1,1,12,0,3,703,-,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,43,-,
Escherichia coli,0,0,2,7,23,693,1153,1440,320,78,21,13,26,66,0,0,0,1,0,5,3843,1,
Escherichia coli ATCC 25922,0,0,0,0,0,0,4,63,4,0,0,0,0,0,0,0,0,0,0,1,71,-,
Haemophilus influenzae,0,0,0,2,86,199,105,21,14,4,6,4,3,0,0,0,0,0,0,3,444,-0.5,
Klebsiella aerogenes,0,0,0,1,1,16,31,28,12,7,4,1,3,18,0,0,0,0,0,2,122,-,
Klebsiella oxytoca,0,0,5,7,4,83,2,2,4,1,1,1,2,1,0,0,0,0,0,2,113,-,
Klebsiella pneumoniae,0,0,5,28,47,194,17,3,7,10,2,3,1,3,0,0,0,0,0,2,320,-,
Moraxella catarrhalis,0,0,0,0,0,0,5,8,2,4,9,0,0,0,0,0,0,0,0,1,28,-,
Morganella morganii,0,0,3,2,11,11,8,0,1,0,0,0,0,0,0,0,0,0,0,1,36,-,
Proteus mirabilis,0,0,24,135,159,23,7,2,0,0,0,1,0,0,0,0,0,0,0,2,351,-,
Serratia marcescens,0,0,0,0,0,83,74,18,11,10,18,7,9,6,0,0,0,0,0,2,236,-,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,0,0,0,3,40,26,0,0,0,0,0,1,69,-,
Streptococcus pneumoniae,0,0,0,0,0,0,0,0,0,70,99,101,13,11,0,2,0,12,0,2,308,-,
Streptococcus pyogenes,0,0,0,0,0,0,0,5,19,1,0,0,0,0,0,0,0,0,0,1,25,-,
"Streptococcus, viridans group",0,0,0,0,0,0,0,3,1,2,1,2,3,2,3,2,0,5,0,1,24,-,
