Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,21,36,113,91,36,20,9,12,617,3,3,2,0,0,5,963,-,
Bacteroides fragilis,0,0,0,0,0,1,0,0,4,6,11,15,16,10,0,10,25,0,0,1,98,-,
Bacteroides fragilis group,0,0,0,0,0,1,2,0,5,6,12,19,22,12,1,15,32,0,0,1,127,-,
Citrobacter freundii,0,0,0,10,40,8,0,3,9,5,7,0,0,4,0,0,0,0,0,1,86,-,
Citrobacter koseri,0,0,0,4,89,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,108,-,
Clostridioides difficile,0,0,0,0,0,0,0,0,0,0,2,23,15,1,0,0,0,0,0,1,41,ID,
Enterobacter cloacae,0,0,0,5,237,710,241,87,37,41,56,108,85,99,31,89,14,0,0,8,1840,0.25,
Enterobacter sakazakii,0,0,0,0,1,8,2,1,0,2,3,0,0,1,1,2,1,0,0,1,22,-,
Enterococcus avium,0,0,0,0,0,1,3,14,6,2,1,0,3,1,0,0,0,0,0,1,31,-,
Enterococcus faecalis,0,0,0,0,2,67,682,1057,1937,635,641,229,129,82,1,3,0,0,0,13,5465,-,
Enterococcus faecium,0,0,0,0,0,0,3,6,7,34,104,59,22,1880,88,48,1,0,0,8,2252,-,
Enterococcus gallinarum,0,0,0,0,0,2,0,0,5,16,13,0,0,15,0,0,0,0,0,2,51,-,
Escherichia coli,0,0,3,326,3050,1738,416,95,32,23,4,10,18,371,25,143,29,0,0,9,6283,0.25,
Haemophilus influenzae,0,0,1,27,203,143,70,11,1,0,0,0,0,0,0,0,0,0,0,2,456,-,
Klebsiella aerogenes,0,0,0,33,80,48,17,2,1,4,1,1,1,6,0,0,0,0,0,4,194,-0.125,
Klebsiella pneumoniae,0,0,18,841,699,361,121,71,19,16,11,4,12,357,50,18,53,0,0,5,2651,0.25,
Klebsiella terrigena,0,0,0,0,0,2,5,1,1,0,0,0,0,4,0,3,0,0,0,1,16,-,
Moraxella catarrhalis,0,0,4,10,17,34,25,15,2,0,0,0,0,0,0,0,0,0,0,1,107,-,
Morganella morganii,0,0,0,1,26,28,3,0,0,0,0,0,0,1,0,0,0,0,0,2,59,-,
Proteus mirabilis,0,0,2,201,1247,340,45,22,15,5,8,5,4,19,3,13,0,0,0,7,1929,0.125,
