Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Citrobacter freundii,0,0,0,0,0,5,86,98,25,10,8,20,15,15,8,7,0,0,0,3,297,-1,0.125 - 2
Citrobacter koseri,0,0,0,0,0,0,40,75,6,3,0,0,0,0,0,1,0,0,0,2,125,ID,
Enterobacter cloacae,0,0,0,0,1,4,122,519,206,65,38,55,57,44,26,32,0,0,0,5,1169,1,0.25 - 1
Escherichia coli,0,0,0,0,1,80,1995,1820,682,336,116,69,45,27,27,17,0,0,0,11,5215,1,0.5 - 4
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,1,21,ID,
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,23,ID,
Haemophilus influenzae,0,0,0,0,7,41,95,39,11,5,7,3,3,0,0,0,0,0,0,4,211,-0.5,0.125 - 1
Klebsiella aerogenes,0,0,0,0,0,0,40,79,29,24,14,13,8,0,3,0,0,0,0,3,210,-1,0.25 - 4
Klebsiella oxytoca,0,0,0,0,1,1,143,136,45,19,15,12,2,1,1,11,0,0,0,4,387,-1,0.125 - 4
Klebsiella pneumoniae,0,0,0,0,0,27,557,823,348,168,68,40,28,36,59,139,0,6,0,5,2299,1,0.25 - 2
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,1,18,ID,
Morganella morganii,0,0,0,0,0,1,27,141,71,11,6,2,2,1,1,1,0,0,0,3,264,-1,0.25 - 2
Proteus mirabilis,0,0,0,0,1,0,72,477,360,30,7,1,3,2,0,0,0,0,0,4,953,-1,0.25 - 2
Proteus vulgaris,0,0,0,0,0,0,0,4,10,4,0,0,0,0,0,0,0,0,0,1,18,ID,
Pseudomonas aeruginosa,0,0,0,0,0,0,8,150,1721,1451,628,414,176,53,63,483,2,8,0,13,5157,4, 2-8
Serratia liquefaciens,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,1,20,ID,
Serratia marcescens,0,0,0,0,0,0,6,91,520,180,30,6,5,2,2,9,0,0,0,4,851,-2,0.5 - 2
Streptococcus agalactiae,0,0,0,0,0,0,0,14,49,9,0,0,0,0,0,0,0,0,0,3,72,-1,0.5 - 2
Streptococcus pneumoniae,0,0,0,0,2,28,97,24,17,10,21,18,6,1,1,0,0,0,0,5,225,0.5,0.06 - 2
Streptococcus pyogenes,0,0,0,0,0,11,87,68,1,0,1,0,0,0,0,0,0,0,0,3,168,-0.5,0.06 - 1
