Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,7,42,46,71,115,89,96,0,0,0,2,466,-,
Acinetobacter lwoffii,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,1,10,-,
Citrobacter freundii,0,0,0,0,0,0,7,69,31,3,1,2,18,40,28,19,0,0,0,4,218,-1,
Citrobacter koseri,0,0,0,0,0,0,15,96,11,2,0,0,0,0,0,1,0,0,0,2,125,-,
Enterobacter cloacae,0,0,0,0,0,0,24,305,168,38,40,31,40,77,70,104,0,0,0,4,897,-1,
Escherichia coli,0,0,0,0,1,8,730,1018,808,54,44,129,155,154,240,509,0,0,0,6,3850,1,
Haemophilus influenzae,0,0,0,2,5,27,60,17,2,0,0,0,0,0,0,0,0,0,0,3,113,-0.5,
Klebsiella aerogenes,0,0,0,0,0,0,11,86,36,24,28,22,22,4,4,10,0,0,0,4,247,-1,
Klebsiella oxytoca,0,0,0,0,0,0,73,135,55,25,26,16,8,4,2,20,0,0,0,4,364,-1,
Klebsiella pneumoniae,0,0,0,0,0,4,140,487,201,84,44,28,32,44,151,831,0,0,0,6,2046,1,
Morganella morganii,0,0,0,0,0,1,1,79,83,19,17,16,26,27,10,6,0,0,0,4,285,-1,
Proteus mirabilis,0,0,0,0,0,0,0,61,289,28,5,5,5,4,10,11,0,0,0,3,418,-1,
Proteus vulgaris,0,0,0,0,0,0,0,1,9,7,1,0,0,0,0,0,0,0,0,1,18,-,
Pseudomonas aeruginosa,0,0,0,0,0,0,1,39,848,940,454,461,198,45,49,673,0,0,0,8,3708,4,
Pseudomonas putida group,0,0,0,0,0,0,0,0,3,6,1,1,0,0,0,0,0,0,0,1,11,-,
Serratia marcescens,0,0,0,0,0,0,1,17,296,125,23,10,3,9,7,13,0,0,0,3,504,-2,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,5,7,27,31,33,30,38,81,0,0,0,2,252,-,
Streptococcus agalactiae,0,0,0,0,0,0,0,1,37,16,0,0,0,0,0,0,0,0,0,2,54,-,
Streptococcus pneumoniae,0,0,0,2,0,12,92,25,11,4,7,28,9,1,1,0,0,0,0,6,192,0.5,
Streptococcus pyogenes,0,0,0,0,0,0,30,92,4,0,0,0,0,0,0,0,0,0,0,2,126,-,
