Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,0,0,25,7,7,46,134,395,502,264,1674,0,0,0,1,3054,ID,
Acinetobacter lwoffii,0,0,0,0,0,0,0,19,10,37,72,79,49,27,17,43,0,0,0,1,353,ID,
Actinobaculum schaalii,0,1,0,3,6,24,12,1,0,0,0,0,0,0,0,0,0,0,0,1,47,ID,
Actinomyces israelii,0,0,0,0,7,33,22,23,7,6,0,0,0,0,0,0,0,0,0,1,98,ID,
Bacteroides fragilis,0,0,0,0,0,0,0,0,0,5,2,6,12,9,14,6,9,35,0,1,98,ID,
Bacteroides fragilis group,0,0,0,0,3,1,0,0,0,6,4,16,22,21,33,35,21,73,0,1,235,ID,
Citrobacter freundii,0,0,0,0,0,5,12,3,1,0,0,0,2,1,0,1,0,0,0,1,25,ID,
Cutibacterium acnes,0,0,0,0,9,6,19,12,1,1,1,0,0,0,0,0,0,0,0,1,49,ID,
Enterobacter agglomerans,0,0,0,1,10,16,18,1,0,0,0,2,0,0,0,0,0,0,0,1,48,ID,
Enterobacter cloacae,0,0,0,0,0,16,24,14,16,5,2,4,4,11,10,6,13,28,0,2,153,ID,
Escherichia coli,0,0,28,144,461,220,33,8,3,2,2,2,2,0,3,0,0,0,0,4,908,-0.125,0.03 - 0.5
Escherichia coli ATCC 25922,0,0,0,0,0,36,59,0,0,0,0,0,0,0,0,0,0,0,0,2,95,ID,
Escherichia coli NCTC 13846,0,0,0,0,0,0,10,34,0,0,0,0,0,0,0,0,0,0,0,1,44,ID,
Haemophilus influenzae,4,85,11,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,ID,
Haemophilus influenzae ATCC 49247,0,0,0,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,2,78,ID,
Klebsiella pneumoniae,0,0,2,3,19,10,5,7,0,0,0,0,0,0,0,0,0,0,0,1,46,ID,
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,1,32,ID,
Kocuria kristinae,0,0,0,0,0,1,1,3,6,10,31,70,18,30,0,0,0,0,0,2,170,-,
Moraxella catarrhalis,0,1,513,819,367,194,376,1487,1186,348,44,1,2,0,0,0,0,0,0,5,5338,0.06,0.03 - 0.25
Neisseria gonorrhoeae,3647,2737,1447,1327,744,461,82,5,4,0,0,0,0,0,0,0,0,0,0,14,10454,ID,
Neisseria meningitidis,305,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,319,ID,
Proteus mirabilis,0,56,61,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,123,ID,
Proteus vulgaris,0,4,11,1,1,15,6,2,1,0,0,0,0,0,0,0,0,0,0,1,41,ID,
