Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,0,1,0,0,2,13,21,97,311,2841,27,14,14,0,4,3341,ID,
Acinetobacter lwoffii,0,0,0,0,0,0,3,2,35,32,75,110,122,96,165,21,12,0,16,2,689,ID,
Citrobacter freundii,0,0,0,0,0,0,1,0,43,43,410,620,198,78,399,30,216,12,31,7,2081,8, 4-16
Citrobacter koseri,0,0,0,0,0,0,1,0,2,7,66,316,66,26,40,0,0,0,0,1,524,ID,
Corynebacterium striatum,0,0,0,0,0,0,0,1,2,1,1,0,0,5,6,0,0,0,0,1,16,ID,
Enterobacter agglomerans,0,0,0,0,0,0,0,0,2,19,60,81,9,2,3,5,1,0,0,1,182,ID,
Enterobacter cloacae,0,0,0,0,0,0,0,0,22,55,110,467,1161,571,269,175,864,425,84,15,4203,32,16 - 128
Enterobacter dissolvens,0,0,0,0,0,0,0,0,0,3,3,26,39,5,2,0,3,0,0,1,81,ID,
Enterobacter sakazakii,0,0,0,0,0,0,0,0,0,0,5,3,10,16,15,0,0,0,0,1,49,ID,
Escherichia coli,0,0,1,1,1,5,93,161,1475,4624,20855,46657,14450,3200,3773,263,260,98,73,29,95990,8, 8-16
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,0,0,0,18,82,1,0,0,0,0,0,2,101,ID,
Haemophilus influenzae,0,0,1,0,23,129,1096,4625,35423,31541,9977,9891,1401,265,77,15,0,0,256,30,94720,2, 1-4
Haemophilus influenzae ATCC 49247,0,0,0,0,0,0,0,0,0,0,1,68,9,0,0,0,0,0,0,2,78,ID,
Haemophilus influenzae ATCC 49766,0,0,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0,0,1,34,ID,
Haemophilus parainfluenzae,0,0,0,0,0,14,121,174,190,60,33,22,1,0,2,0,0,0,0,2,617,ID,
Hafnia alvei,0,0,0,0,0,0,0,0,0,2,11,28,12,1,2,0,0,0,0,1,56,ID,
Kingella kingae,0,0,0,0,6,76,119,1,0,0,0,0,0,0,0,0,0,0,0,1,202,ID,
Klebsiella aerogenes,0,0,0,0,0,0,0,3,11,43,368,641,283,128,756,28,164,55,47,11,2527,16, 8-32
Klebsiella oxytoca,0,0,0,0,0,0,5,20,242,1102,1626,1054,330,155,517,36,139,48,82,14,5356,16, 4-16
Klebsiella pneumoniae,0,0,0,0,0,8,68,193,1211,5890,15246,9105,3278,2105,4843,227,181,119,91,20,42565,8, 4-16
Legionella pneumophila,0,0,0,0,0,0,0,2,10,26,34,21,7,0,0,0,0,0,0,1,100,ID,
Moraxella catarrhalis,0,0,0,1,2,18,169,843,3618,6068,3955,660,175,23,0,0,0,0,0,15,15532,8, 4-16
Morganella morganii,0,0,0,0,3,0,0,1,2,10,12,10,25,62,124,144,71,18,8,7,490,ID,
Neisseria gonorrhoeae,0,0,26,41,116,215,141,84,83,24,4,0,3,0,0,0,0,0,0,4,737,ID,
Neisseria meningitidis,0,0,4,3,39,80,131,15,6,2,0,0,0,0,1,0,0,0,0,3,281,-0.25,0.001 - 4
Proteus mirabilis,0,0,0,0,0,0,9,136,1439,5420,3586,635,171,68,317,24,209,9,120,16,12143,4, 2-4
Proteus vulgaris,0,0,0,0,0,0,0,0,1,3,2,4,2,9,10,14,23,12,0,1,80,-,
Providencia rettgeri,0,0,0,0,0,0,27,11,9,8,5,2,2,4,10,0,0,0,0,1,78,ID,
Providencia stuartii,0,0,0,0,0,0,3,1,9,14,21,21,22,33,63,0,0,0,0,1,187,-, 8-16
Salmonella enterica,0,0,0,0,0,0,1,5,6,25,330,2508,1554,161,29,0,0,0,0,4,4619,-16, 8-16
Salmonella Enteritidis,0,0,0,0,0,0,0,1,0,2,12,294,234,12,0,0,0,0,0,1,555,-, 8-16
Salmonella Paratyphi,0,0,0,0,0,0,0,0,0,0,1,21,35,12,0,0,0,0,0,1,69,-, 8-16
Salmonella Typhi,0,0,0,0,0,0,0,1,0,1,68,202,44,4,3,0,0,0,0,1,323,-, 8-16
Salmonella Typhimurium,0,0,0,0,0,0,0,0,1,3,17,88,57,7,16,0,0,0,0,1,189,-, 8-16
Serratia liquefaciens,0,0,0,0,0,0,0,0,0,4,5,7,5,33,85,12,1,0,0,2,152,ID,
Shigella flexneri,0,0,0,0,0,0,1,0,0,33,195,82,9,1,0,0,0,0,0,1,321,-,
Shigella sonnei,0,0,0,0,0,0,1,0,1,6,144,254,17,0,2,0,0,0,0,1,425,ID,
Staphylococcus aureus,0,0,0,2,3,2,55,363,1265,7230,1429,234,124,890,247,1,0,8,0,8,11853,4, 1-4
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,0,1,32,ID,
Staphylococcus capitis,0,0,0,0,0,0,23,37,53,13,8,6,1,1,7,0,0,0,0,1,149,ID,
Staphylococcus hominis,0,0,0,0,0,0,7,17,65,81,86,40,15,3,21,0,0,0,0,1,335,ID,
Staphylococcus saprophyticus,0,0,0,0,0,1,0,0,4,24,21,5,0,0,0,0,0,0,0,2,55,ID,
Staphylococcus warneri,0,0,0,0,0,0,6,13,21,7,4,1,1,0,0,0,0,0,0,1,53,ID,
Streptococcus agalactiae,0,0,0,1,20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32,-,
Streptococcus pneumoniae,0,12,1166,3474,10124,5451,1433,1437,1121,850,693,2306,3169,546,8,2,0,0,0,16,31792,0.125,0.03 - 0.125
Streptococcus pneumoniae ATCC 49619,0,0,0,0,0,0,0,51,106,0,0,0,0,0,0,0,0,0,0,2,157,ID,
Streptococcus pyogenes,0,0,20,1422,52,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1499,ID,
Streptococcus sanguinis,0,0,0,0,0,2,4,5,7,1,2,1,0,1,0,0,0,0,0,1,23,ID,
Yersinia enterocolitica,0,0,0,0,0,0,0,3,6,26,96,20,0,0,0,0,0,0,0,1,151,ID,
