Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Burkholderia pseudomallei,0,0,0,0,0,0,0,0,0,1,54,248,30,3,3,13,0,0,0,7,352,8, 4-8,
Campylobacter coli,0,0,0,0,0,0,0,0,11,159,704,705,338,43,0,0,0,0,0,16,1960,16, 4-16,
Campylobacter jejuni,0,0,0,7,4,8,33,131,634,1432,1666,806,243,71,18,2,0,0,1,25,5056,16, 4-16,
Clostridioides difficile,0,0,0,0,0,0,0,0,0,4,120,1378,998,99,58,34,2,3,0,1,2696,ID,,
Enterobacter cloacae,0,0,0,0,0,0,0,0,0,0,11,34,51,11,1,0,1,1,0,1,110,ID,,
Enterobacter dissolvens,0,0,0,0,0,0,0,0,0,0,0,15,40,22,4,0,0,0,0,1,81,ID,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,1,112,5900,18025,405,96,208,10,0,0,15,24757,32, 8-32,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,28,ID,,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,0,136,4691,7310,758,138,3,3,0,0,28,13039,32, 8-32,
Enterococcus hirae,0,0,0,0,0,0,0,0,0,0,21,104,33,0,0,0,0,0,0,2,158,ID,,
Escherichia coli,0,0,0,0,0,0,0,0,0,2,2336,21965,19115,752,305,736,387,254,0,40,45852,16, 8-16,
Haemophilus influenzae,0,0,0,0,0,0,606,2077,13497,1800,39,47,319,86,0,0,0,0,0,6,18471,2,0.5 - 2,
Haemophilus parainfluenzae,0,0,0,0,0,0,42,140,165,60,5,2,2,0,0,0,0,0,0,1,416,ID,,
Hafnia alvei,0,0,0,0,0,0,0,0,0,0,5,21,26,3,0,1,0,0,0,1,56,ID,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,0,3,10,5,3,0,0,0,0,0,0,1,21,ID,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,0,4,12,28,19,1,0,0,0,1,0,1,65,ID,,
Lactobacillus lactis,0,0,0,0,0,0,0,0,5,14,29,0,12,0,0,0,0,0,0,1,60,ID,,
Lactobacillus reuteri,0,0,0,0,0,0,0,0,0,0,17,31,0,0,0,0,1,0,0,1,49,ID,,
Lactococcus lactis,0,0,0,0,0,0,0,0,5,14,29,0,12,0,0,0,0,0,0,1,60,ID,,
Legionella pneumophila,0,0,0,0,0,0,1,22,75,2,0,0,0,0,0,0,0,0,0,1,100,ID,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,0,0,5,86,184,31,1,0,0,0,0,3,307,-32, 4-32,
Mannheimia haemolytica,0,0,0,0,0,0,0,2,13,85,14,1,2,9,14,7,0,0,0,4,147,-2,,
Moraxella catarrhalis,0,0,0,0,0,0,16,216,3769,81,1,1,0,0,0,0,0,0,0,1,4084,ID,,
Neisseria gonorrhoeae,0,0,0,0,0,0,0,0,2,57,79,19,6,1,2,1,0,0,0,1,167,ID,,
Neisseria meningitidis,0,0,0,0,0,0,5,12,135,537,163,4,2,8,0,0,0,0,0,12,866,2, 1-4,
Pasteurella multocida,0,0,0,0,0,0,14,107,139,45,10,9,44,18,6,1,0,0,0,5,393,1,0.5 - 2,
Salmonella enterica,0,0,0,0,0,0,0,0,0,0,2437,46139,39017,1428,3056,2380,1343,535,0,25,96335,16, 8-16,
Serratia liquefaciens,0,0,0,0,0,0,0,0,0,0,2,13,36,17,0,0,0,0,0,1,68,ID,,
Staphylococcus aureus,0,0,0,0,0,0,0,0,0,10,39,517,1215,61,19,35,2,0,0,6,1898,16, 8-16,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,0,0,0,0,0,48,7,0,0,0,0,0,1,55,ID,,
Staphylococcus epidermidis,0,0,0,0,0,0,0,0,0,0,6,65,24,0,0,8,1,0,0,1,104,ID,,
Staphylococcus intermedius,0,0,0,0,0,0,0,0,0,0,5,84,8,0,2,0,0,0,0,1,99,ID,,
Streptococcus agalactiae,0,0,0,0,0,0,0,0,1,9,21,1,0,0,0,0,0,0,0,1,32,ID,,
Streptococcus pneumoniae,0,0,0,0,0,1,2,10,66,647,2485,2805,88,260,25,2,0,0,0,8,6391,8, 2-8,
Streptococcus pyogenes,0,0,0,0,0,0,0,0,0,1,34,34,0,1,3,1,0,0,0,2,74,ID,,
"Streptococcus, viridans group",0,0,0,0,0,0,0,0,0,9,19,6,0,1,0,0,0,0,0,1,35,-,,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,1,16,44,72,17,0,0,1,0,0,0,1,151,ID,,
