Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Achromobacter xylosoxidans,0,0,0,0,0,0,0,1,0,6,39,12,13,21,0,0,0,0,0,1,92,-,,
Acinetobacter anitratus,0,0,0,0,6,11,29,34,30,8,4,0,0,0,0,0,0,0,0,1,122,-,,
Acinetobacter baumannii,0,0,12,7,27,224,833,865,410,174,109,262,118,176,311,360,127,193,3,115,4211,1,,
Acinetobacter calcoaceticus,0,0,0,0,7,17,33,31,24,21,6,2,0,0,0,8,1,0,0,2,150,-,,
Acinetobacter lwoffii,0,0,0,3,12,59,73,47,21,8,11,3,1,0,15,9,0,0,0,2,262,-,,
Actinomyces israelii,0,0,0,0,0,0,0,0,1,1,0,0,5,45,35,10,1,0,0,1,98,-,,
Actinomyces spp,0,0,0,0,0,0,0,3,5,4,20,36,37,121,64,14,1,0,0,1,305,-,,
Aerococcus sanguinicola,0,0,0,0,0,0,0,0,2,4,1,0,2,17,4,0,0,0,0,1,30,-,,
Aerococcus urinae,0,0,0,0,0,0,1,14,21,6,0,6,0,0,0,0,0,0,0,2,48,-,,
Alcaligenes faecalis,0,0,0,0,0,0,0,0,2,7,6,5,0,3,0,0,0,0,0,1,23,-,,
Alcaligenes xylosoxidans,0,0,0,0,0,0,0,1,5,1,4,13,3,0,2,1,0,0,0,1,30,-,,
Bacillus cereus,0,0,0,0,0,23,67,19,0,0,0,0,0,0,0,0,0,0,0,1,109,ID,,
Bacteroides fragilis,0,0,0,0,0,0,0,0,1,4,48,58,37,65,27,3,5,0,0,2,248,-,,
Bacteroides fragilis group,0,0,0,0,0,0,0,0,1,4,53,73,53,53,33,17,16,3,0,1,306,-,,
Burkholderia cepacia complex,0,0,0,0,1,4,2,4,11,5,10,15,10,11,4,1,3,0,0,3,81,-,,
Campylobacter coli,0,0,0,0,27,592,2176,1240,256,36,6,58,322,482,178,54,2,0,0,44,5429,0.5,,
Campylobacter jejuni,1,2,12,194,1795,10399,9926,1990,231,69,50,334,2542,1570,807,593,35,0,0,68,30550,0.5,,
Chryseobacterium meningosepticum,0,0,0,0,0,0,1,0,2,4,4,0,0,0,0,0,0,0,0,1,11,-,,
Chryseobacterium spp,0,0,0,0,0,0,0,2,3,2,2,4,3,1,0,1,1,0,0,1,19,-,,
Citrobacter braakii,0,0,2,3,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,12,-,,
Citrobacter freundii,0,0,1,8,3,1,2,4,0,1,3,0,0,0,1,0,0,0,0,1,24,-,,
Citrobacter koseri,0,0,5,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,-,,
Clostridioides difficile,0,0,0,0,0,0,0,0,0,0,0,0,79,143,13,63,59,171,0,3,528,-32,0.5 - 256,
Clostridium perfringens,0,0,0,0,0,1,2,12,4,2,1,1,0,0,0,0,0,0,0,1,23,-,,
Corynebacterium amycolatum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,12,-,,
Corynebacterium jeikeium,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,1,12,-,,
Corynebacterium pseudodiphtheriticum,0,0,1,0,0,1,1,3,1,0,0,4,0,0,0,0,0,0,0,1,11,-,,
Corynebacterium spp,0,0,1,0,1,1,1,5,1,1,0,4,2,3,39,0,0,0,0,5,59,-,,
Corynebacterium striatum,0,0,0,0,0,0,2,1,0,0,0,0,1,1,23,0,0,0,0,2,28,-,,
Corynebacterium urealyticum,0,0,0,0,0,0,0,1,0,1,0,0,0,2,8,0,0,0,0,1,12,-,,
Enterobacter agglomerans,0,0,1,15,29,3,2,1,3,0,0,0,0,0,0,0,0,0,0,1,54,-,,
Enterobacter cloacae,236,423,330,434,419,207,89,96,80,60,26,36,28,25,33,7,10,2,3,53,2544,0.125,,
Enterobacter dissolvens,0,0,3,16,10,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,37,-,,
Enterococcus faecalis,0,0,0,2,9,3,34,231,3001,16971,6470,313,334,232,341,593,239,27,180,20,28980,4,,
Enterococcus faecium,0,0,0,0,0,0,12,197,1061,3211,4426,3414,630,25,56,198,35,243,0,28,13508,8,,
Escherichia coli,14,189,3967,7300,1576,613,566,599,196,113,55,131,263,236,565,168,85,59,7,55,16702,0.064,,
Haemophilus influenzae,46,617,7962,7810,1419,59,32,11,11,11,9,15,6,3,5,0,0,0,0,22,18016,0.064,,
Haemophilus parainfluenzae,0,0,74,111,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,-,,
Hafnia alvei,0,0,10,17,27,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,60,-,,
Helicobacter pylori,5,7,5,51,228,712,1268,769,157,32,27,78,93,81,427,0,0,0,0,2,3940,-,,
Kingella kingae,0,0,11,130,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,-,,
Klebsiella aerogenes,0,0,52,150,244,112,96,32,49,47,53,26,43,46,45,217,3,13,0,48,1228,0.125,,
Klebsiella oxytoca,0,0,192,553,389,156,106,50,47,45,37,56,27,22,25,12,1,1,0,54,1719,0.125,,
Klebsiella pneumoniae,0,4,227,767,1783,913,527,315,251,138,100,86,72,60,149,116,38,30,15,71,5591,0.125,,
Kluyvera spp,0,0,16,7,3,3,1,1,0,1,1,0,0,0,0,0,0,0,0,1,33,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,1,28,82,21,9,0,0,0,0,0,0,0,3,141,-4,,
Moraxella catarrhalis,0,0,24,938,6812,2060,261,17,21,5,3,3,0,0,0,0,0,0,0,15,10144,0.125,,
Morganella morganii,0,15,78,182,45,9,6,1,2,9,8,4,4,2,4,3,0,3,0,8,375,0.064,,
Neisseria gonorrhoeae,3093,2012,871,311,150,73,101,158,206,261,568,683,711,366,980,46,6,39,0,24,10635,0.016,,
Neisseria meningitidis,68,1408,409,5,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,16,1905,0.016,,
Pasteurella multocida,0,7,58,129,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,214,0.03,0.008 - 0.06,
Peptostreptococcus spp,0,0,0,0,1,0,8,11,27,18,17,6,2,2,1,0,0,0,0,1,93,-,,
Proteus mirabilis,0,1,53,309,1202,272,219,42,50,85,116,66,24,14,24,20,7,7,1,12,2512,0.064,,
Proteus vulgaris,0,0,7,28,40,8,9,1,5,0,0,0,0,2,1,0,0,0,0,3,101,-0.064,,
Providencia stuartii,0,0,0,3,3,1,5,0,0,1,4,7,1,1,3,1,2,1,0,2,33,-,,
Pseudomonas aeruginosa,0,0,19,42,534,3044,9326,4531,3205,1852,1491,863,924,513,498,720,137,26,105,71,27836,0.5,,
Pseudomonas fluorescens group,0,0,1,1,0,1,16,1,0,0,1,1,0,1,5,0,0,0,0,1,28,-,,
Raoultella spp,0,0,6,16,9,1,1,1,0,1,3,0,0,0,0,0,0,0,0,1,38,-,,
Salmonella enterica,0,0,75,806,1031,260,73,52,17,0,2,0,1,1,0,0,0,0,0,5,2318,0.064,,
Serratia liquefaciens,0,0,0,3,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,13,-,,
Serratia marcescens,0,0,6,8,67,221,302,57,52,85,82,49,25,7,8,7,2,0,0,6,978,0.25,,
Shigella boydii,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,,
Shigella dysenteriae,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,-,,
Shigella flexneri,0,0,1,17,13,5,1,0,4,1,0,0,2,3,2,4,0,0,0,2,53,-,,
Shigella sonnei,0,0,7,22,6,0,0,9,4,0,0,2,5,0,0,2,0,0,0,2,57,-,,
Shigella spp,0,0,8,44,25,5,1,10,9,1,0,2,7,3,2,6,0,0,0,2,123,-,,
Staphylococcus aureus,0,0,3,16,121,785,5424,13558,14717,2982,869,265,1961,425,260,449,383,111,40,68,42369,1,,
Staphylococcus aureus MRSA,0,0,0,0,0,0,1,4,14,3,1,0,6,12,23,76,185,81,0,5,406,1,,
Staphylococcus aureus MSSA,0,0,0,0,0,0,10,83,292,146,9,5,3,4,6,6,10,4,0,5,578,1,,
Staphylococcus capitis,0,0,0,0,3,7,52,154,33,9,3,4,20,0,0,1,0,0,0,3,286,-1,,
Staphylococcus coagulase negative,0,0,0,0,8,46,688,1357,514,143,126,152,245,24,60,53,92,18,21,7,3547,1,,
