Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Actinomyces israelii,0,0,1,24,59,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,97,ID,
Bacteroides fragilis group,0,0,0,0,0,1,33,16,1,1,0,0,0,0,0,0,0,0,0,1,52,ID,
Enterococcus faecalis,0,0,0,0,0,5,1,6,27,16,0,0,2,22,0,0,0,71,0,2,150,ID,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,1,28,ID,
Enterococcus faecium,0,0,0,0,0,1,0,1,14,4,11,6,0,36,0,1,0,73,0,2,147,ID,
Haemophilus influenzae,0,0,0,0,0,4,12,113,74,232,1229,6978,16330,4963,469,63,43,4,1,12,30515,32, 8-32
Haemophilus parainfluenzae,0,0,0,0,0,0,0,6,10,39,86,125,101,40,9,0,0,0,0,1,416,ID,
Helicobacter pylori,0,0,0,1021,1491,1372,481,107,61,88,96,199,459,793,862,551,276,1008,0,5,8865,0.25,0.125 - 1
Kingella kingae,0,0,0,0,6,32,79,76,9,0,0,0,0,0,0,0,0,0,0,1,202,ID,
Legionella pneumophila,0,0,0,0,0,1,110,70,1,1,0,0,0,0,0,0,0,0,0,1,183,ID,
Moraxella catarrhalis,0,4,29,360,370,126,17,3,0,1,0,0,0,0,0,0,0,0,0,3,910,-0.125,0.016 - 0.5
Mycobacterium abscessus,0,0,0,0,5,21,33,25,20,8,9,4,7,18,66,0,0,0,0,4,216,ID,
Mycobacterium avium,0,0,0,0,0,3,4,17,51,129,364,230,41,4,5,1,21,0,0,4,870,ID,
Mycobacterium intracellulare,0,0,0,0,0,13,9,18,47,82,104,15,4,0,0,1,15,0,0,4,308,ID,
Nocardia abscessus,0,0,0,0,0,0,1,0,2,7,8,6,9,13,0,0,0,1,2,2,49,ID,
Staphylococcus aureus,0,0,0,2,7,181,1889,1963,116,22,20,43,43,33,50,2777,0,0,0,1,7146,ID,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,29,11,0,0,0,0,0,0,0,0,0,0,1,40,ID,
Streptococcus pneumoniae,0,0,16,349,10637,7221,61,44,81,384,949,434,593,228,406,5079,590,0,0,5,27072,0.125,0.016 - 0.25
Streptococcus pneumoniae ATCC 49619,0,0,0,0,40,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,111,ID,
Streptococcus pyogenes,0,0,1,832,5236,297,12,13,32,82,107,114,256,58,14,268,0,0,0,2,7322,ID,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,0,0,0,4,9,59,55,17,7,0,0,1,151,ID,
