Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Actinomyces israelii,0,0,1,3,3,4,20,51,15,1,0,0,0,0,0,0,0,0,0,1,98,-,
Actinomyces spp,0,0,7,19,11,37,73,89,40,10,3,4,2,3,0,7,0,0,0,1,305,-,
Anaerobic cocci Gram positive,0,0,0,0,26,88,51,51,31,19,7,5,7,4,5,12,5,4,0,1,315,-,
Bacillus cereus,0,0,0,0,0,0,1,14,45,50,0,0,0,0,0,0,0,0,0,1,110,ID,
Bacteroides fragilis,0,0,0,11,20,102,124,297,515,542,252,68,39,12,22,59,17,65,176,7,2321,4,
Bacteroides fragilis group,0,0,1,4,39,182,134,177,291,222,167,104,37,6,9,18,11,84,291,6,1777,-,
Bacteroides ovatus,0,0,0,0,2,0,2,3,3,10,7,4,4,4,1,4,1,2,7,3,54,-,
Bacteroides thetaiotaomicron,0,0,0,0,1,13,1,16,29,37,47,32,12,6,3,7,6,18,63,4,291,-,
Bacteroides vulgatus,0,0,0,2,0,7,3,8,0,5,4,0,3,1,2,6,2,3,5,3,51,-,
Bifidobacterium longum,0,0,6,0,27,26,7,5,0,0,1,0,0,0,0,0,0,0,7,1,79,-,
Bifidobacterium thermophilum,0,0,0,0,0,0,12,24,37,1,0,0,0,6,0,0,0,0,0,1,80,-,
Campylobacter coli,0,0,0,0,25,303,2258,3666,1303,457,222,335,268,151,70,0,0,0,0,22,9058,1,
Campylobacter jejuni,0,0,0,15,789,5911,11717,6599,1810,421,137,109,91,53,76,13,1,2,12,43,27756,0.5,
Clostridioides difficile,0,0,0,1,5,8,21,76,212,478,1113,1398,837,121,14,16,12,387,518,15,5217,16,
Clostridium perfringens,0,0,0,0,18,36,10,9,15,29,21,4,3,1,0,1,0,1,0,3,148,-,
Corynebacterium amycolatum,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,1,12,-,
Corynebacterium jeikeium,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,1,12,-,
