Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0,2,7,33,34,7,5,0,0,0,0,0,2,88,ID,
Acinetobacter baumannii,0,0,0,0,0,0,0,0,805,1451,539,54,0,29,1,0,0,0,0,4,2879,-2, 1-8
Acinetobacter junii,0,0,0,0,0,0,0,0,0,4,11,4,1,1,0,0,0,0,0,1,21,ID,
Acinetobacter pittii,0,0,0,0,0,0,0,0,36,79,11,2,0,0,0,0,0,0,0,2,128,ID,
Aeromonas hydrophila,0,0,0,0,0,0,0,1,2,12,1,2,0,2,1,34,0,0,0,1,55,-,
Citrobacter freundii,0,0,0,0,0,0,1,20,3,0,0,0,0,0,0,0,0,0,0,1,24,ID,
Enterobacter cloacae,0,0,0,0,0,0,16,255,398,76,15,6,9,17,23,8,22,2,2,6,849,2,0.25 - 2
Escherichia coli,0,0,0,0,0,2,231,2058,2747,845,56,16,14,5,8,2,30,0,0,13,6014,2,0.25 - 2
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,12,38,42,2,0,0,0,0,0,0,0,0,2,94,ID,
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,0,0,0,11,89,22,0,0,0,0,0,0,2,122,ID,
Klebsiella aerogenes,0,0,0,0,0,4,4,53,138,44,10,3,3,3,0,0,4,0,0,5,266,2,0.25 - 2
Klebsiella oxytoca,0,0,0,0,0,16,10,143,406,192,22,6,1,10,2,1,2,0,1,6,812,2,0.5 - 2
Klebsiella pneumoniae,0,0,0,0,0,0,24,453,938,281,32,18,19,42,19,5,9,0,1,8,1841,2,0.5 - 2
Klebsiella pneumoniae ATCC 700603,0,0,0,0,0,0,0,9,31,31,3,0,0,0,0,0,0,0,0,2,74,ID,
Pseudomonas aeruginosa,0,0,0,0,0,4,15,90,1507,9217,7911,400,38,58,14,4,12,0,0,21,19270,4, 2-8
Pseudomonas aeruginosa ATCC 27853,0,0,0,0,0,0,0,0,6,52,47,0,0,0,0,0,0,0,0,2,105,ID,
Pseudomonas putida group,0,0,0,0,0,0,0,2,9,22,11,0,0,0,0,0,0,0,0,2,44,ID,
Salmonella Dublin,0,0,0,0,0,0,0,0,0,52,78,259,133,2,2,0,0,0,0,4,526,-16, 4-64
