Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Clostridium perfringens,0,0,0,3,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,ID,
Clostridium ramnosum,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,1,15,ID,
Enterococcus faecalis,0,0,0,113,1231,623,58,3,2,3,7,12,10,53,0,0,0,0,0,1,2115,ID,
Enterococcus faecalis ATCC 29212,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,ID,
Enterococcus faecium,0,0,0,22,88,178,102,30,18,21,16,41,120,183,0,0,0,0,0,1,819,ID,
Nocardia abscessus,0,0,0,0,0,0,0,0,0,0,1,0,2,29,0,0,0,0,0,1,32,ID,
Nocardia cyriacigeorgica,0,0,0,0,0,0,0,0,0,0,0,5,8,16,0,0,0,0,0,1,29,ID,
Nocardia nova,0,0,0,0,0,0,0,0,1,3,12,4,29,11,0,0,0,0,0,1,60,ID,
Staphylococcus aureus,0,0,10,366,10805,16195,1502,309,41,17,2,0,0,2,0,0,0,0,0,15,29249,0.25,0.06 - 0.25
Staphylococcus aureus ATCC 29213,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,ID,
Staphylococcus epidermidis,0,0,0,483,1225,316,76,31,4,8,0,0,0,0,0,0,0,0,0,2,2143,ID,
Staphylococcus haemolyticus,0,0,0,17,30,95,171,39,9,7,3,0,0,0,0,0,0,0,0,2,371,ID,
Staphylococcus hominis,0,0,0,56,106,34,12,0,0,0,0,0,0,0,0,0,0,0,0,2,208,ID,
Staphylococcus lugdunensis,0,0,0,1,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,ID,
Staphylococcus saprophyticus,0,0,0,2,11,14,12,4,0,0,0,0,0,0,0,0,0,0,0,1,43,ID,
Staphylococcus warneri,0,0,0,5,19,10,5,2,0,0,0,0,0,0,0,0,0,0,0,1,41,ID,
Staphylococcus xylosus,0,0,0,10,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,ID,
Streptococcus agalactiae,1,1,46,234,232,145,40,15,0,0,0,0,0,0,0,0,0,0,0,8,714,0.125,0.03 - 0.25
Streptococcus group G,0,0,68,105,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,195,ID,
Streptococcus pyogenes,6,23,215,416,34,16,4,1,0,0,0,0,0,0,0,0,0,0,0,6,715,0.03,0.008 - 0.06
