Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Clostridioides difficile,0,0,0,0,1,2,9,21,38,90,39,6,0,0,0,0,0,0,0,1,206,ID,
Enterococcus faecalis,0,0,0,2,0,9,99,524,3794,10066,5148,525,16,3,7,0,0,0,0,16,20193,4,
Enterococcus faecium,0,0,0,0,0,5,39,66,198,988,11228,3308,230,7,0,0,0,0,0,16,16069,8,
Kocuria kristinae,0,0,0,0,1,7,20,107,17,8,0,5,7,0,0,0,0,0,0,2,172,-,
Listeria monocytogenes,0,0,0,0,0,0,0,1,1,49,114,64,1,0,0,0,0,0,0,3,230,-8,
Rothia aeria,0,0,0,0,0,0,0,6,3,4,7,11,5,0,0,0,0,0,0,1,36,-,
Rothia dentocariosa,0,0,0,0,0,0,0,8,2,9,15,19,13,0,0,0,0,0,0,1,66,-,
Rothia mucilaginosa,0,0,0,0,35,10,13,77,134,250,191,61,62,0,0,0,0,0,0,2,833,-,
Rothia spp,0,0,0,0,39,12,16,104,141,263,212,79,68,0,0,0,0,0,0,1,934,-,
Staphylococcus aureus,0,0,0,1,0,706,8047,18321,8505,614,14,0,0,0,0,0,0,0,0,28,36208,1,
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,7,70,2,0,0,0,0,0,0,0,0,0,2,79,-,
Staphylococcus aureus MRSA,0,0,0,0,0,0,16,131,244,57,0,0,0,0,0,0,0,0,0,4,448,-1,
Staphylococcus aureus MSSA,0,0,0,0,0,0,0,49,338,58,0,0,0,0,0,0,0,0,0,3,445,-1,
Staphylococcus capitis,0,0,0,0,0,0,0,3,24,39,21,1,1,0,0,0,0,0,0,3,89,-,
Staphylococcus epidermidis,0,0,0,0,0,39,170,957,969,88,21,0,1,0,0,0,0,0,0,9,2245,1,
Staphylococcus epidermidis MSSE,0,0,0,0,0,4,15,29,26,9,1,0,0,0,0,0,0,0,0,2,84,-,
Staphylococcus haemolyticus,0,0,0,0,0,1,37,144,119,9,0,0,0,0,0,0,0,0,0,4,310,-1,
Staphylococcus hominis,0,0,0,0,0,5,38,141,37,2,0,0,0,0,0,0,0,0,0,3,223,-,
Staphylococcus lugdunensis,0,0,0,0,0,0,1,35,35,0,0,0,0,0,0,0,0,0,0,2,71,-,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,6,22,3,0,0,0,0,0,0,0,0,0,1,31,-,
Staphylococcus warneri,0,0,0,0,0,0,0,3,21,6,1,0,0,0,0,0,0,0,0,1,31,-,
Streptococcus agalactiae,0,0,0,6,8,362,807,570,107,4,0,0,0,0,0,0,0,0,0,9,1864,0.5,
Streptococcus anginosus,0,0,0,0,0,1,5,25,32,3,0,1,0,0,0,0,0,0,0,3,67,-1,
Streptococcus bovis,0,0,0,2,5,56,26,2,0,0,0,0,0,0,0,0,0,0,0,1,91,-,
Streptococcus group G,0,0,0,0,42,233,77,10,1,1,0,0,0,0,0,0,0,0,0,4,364,-,
Streptococcus mitis,0,0,0,0,1,4,11,53,49,24,0,0,0,0,0,0,0,0,0,1,142,-,
Streptococcus oralis,0,0,0,0,0,0,7,30,57,52,3,0,0,0,0,0,0,0,0,3,149,-,
Streptococcus pneumoniae,0,0,0,0,3,248,5121,2456,280,25,1,0,0,0,0,0,0,0,0,4,8134,-0.5,
Streptococcus pyogenes,0,0,0,7,135,632,187,21,4,0,0,0,0,0,0,0,0,0,0,4,986,-0.25,
