Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,4,27,84,149,127,60,32,71,133,216,182,146,0,0,157,75,5,1463,1,0.25 - 2,
Citrobacter freundii,0,0,0,4,43,104,38,26,39,48,45,15,16,18,0,0,0,0,0,3,396,-0.25,0.06 - 0.25,
Citrobacter koseri,0,0,4,42,277,107,38,21,3,4,1,4,3,1,0,0,0,0,1,4,506,-0.125,0.03 - 0.125,
Enterobacter cloacae,0,4,7,22,160,972,979,193,85,60,88,110,78,54,0,0,0,36,30,8,2878,0.5,0.125 - 0.5,
Enterococcus faecalis,0,2,7,15,72,471,813,258,95,202,86,4,0,0,78,0,0,0,0,5,2103,0.5,0.125 - 0.5,
Enterococcus faecium,0,0,2,1,9,22,24,18,6,22,39,49,41,250,609,0,0,0,0,3,1092,ID,,
Escherichia coli,0,29,120,1288,3862,1898,491,598,270,205,890,1603,749,138,0,0,0,157,27,9,12325,0.125,0.06 - 0.5,
Haemophilus influenzae,3123,117,42,20,10,5,6,11,0,0,0,0,0,0,5,0,0,0,0,7,3339,ID,,
Haemophilus parainfluenzae,215,138,115,33,8,2,8,5,5,1,1,0,0,3,6,0,0,0,0,7,540,ID,,
Klebsiella aerogenes,0,1,0,4,26,189,360,201,54,34,9,22,7,6,0,0,0,1,2,5,916,0.5,0.25 - 1,
Klebsiella oxytoca,0,1,0,0,34,358,505,103,32,8,8,4,2,3,0,0,0,1,0,6,1059,0.5,0.125 - 0.5,
Klebsiella pneumoniae,0,5,3,25,311,1872,1516,312,228,201,266,388,292,367,1,1,0,288,247,12,6323,0.25,0.125 - 0.5,
Proteus mirabilis,0,1,2,39,408,892,176,37,54,114,213,96,25,8,0,15,1,0,0,7,2081,0.25,0.06 - 0.25,
Proteus vulgaris,0,0,1,2,16,14,14,5,2,3,3,1,0,0,0,0,0,0,0,1,61,ID,,
Pseudomonas aeruginosa,0,19,14,35,81,160,456,2200,2301,737,578,386,306,387,1,0,0,311,159,9,8131,2,0.5 - 4,
Staphylococcus aureus,2030,6475,5398,664,71,141,1176,2255,1055,739,297,327,73,3,0,0,0,0,0,5,20704,0.016,0.008 - 0.03,
Staphylococcus aureus MRSA,117,1028,1185,141,58,257,1018,1908,894,677,277,291,68,2,0,0,0,0,0,5,7921,0.016,,
Staphylococcus aureus MSSA,1874,6245,4190,530,52,77,230,425,187,98,33,36,5,1,0,0,0,0,0,5,13983,0.016,0.008 - 0.03,
Staphylococcus epidermidis,14,129,247,38,2,24,87,165,110,78,66,6,1,3,0,0,0,0,0,3,970,-0.03,0.008 - 0.03,
Staphylococcus haemolyticus,21,84,93,10,3,1,5,58,105,37,7,1,1,4,0,0,0,0,0,5,430,0.016,0.004 - 0.03,
Staphylococcus hominis,71,175,101,8,1,5,21,24,14,15,22,3,0,2,0,0,0,0,0,5,462,0.016,0.008 - 0.03,
Staphylococcus lugdunensis,6,15,119,283,66,0,1,0,1,2,0,0,0,0,0,0,0,0,0,5,493,0.06,0.016 - 0.06,
Streptococcus agalactiae,35,62,377,890,425,37,8,6,9,6,0,0,0,0,0,0,0,0,0,8,1855,0.06,0.03 - 0.06,
Streptococcus anginosus,61,130,169,115,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,506,0.03,0.016 - 0.125,
Streptococcus dysgalactiae,26,127,347,405,60,5,11,2,0,1,1,0,0,0,0,0,0,0,0,7,985,0.06,0.03 - 0.06,
Streptococcus mitis,29,20,54,78,41,10,5,0,1,1,0,0,0,0,0,0,0,0,0,2,239,ID,,
Streptococcus pneumoniae,48,163,1130,3223,1404,174,42,29,5,4,0,0,0,0,1,0,0,0,0,8,6223,0.06,0.016 - 0.06,
Streptococcus pyogenes,32,342,1476,1247,377,33,2,2,0,0,0,0,0,0,0,0,0,0,0,8,3511,0.03,0.016 - 0.06,
