Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,2,21,104,249,228,306,277,192,252,353,1,16,31,0,0,11,2032,1,
Acinetobacter lwoffii,0,0,0,0,0,37,38,35,26,4,4,0,6,3,0,0,0,0,0,7,153,1,
Acinetobacter pittii,0,0,0,0,0,0,0,9,18,3,3,1,2,0,1,0,0,0,0,1,37,-,
Alcaligenes xylosoxidans,0,0,0,0,0,0,3,4,20,6,7,9,2,6,0,0,0,0,0,3,57,-,
Bacteroides fragilis,0,0,0,0,3,4,33,131,35,11,11,9,4,4,1,0,0,0,0,2,246,-,
Bacteroides fragilis group,0,0,0,0,3,7,56,297,88,25,15,10,8,5,1,0,0,0,0,2,515,-,
Bacteroides thetaiotaomicron,0,0,0,0,0,0,5,54,17,3,1,0,1,0,0,0,0,0,0,1,81,-,
Citrobacter freundii,0,0,1,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,-,
Citrobacter koseri,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,-,
Clostridioides difficile,0,0,0,0,0,0,0,0,1,6,33,1,0,0,0,0,0,0,0,1,41,ID,
Enterobacter cloacae,0,0,1,149,606,322,201,71,20,4,1,1,0,0,0,0,0,0,0,5,1376,0.125,
Enterococcus avium,0,0,0,0,0,1,0,0,0,5,10,11,1,3,0,0,0,0,0,1,31,-,
Enterococcus faecalis,0,0,0,0,1,13,1,14,74,259,1647,4186,1320,338,2,0,1,0,0,13,7856,16,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,1,4,5,2,5,8,53,52,131,0,3,261,ID,
Enterococcus gallinarum,0,0,0,0,0,0,2,0,1,7,17,24,13,33,0,0,0,0,0,5,97,-,
Escherichia coli,0,0,6,558,1935,99,13,4,0,0,0,3,0,0,0,0,0,0,0,5,2618,0.125,
Haemophilus influenzae,0,0,14,22,97,454,411,156,130,44,21,9,0,0,0,0,0,0,0,4,1358,-0.5,
Klebsiella aerogenes,0,0,0,3,22,27,11,2,0,0,0,0,0,0,0,0,0,0,0,3,65,-0.125,
Klebsiella oxytoca,0,0,0,10,88,47,5,2,1,0,0,0,0,0,0,0,0,0,0,3,153,-0.125,
Klebsiella pneumoniae,0,0,1,176,1370,840,205,18,4,0,3,4,4,0,1,0,0,0,0,5,2626,0.125,
Moraxella catarrhalis,0,0,7,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,-,
Morganella morganii,0,0,0,0,7,52,181,221,79,7,0,0,0,0,0,0,0,0,0,10,547,1,
Proteus mirabilis,0,0,0,2,87,1233,2265,1423,205,27,10,0,0,3,0,0,0,0,0,28,5255,0.5,
Proteus vulgaris,0,0,0,0,0,40,105,45,5,0,0,0,0,0,0,0,0,0,0,7,195,0.5,
Pseudomonas aeruginosa,0,0,0,7,68,531,1616,2146,2165,1431,790,877,661,595,45,7,0,0,0,16,10939,1,
Serratia liquefaciens,0,0,0,0,0,1,8,4,2,0,0,0,0,0,0,0,0,0,0,1,15,-,
Serratia marcescens,0,0,0,4,33,555,1236,367,40,4,0,1,2,7,0,3,0,0,0,12,2252,0.5,
Staphylococcus aureus,0,0,0,35,1121,1234,61,7,3,1,1,0,0,0,0,0,0,0,0,2,2463,-,
Staphylococcus aureus MRSA,0,0,0,5,34,236,776,1436,1942,1662,1154,1214,1342,3094,501,73,0,0,0,15,13469,-,
Staphylococcus aureus MSSA,0,0,0,196,816,135,16,13,9,4,2,0,0,0,0,0,0,0,0,4,1191,-0.125,
Staphylococcus coagulase negative,0,0,0,11,17,12,11,6,14,18,10,8,10,6,1,0,0,0,0,2,124,-,
Staphylococcus epidermidis,0,0,0,12,46,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,69,-,
Staphylococcus epidermidis MSSE,0,0,1,14,14,12,3,1,0,0,0,0,0,0,0,0,0,0,0,1,45,-,
Staphylococcus lugdunensis,0,0,0,0,0,8,13,10,0,0,2,0,0,0,0,0,0,0,0,1,33,-,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,4,4,2,12,21,945,12,6,4,0,3,11,1013,-,
Streptococcus agalactiae,0,3,36,214,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,273,-0.032,
Streptococcus anginosus,0,0,2,10,27,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,44,-,
Streptococcus bovis,0,1,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,-,
Streptococcus group G,5,126,13,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,156,-,
Streptococcus oralis,0,9,41,47,31,11,12,3,5,2,0,0,0,0,0,0,0,0,0,3,161,-0.032,
Streptococcus pneumoniae,7,529,123,19,12,13,14,43,13,4,0,0,0,0,0,0,0,0,0,4,777,-0.016,
Streptococcus pyogenes,88,169,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,278,-0.016,
Streptococcus salivarius,0,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,-,
"Streptococcus, viridans group",0,2,73,83,88,41,30,8,7,3,0,0,0,0,0,0,0,0,0,2,335,-,
