Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,0,74,25,24,6,3,3,2,9,22,34,3,0,0,2,205,-,
Actinobacillus pleuropneumoniae,0,0,0,0,0,0,0,5,61,24,6,2,4,0,0,0,0,0,0,1,102,-,
Actinomyces spp,0,0,0,0,1,3,26,108,90,52,6,6,2,9,2,0,0,0,0,1,305,-,
Burkholderia pseudomallei,0,0,0,0,0,0,2,44,184,82,18,8,7,7,0,0,0,0,0,7,352,2,0.5 - 2
Campylobacter coli,0,0,0,0,1,13,180,73,46,23,23,70,236,248,143,17,0,0,0,9,1073,1,
Campylobacter jejuni,0,0,0,0,12,136,285,46,41,14,35,53,139,148,62,0,0,0,0,8,971,0.5,
Citrobacter freundii,0,0,0,0,0,0,0,1,8,73,133,53,18,49,20,1,0,0,0,3,356,-8,
Corynebacterium striatum,0,0,0,0,0,0,4,0,0,1,0,2,9,0,0,0,0,0,0,1,16,-,
Enterobacter cloacae,0,0,0,0,0,0,4,4,8,81,458,271,47,70,11,4,0,0,0,3,958,-8,
Enterococcus faecalis,0,0,0,0,0,4,86,221,61,8,5,57,329,400,183,0,1,0,0,5,1355,0.5,
Enterococcus faecium,0,0,0,0,0,4,267,163,11,14,17,18,229,816,645,35,0,0,0,13,2219,0.5,
Escherichia coli,0,0,0,0,0,0,1,25,223,865,1246,371,784,786,578,142,6,1,0,17,5028,4,
Haemophilus influenzae,0,0,0,0,0,0,0,19,7,0,4,0,0,0,0,0,0,0,0,1,30,-,
Kingella kingae,0,0,0,0,0,45,127,17,8,5,0,0,0,0,0,0,0,0,0,1,202,-,
Klebsiella aerogenes,0,0,0,0,0,0,0,1,5,47,86,16,8,14,0,0,0,0,0,2,177,-,
Klebsiella oxytoca,0,0,0,0,0,0,2,3,113,342,79,43,18,47,8,0,0,0,0,3,655,-4,
Klebsiella pneumoniae,0,0,0,0,0,0,0,1,39,158,139,38,23,35,47,1,0,0,0,2,481,-,
Kocuria kristinae,0,0,0,0,0,0,23,89,15,4,3,3,21,13,0,0,0,0,0,2,171,-,
Legionella pneumophila,0,0,0,0,0,0,0,0,0,5,48,106,24,0,0,0,0,0,0,1,183,-,
Mannheimia haemolytica,0,0,0,0,1,1,6,56,204,52,13,7,15,8,1,0,0,0,0,9,364,2,
Moraxella catarrhalis,0,0,0,0,0,0,16,89,160,19,1,2,0,0,0,0,0,0,0,1,287,-,
Morganella morganii,0,0,0,0,0,0,0,0,8,15,12,9,5,5,8,17,0,0,0,1,79,-,
Mycobacterium marinum,0,0,0,0,0,0,0,0,0,2,2,19,10,0,0,0,0,0,0,1,33,-,
Pasteurella multocida,0,0,0,0,0,3,83,433,214,79,67,13,5,0,0,0,0,0,0,15,897,1,0.25 - 1
Proteus mirabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,30,2,50,-,
Proteus vulgaris,0,0,0,0,0,0,0,1,2,6,21,32,28,5,15,3,0,0,0,2,113,-,
Rothia aeria,0,0,0,0,0,0,2,17,4,16,0,1,0,0,0,0,0,0,0,1,40,-,
Rothia dentocariosa,0,0,0,0,0,0,11,43,12,147,9,7,17,6,0,0,0,0,0,2,252,-,
Rothia mucilaginosa,0,0,0,0,0,0,66,304,254,75,18,20,63,44,0,0,0,0,0,2,844,-,
Rothia spp,0,0,0,0,0,0,75,345,282,100,20,22,63,45,0,0,0,0,0,1,952,-,
Salmonella enterica,0,0,0,0,0,0,0,1,7,243,3404,1817,633,302,313,119,0,0,0,5,6839,8,
Serratia marcescens,0,0,0,0,0,0,0,1,1,4,20,48,50,38,11,1,0,0,0,2,174,-,
Staphylococcus aureus,0,0,0,20,195,1208,2018,742,155,129,245,202,67,37,14,3,1,1,0,7,5037,0.5,
Staphylococcus coagulase negative,0,0,0,0,0,3,13,2,6,1,1,3,4,3,4,0,0,0,0,1,40,-,
Staphylococcus haemolyticus,0,0,0,0,0,0,40,12,107,84,2,2,3,37,0,0,0,0,0,1,287,-,
Staphylococcus hyicus,0,0,0,0,0,5,61,43,3,0,0,6,18,0,0,0,0,0,0,5,136,0.5,0.125 - 0.500
Staphylococcus pseudintermedius,0,0,0,0,1,188,61,4,1,1,10,55,153,0,0,0,0,0,0,9,474,0.125,0.063 - 0.125
Staphylococcus saprophyticus,0,0,0,0,0,1,15,2,0,0,0,0,0,0,0,0,0,0,0,1,18,-,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,2,12,41,94,63,31,7,2,0,0,0,0,2,252,-,
Streptococcus agalactiae,0,0,0,0,0,4,6,3,2,1,3,0,22,11,0,0,0,0,0,2,52,-,
Streptococcus pneumoniae,0,0,0,3,12,298,2493,1204,183,54,65,191,194,56,7,3,0,0,0,6,4763,0.5,
Streptococcus pyogenes,0,0,0,3,18,167,901,740,105,11,3,3,49,159,65,12,1,2,0,7,2239,0.5,
"Streptococcus, viridans group",0,0,0,0,2,3,9,3,0,1,0,2,2,3,0,0,0,0,0,1,25,-,
Yersinia enterocolitica,0,0,0,0,0,0,0,1,42,94,41,0,0,0,0,0,0,0,0,2,178,-,
