Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,0,0,0,0,4,10,9,2,4,0,0,0,0,0,0,0,1,29,-,
Acinetobacter lwoffii,0,0,0,0,3,7,14,5,0,0,0,0,0,0,0,0,0,0,0,1,29,-,
Bacteroides fragilis,0,0,0,0,1,10,56,104,84,29,33,11,5,0,0,0,0,0,0,3,333,-1,
Bacteroides ovatus,0,0,0,0,0,3,7,7,9,4,0,0,0,0,0,0,0,0,0,1,30,-,
Bacteroides thetaiotaomicron,0,0,0,0,1,10,18,41,48,22,8,7,1,0,0,0,0,0,0,3,156,-,
Bacteroides uniformis,0,0,0,0,7,2,6,5,3,7,1,0,0,0,0,0,0,0,0,2,31,-,
Bacteroides vulgatus,0,0,0,0,0,6,18,10,4,1,0,0,0,0,0,0,0,0,0,2,39,-,
Citrobacter freundii,0,0,0,2,0,1,23,28,33,9,6,0,0,0,0,0,0,0,0,2,102,-,
Enterobacter cloacae,0,0,0,0,0,2,37,479,725,98,36,28,7,0,0,0,0,0,0,4,1412,-2,
Enterococcus faecalis,0,0,5,8,373,863,108,3,4,0,0,0,0,0,0,0,0,0,0,5,1364,0.125,
Enterococcus faecium,0,0,6,22,500,399,37,11,10,2,0,0,0,0,0,0,0,0,0,5,987,0.125,
Escherichia coli,0,0,0,0,2,109,560,308,57,14,1,1,0,0,0,0,0,0,0,3,1052,-0.5,
Haemophilus influenzae,0,0,1,5,15,32,264,215,15,0,0,0,0,0,0,0,0,0,0,2,547,-,
Klebsiella aerogenes,0,0,0,1,0,0,77,289,58,12,6,12,0,0,0,0,0,0,0,2,455,-,
Klebsiella oxytoca,0,0,0,0,0,17,465,587,76,40,14,0,1,0,0,0,0,0,0,3,1200,-0.5,
Klebsiella pneumoniae,0,0,0,0,0,5,148,830,505,148,88,27,7,0,0,0,0,0,0,6,1758,1,
Klebsiella variicola,0,0,0,0,0,1,7,33,4,3,1,0,0,0,0,0,0,0,0,1,49,-,
Morganella morganii,0,0,0,0,0,0,1,9,78,144,89,15,2,0,0,0,0,0,0,3,338,-4,
Proteus mirabilis,0,0,0,0,0,0,1,15,108,436,482,78,2,0,0,0,0,0,0,6,1122,4,
Proteus vulgaris,0,0,0,0,0,0,3,30,156,228,12,1,0,0,0,0,0,0,0,5,430,2,
Providencia rettgeri,0,0,0,0,0,0,0,4,5,28,42,3,0,0,0,0,0,0,0,2,82,-,
Providencia stuartii,0,0,0,0,0,0,2,6,43,106,51,14,8,0,0,0,0,0,0,4,230,-4,
Pseudomonas aeruginosa,0,0,0,2,1,1,2,4,13,39,62,464,677,215,45,0,1,0,0,5,1526,32,
Salmonella enterica,0,0,0,0,0,0,3,26,1,0,0,0,0,0,0,0,0,0,0,1,30,-,
Serratia marcescens,0,0,0,0,0,0,1,7,118,553,283,37,8,0,0,0,0,0,0,6,1007,4,
Shigella spp,0,0,0,0,0,4,12,8,4,1,0,0,0,0,0,0,0,0,0,1,29,-,
Staphylococcus aureus,0,0,7,19,523,1711,512,112,53,21,0,0,0,0,0,0,0,0,0,5,2958,0.25,
Staphylococcus epidermidis,0,0,8,28,73,146,66,119,108,20,1,0,0,0,0,0,0,0,0,3,569,-,
Staphylococcus haemolyticus,0,0,0,12,115,70,76,155,41,14,3,0,0,0,0,0,0,0,0,3,486,-,
Staphylococcus hominis,0,0,0,2,19,7,2,6,0,1,0,0,0,0,0,0,0,0,0,2,37,-,
Staphylococcus saprophyticus,0,0,0,0,2,12,6,2,0,0,0,0,0,0,0,0,0,0,0,1,22,-,
Stenotrophomonas maltophilia,0,0,0,0,1,3,27,127,339,456,199,68,15,2,0,0,0,0,0,5,1237,4,
Streptococcus agalactiae,0,0,2,11,209,269,17,0,0,0,0,0,0,0,0,0,0,0,0,3,508,-0.125,
Streptococcus anginosus,13,10,28,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,-,
Streptococcus pneumoniae,14,75,398,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,539,-,
Streptococcus pyogenes,1,2,43,64,354,36,1,0,0,0,0,0,0,0,0,0,0,0,0,4,501,-0.064,
