Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter baumannii,0,0,0,2,0,1,4,5,9,49,90,67,39,14,9,7,0,0,6,3,302,-,
Acinetobacter lwoffii,0,0,0,0,0,3,3,1,9,11,17,13,3,10,0,0,0,0,0,1,70,-,
Bacteroides fragilis,0,0,1,2,5,41,55,58,28,3,13,4,0,0,0,0,0,0,0,2,210,-,
Campylobacter jejuni,6,38,70,101,71,59,6,18,0,2,2,0,0,0,0,0,0,0,0,4,373,-,
Clostridioides difficile,0,0,0,0,0,0,0,0,0,0,12,151,98,5,0,0,0,0,0,1,266,ID,
Enterobacter cloacae,0,0,41,160,110,64,49,39,30,72,46,18,1,0,0,0,0,0,0,4,630,-,
Enterococcus faecalis,0,0,0,0,0,0,0,0,2,3,25,174,204,55,17,0,0,0,0,4,480,-,
Escherichia coli,0,40,691,178,42,23,10,2,0,0,0,0,2,0,0,0,0,0,0,4,988,-0.03,
Escherichia coli NCTC 13846,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,-,
Haemophilus influenzae,1,7,67,380,1353,1265,427,160,38,7,0,0,0,0,0,0,0,0,0,10,3705,-,
Haemophilus parainfluenzae,0,0,12,28,46,25,10,0,0,0,0,0,0,0,0,0,0,0,0,1,121,-,
Klebsiella aerogenes,0,2,0,15,13,3,3,5,8,4,1,0,0,0,0,0,0,0,0,2,54,-,
Klebsiella oxytoca,0,4,38,49,10,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,105,-,
Klebsiella pneumoniae,0,2,140,275,46,30,31,10,2,2,3,1,1,0,0,0,0,0,0,3,543,-,
Klebsiella pneumoniae ATCC 700603,0,0,0,0,8,19,5,0,0,0,0,0,0,0,0,0,0,0,0,1,32,-,
Moraxella catarrhalis,4,107,304,578,185,137,28,0,0,0,0,0,0,0,0,0,0,0,0,4,1343,-,
Morganella morganii,0,4,30,67,87,41,6,1,0,0,0,2,0,0,0,0,0,0,0,5,238,-,
Proteus mirabilis,1,63,581,242,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,896,-,
Proteus vulgaris,0,0,18,137,70,16,20,9,7,1,0,0,2,0,0,0,0,0,0,3,280,-,
Providencia rettgeri,0,0,2,10,3,6,9,6,3,0,0,0,1,0,0,0,0,0,0,1,40,-,
Pseudomonas aeruginosa,0,0,0,1,1,1,4,4,20,38,102,131,131,99,37,44,0,0,0,2,613,-,
Pseudomonas aeruginosa ATCC 27853,0,0,0,0,0,0,0,0,0,0,1,24,15,0,0,0,0,0,0,1,40,-,
Rothia dentocariosa,0,0,0,0,0,0,0,162,9,2,0,0,0,0,0,0,0,0,0,1,173,-,
Serratia marcescens,0,0,4,68,43,33,16,18,8,0,1,1,0,0,0,0,0,0,0,1,192,-,
Staphylococcus aureus,0,0,5,2,7,64,572,262,41,14,7,16,17,16,16,7,11,10,0,5,1067,-,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,2,6,37,14,0,2,0,0,0,0,0,0,1,61,-,
Streptococcus agalactiae,0,0,31,56,261,189,37,3,1,0,0,0,2,2,0,0,0,0,0,7,582,-,
Streptococcus anginosus,0,0,0,0,2,3,27,9,5,0,0,0,0,0,0,0,0,0,0,2,46,-,
Streptococcus group G,0,7,31,40,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,94,-,
Streptococcus oralis,0,0,4,24,30,18,8,7,3,3,0,1,0,0,0,0,0,0,0,2,98,-,
Streptococcus pneumoniae,99,590,1109,712,106,50,41,98,90,23,2,0,0,1,0,0,0,0,0,7,2921,-,
Streptococcus pyogenes,0,3,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,-,
