Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Actinobacillus pleuropneumoniae,0,0,0,0,0,0,1,0,0,1,14,60,3,0,0,0,0,0,0,2,79,ID,
Actinomyces israelii,0,0,2,6,32,44,13,1,0,0,0,0,0,0,0,0,0,0,0,1,98,ID,
Bacillus cereus,0,0,0,0,0,0,30,60,2,7,9,0,2,0,0,0,0,0,0,1,110,ID,
Bacteroides fragilis group,0,0,0,0,0,0,0,2,10,30,10,0,0,0,0,0,0,0,0,1,52,ID,
Bifidobacterium adolescentis,0,0,5,0,10,18,11,1,0,0,0,0,0,0,0,0,0,0,0,1,45,ID,
Bifidobacterium animalis,0,0,0,0,5,8,3,0,0,0,0,0,0,0,0,0,0,0,1,1,17,ID,
Bifidobacterium bifidum,0,0,1,0,11,8,4,1,0,0,0,0,0,0,0,0,0,0,0,1,25,ID,
Bifidobacterium longum,0,0,1,1,3,19,31,14,1,0,0,0,2,5,0,0,0,0,1,1,78,ID,
Bordetella bronchiseptica,0,0,0,0,0,0,0,0,0,0,2,5,20,0,3,0,0,0,0,1,30,ID,
Campylobacter coli,0,0,0,0,7,18,353,1742,2599,3767,1660,820,329,65,49,166,1315,126,9,56,13025,8, 4-16
Campylobacter jejuni,0,0,0,2,23,171,2337,10772,10000,4828,1421,257,34,16,5,29,256,16,90,64,30257,4, 4-16
Campylobacter upsaliensis,0,0,0,0,0,0,0,1,3,11,8,2,0,0,0,0,0,0,0,1,25,ID,
Clostridioides difficile,0,0,0,0,1,7,9,54,278,728,533,47,12,17,7,5,2,443,2128,7,4271,4, 1-8
Enterococcus faecalis,0,0,0,0,1,3,2,25,169,247,258,113,18,19,8,157,57,70,350,16,1497,4, 1-8
Enterococcus faecalis ATCC 29212,0,0,0,0,0,0,0,0,0,8,41,5,0,0,0,0,0,0,0,2,54,ID,
Enterococcus faecium,0,0,0,0,0,4,80,309,486,513,565,331,82,44,158,110,771,223,0,22,3676,4,0.5 - 4
Enterococcus hirae,0,0,0,0,0,0,0,97,403,9,8,2,5,0,0,42,2,0,0,8,568,1,0.25 - 1
Haemophilus influenzae,0,0,0,0,1,7,21,113,127,618,4474,15093,7781,808,100,22,23,2,6,14,29196,16, 8-32
Haemophilus parainfluenzae,0,0,0,0,0,0,0,3,22,84,127,135,38,7,0,0,0,0,0,1,416,ID,
Kingella kingae,0,0,0,0,0,43,47,96,15,1,0,0,0,0,0,0,0,0,0,1,202,ID,
Kocuria kristinae,0,0,0,0,0,0,86,7,7,2,3,8,57,0,0,0,0,0,0,2,170,-,
Lactobacillus delbrueckii,0,0,0,0,0,0,31,6,5,1,0,1,0,0,0,0,0,0,0,1,44,-,
Lactobacillus fermentum,0,0,0,0,0,0,1,9,20,23,2,1,0,0,0,0,0,0,0,1,56,ID,
Lactobacillus gasseri,0,0,0,0,0,0,11,19,5,0,0,0,0,0,0,0,0,0,1,1,36,ID,
Lactobacillus johnsonii,0,0,0,0,0,0,9,9,4,0,0,0,0,0,0,0,0,0,4,1,26,ID,
Lactobacillus lactis,0,0,0,0,0,22,44,13,10,0,0,0,0,0,0,0,0,0,0,1,89,ID,
Lactobacillus paracasei,0,0,0,0,0,0,20,40,41,26,1,0,0,0,2,0,0,0,2,2,132,ID,
Lactobacillus plantarum,0,0,0,0,0,0,7,22,69,88,16,0,0,0,0,0,0,0,0,2,202,ID,
Lactobacillus reuteri,0,0,0,0,0,0,0,5,42,43,10,0,0,0,6,0,0,0,6,2,112,ID,
Lactobacillus sakei,0,0,0,0,0,0,1,6,43,28,2,2,0,0,1,0,0,0,0,1,83,ID,
Lactococcus lactis,0,0,0,0,0,22,44,13,10,0,0,0,0,0,0,0,0,0,0,1,89,ID,
Legionella pneumophila,0,0,0,0,2,30,119,25,5,1,1,0,0,0,0,0,0,0,0,1,183,ID,
Listeria monocytogenes,0,0,0,0,0,3,68,96,263,6,0,0,0,0,0,0,0,0,0,4,436,-1,0.25 - 1
Mannheimia haemolytica,0,0,0,0,0,0,4,2,1,1,43,173,15,1,4,0,0,0,0,7,244,8, 4-16
Moraxella catarrhalis,0,0,13,52,205,2279,407,73,5,2,2,0,0,0,0,0,0,0,0,8,3038,0.25,0.06 - 0.125
Neisseria gonorrhoeae,0,0,3,2,33,55,134,227,335,396,258,217,52,5,1,2,0,1,0,10,1721,ID,
Pasteurella multocida,0,0,0,0,0,0,1,2,5,23,92,139,57,6,10,0,0,0,0,9,335,16, 4-32
Peptostreptococcus spp,0,0,0,1,6,0,0,1,3,5,0,2,0,0,0,0,0,2,0,1,20,-,
Rothia aeria,0,0,0,0,0,0,34,1,0,0,0,1,4,0,0,0,0,0,0,1,40,-,
Rothia dentocariosa,0,0,0,0,0,0,59,1,1,3,0,1,13,0,0,0,0,0,0,1,78,-,
Rothia mucilaginosa,0,0,0,0,0,0,639,47,50,26,17,12,54,0,0,0,0,0,0,2,845,-,
Rothia spp,0,0,0,0,0,0,721,48,53,31,17,18,66,0,0,0,0,0,0,1,954,-,
Staphylococcus aureus,0,0,0,17,62,967,4960,15963,7054,868,127,161,1026,3550,69,1293,1649,236,1037,26,39039,1,0.5 - 1
Staphylococcus aureus ATCC 29213,0,0,0,0,0,0,0,1,94,0,0,0,0,0,0,0,0,0,0,2,95,-,0.5 - 1
Staphylococcus aureus MRSA,0,0,0,0,0,0,1,164,1270,45,3,25,764,2,1,0,22,314,0,7,2611,1,0.5 - 1
Staphylococcus aureus MSSA,0,0,0,0,0,0,2,64,468,24,5,42,1,2,3,3,4,62,0,6,680,1,0.5 - 1
Staphylococcus capitis,0,0,0,0,0,38,73,45,12,0,1,1,2,38,0,0,0,0,210,1,420,ID,
Staphylococcus epidermidis,0,0,0,0,1,159,247,133,84,12,5,22,55,1036,143,16,19,135,0,5,2067,1,0.25 - 1
Staphylococcus epidermidis MSSE,0,0,0,0,0,0,3,20,26,0,0,0,3,5,1,6,7,13,0,2,84,-,0.25 - 1
Staphylococcus haemolyticus,0,0,0,0,0,11,24,6,8,6,8,3,5,201,19,0,0,0,2,2,293,ID,
Staphylococcus hyicus,0,0,0,0,0,0,10,106,156,4,0,8,0,1,49,0,0,0,0,6,334,1,0.25 - 1
Staphylococcus intermedius,0,0,0,0,0,0,0,8,68,4,1,0,0,0,0,18,0,0,0,1,99,ID,
Staphylococcus pseudintermedius,0,0,0,0,0,3,15,373,24,9,1,248,1,1,224,0,0,0,0,18,899,0.5,0.125 - 0.5
Staphylococcus saprophyticus,0,0,0,0,0,0,13,10,1,0,0,0,0,0,2,2,0,2,0,1,30,ID,
Staphylococcus warneri,0,0,0,0,0,25,35,13,3,2,3,0,4,48,17,0,0,0,251,2,401,ID,
Streptococcus agalactiae,0,0,0,15,96,638,131,33,0,2,0,26,10,28,1,0,0,15,0,9,995,0.5,0.125 - 0.5
Streptococcus anginosus,0,0,0,0,0,12,36,1,3,10,1,0,3,0,0,0,0,1,0,3,67,-0.25,0.03 - 0.5
Streptococcus canis,0,0,0,0,5,43,13,0,0,0,0,19,0,0,0,0,0,0,0,3,80,-0.25,0.03 - 0.5
Streptococcus dysgalactiae,0,0,0,1,27,96,6,0,1,3,1,10,0,0,0,0,0,0,0,5,145,0.25,0.06 - 0.125
Streptococcus equi,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,ID,
Streptococcus equisimilis,0,0,0,0,6,39,3,0,0,0,0,9,0,0,0,0,0,0,0,2,57,ID,
Streptococcus group G,0,0,0,0,2,32,39,6,3,2,1,1,2,2,0,0,1,3,0,2,94,ID,
Streptococcus milleri,0,0,0,0,11,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,30,ID,
Streptococcus oralis,0,0,0,0,1,20,35,4,1,13,4,23,14,10,6,4,3,7,0,3,145,-0.25,0.03 - 1
Streptococcus pneumoniae,0,1,4,205,2558,19210,6372,867,94,173,706,1065,856,594,720,548,5513,368,0,28,39847,0.25,0.125 - 0.5
Streptococcus pneumoniae ATCC 49619,0,0,0,0,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,ID,
Streptococcus pyogenes,0,0,0,66,3038,5457,1030,186,27,40,104,116,278,228,12,8,363,8,0,8,10961,0.25,0.06 - 0.5
Streptococcus suis,0,0,0,1,24,68,34,1,2,2,5,64,0,0,0,0,0,0,0,4,201,-0.25,0.06 - 0.5
Streptococcus thermophilus,0,0,0,0,0,2,46,69,3,0,0,0,0,0,0,0,0,8,0,2,128,ID,
Streptococcus uberis,0,0,0,4,38,150,13,1,0,5,1,20,0,0,0,14,0,0,0,6,246,0.25,0.06 - 0.25
Streptococcus zooepidemicus,0,0,0,0,4,25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30,ID,
Yersinia enterocolitica,0,0,0,0,0,0,0,0,0,0,0,3,25,53,57,13,0,0,0,1,151,ID,
