Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Actinobacillus pleuropneumoniae,0,0,0,0,0,2,34,666,91,2,5,2,0,1,0,0,0,0,0,12,803,-,
Arcanobacterium pyogenes,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,2,78,-,
Bordetella bronchiseptica,0,0,0,0,0,0,0,0,1,56,214,489,54,10,15,2,0,0,1,12,842,8,
Campylobacter coli,0,0,0,0,2,4,2,14,824,6378,1619,89,4,6,1,0,0,0,0,21,8943,4,
Campylobacter jejuni,0,0,0,0,16,38,53,174,5977,13061,1988,249,30,6,1,0,0,0,0,20,21593,4,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,284,264,1,0,0,0,0,0,0,5,549,8,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,0,251,459,2,0,0,0,1,0,0,5,713,8,
Escherichia coli,0,0,0,0,0,0,0,0,0,1,335,4503,4260,319,21,9,16,0,0,34,9464,16,
Haemophilus parasuis,0,0,0,0,0,0,6,35,27,0,0,0,0,0,0,0,0,0,0,1,68,-,
Mannheimia haemolytica,0,0,0,0,0,3,4,51,365,894,70,3,4,3,0,1,0,0,0,27,1398,2,
Pasteurella multocida,0,0,0,0,0,11,105,1432,3043,119,15,11,5,3,4,0,0,0,0,56,4748,1,0.5 - 1
Salmonella enterica,0,0,0,0,0,0,0,0,0,1,1580,16073,3601,561,1099,445,238,4,0,20,23602,16,
Staphylococcus aureus,0,0,0,0,0,0,0,0,0,0,45,74,3,1,0,0,0,0,0,3,123,-8,
Staphylococcus hyicus,0,0,0,0,0,0,0,0,0,7,245,113,0,0,1,0,0,0,0,8,366,4,2.000 - 4.000
Staphylococcus pseudintermedius,0,0,0,0,0,0,0,0,0,5,256,155,3,1,0,0,0,0,0,9,420,8,2.000 - 8.000
