Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Candida albicans EUCAST,0,0,0,0,0,89,693,734,206,78,33,25,27,19,1,4,32,0,0,10,1941,-,
Candida dubliniensis EUCAST,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,-,
Candida famata EUCAST,0,0,0,0,0,0,3,21,5,2,0,2,0,1,0,1,0,0,0,8,35,-,
Candida glabrata EUCAST,0,0,0,0,0,29,150,192,9,6,2,3,11,9,0,1,5,0,0,10,417,-,
Candida guilliermondii EUCAST,0,0,0,0,0,0,28,19,4,2,1,1,8,2,0,0,0,0,0,8,65,-,
Candida kefyr EUCAST,0,0,0,0,0,1,1,2,2,5,1,3,3,0,0,0,0,0,0,6,18,-,
Candida krusei EUCAST,0,0,0,0,0,0,0,0,4,8,66,88,18,25,1,0,1,0,0,10,211,-,
Candida lusitaniae EUCAST,0,0,0,0,0,5,20,13,1,0,0,0,0,2,1,3,1,0,0,10,46,-,
Candida norvegensis EUCAST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-,
Candida parapsilosis EUCAST,0,0,0,0,0,31,192,261,66,49,9,5,0,1,0,1,2,0,0,10,617,-,
Candida pintolopesii EUCAST,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,4,7,-,
Candida tropicalis EUCAST,0,0,0,0,0,0,149,144,18,4,4,2,3,9,5,7,0,0,0,9,345,-,
Candida utilis EUCAST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-,
Pichia anomala EUCAST,0,0,0,0,0,0,2,14,0,0,0,0,1,1,3,2,0,0,0,5,23,-,
Saccharomyces cerevisiae EUCAST,0,0,0,0,0,0,8,9,0,1,1,2,0,1,0,0,0,0,0,5,22,-,
