Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Enterococcus faecalis,0,0,0,0,0,0,0,0,2,2,0,1,17,98,959,502,64,9,12,6,1666,-,
Enterococcus faecium,0,0,0,0,0,0,0,0,1,0,0,0,0,3,54,373,52,0,0,1,483,-,
Enterococcus spp,0,0,0,0,0,0,0,1,0,0,0,0,8,46,31,6,3,1,0,2,96,-,
Escherichia coli,0,0,0,0,0,0,0,4,224,596,217,47,18,19,15,7,17,23,0,6,1187,4,
Haemophilus influenzae,0,0,0,0,0,0,0,0,0,37,5,5,0,0,1,1,1,0,0,1,50,-,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,0,0,1,2,7,19,32,13,6,0,0,1,80,-,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,0,3,3,35,88,79,46,7,1,24,1,2,287,-,
Proteus mirabilis,0,0,0,0,0,0,6,15,89,188,200,199,242,100,78,88,89,34,0,7,1328,8,
Serratia marcescens,0,0,0,0,0,0,0,0,3,7,20,51,30,36,7,6,4,0,0,2,164,-,
Shigella spp,0,0,0,0,0,0,0,0,4,63,101,8,6,0,0,3,0,0,0,3,185,-,
Staphylococcus aureus,0,0,0,0,0,0,2,2,113,255,415,411,481,314,123,52,31,3,11,8,2213,32,
Staphylococcus aureus MRSA,0,0,0,0,0,0,0,0,22,29,26,45,16,5,2,2,6,1,8,1,162,-,
Staphylococcus epidermidis,0,0,0,0,0,0,0,0,49,116,135,95,141,100,30,47,182,1,0,2,896,-,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,23,5,10,0,1,49,-,
Streptococcus pneumoniae,0,0,0,0,0,0,0,0,0,0,0,16,32,6,3,0,0,0,0,2,57,-,
Streptococcus pyogenes,0,0,0,0,0,0,0,0,0,0,1,0,1,3,25,20,0,0,0,1,50,-,
