Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Clostridioides difficile,0,0,0,0,3,71,181,312,322,171,37,0,0,0,0,0,0,5,0,3,1102,-2,
Haemophilus influenzae,0,0,0,0,0,0,0,0,0,0,3,32,30,3,1,1,0,0,0,1,70,-,
Staphylococcus aureus,0,0,0,101,1197,4480,7394,4148,1108,327,394,734,497,344,72,73,30,28,53,30,20980,0.5,
Staphylococcus aureus MRSA,0,0,0,0,6,93,334,95,5,3,5,19,12,6,1,3,2,1,16,7,601,0.5,
Staphylococcus aureus MSSA,0,0,0,0,3,69,609,655,164,23,24,48,47,78,23,2,0,1,4,8,1750,0.5,
Staphylococcus coagulase negative,0,0,0,3,3,82,202,190,20,5,1,21,54,142,63,5,0,1,16,5,808,0.5,
Staphylococcus epidermidis,0,0,0,1,4,124,52,29,0,0,10,39,82,72,79,2,0,133,9,4,636,-0.5,
Staphylococcus epidermidis MSSE,0,0,0,1,1,8,32,5,3,0,1,5,7,8,13,0,0,0,0,2,84,-,
Staphylococcus haemolyticus,0,0,0,0,2,29,3,0,0,1,14,5,13,14,4,0,0,19,0,4,104,-0.5,
Staphylococcus lugdunensis,0,0,0,0,33,59,55,30,2,0,1,8,6,0,0,0,0,0,0,2,194,-,
Streptococcus agalactiae,0,0,0,0,0,0,0,0,1,3,18,88,555,387,13,6,0,0,0,2,1071,-,
Streptococcus pneumoniae,0,0,0,0,0,0,0,0,0,0,1,26,42,75,13,2,0,0,0,4,159,-,
Streptococcus pyogenes,0,0,0,2,0,0,1,1,4,10,275,1595,897,46,8,0,0,0,0,4,2839,-16,
