Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Bacteroides fragilis,0,0,0,0,0,0,0,9,35,1,0,2,1,0,0,0,0,0,0,1,48,-,
Enterococcus faecalis,0,0,0,0,1,24,59,970,1449,242,58,58,132,830,28,0,0,0,183,7,4034,2,
Enterococcus faecium,0,0,0,0,0,1,1,0,8,41,19,13,6,15,27,2,0,0,0,2,133,-,
Escherichia coli,1,35,206,1034,1609,317,76,105,99,29,43,150,315,46,17,2,2,0,0,5,4086,0.125,
Haemophilus influenzae,1,39,2046,1145,141,29,9,6,6,9,9,1,0,2,0,0,0,0,0,5,3443,0.064,
Haemophilus parainfluenzae,0,0,7,5,3,4,2,6,1,0,0,0,0,0,0,0,0,0,0,1,28,-,
Klebsiella pneumoniae,0,0,0,14,247,567,203,65,97,47,42,14,16,4,3,0,0,0,0,4,1319,-0.25,
Moraxella catarrhalis,0,1,41,134,308,200,18,5,2,1,0,0,0,0,0,0,0,0,0,4,710,-,
Morganella morganii,0,0,0,0,11,48,43,11,4,1,1,1,0,3,0,0,0,0,0,2,123,-,
Neisseria gonorrhoeae,0,32,2,3,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,44,-,
Proteus mirabilis,0,0,0,0,15,172,677,230,54,18,54,62,44,14,19,2,0,0,0,5,1361,0.5,
Proteus vulgaris,0,0,0,2,11,57,105,41,9,1,4,0,2,0,0,0,0,0,0,4,232,-0.5,
Pseudomonas aeruginosa,0,0,0,0,4,85,116,493,2289,1179,831,443,489,357,66,16,2,6,106,8,6482,-,
Salmonella enterica,0,0,0,1,6,21,6,2,3,1,0,0,0,0,0,0,0,0,0,1,40,-,
Serratia marcescens,0,0,0,0,0,7,15,30,10,6,4,0,5,2,0,0,0,0,0,1,79,-,
Shigella spp,0,0,0,6,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,21,-,
Staphylococcus aureus,0,0,0,22,208,573,478,196,36,34,127,204,103,24,12,2,1,0,0,4,2020,-0.25,
Staphylococcus coagulase negative,0,0,0,17,29,47,93,24,15,16,8,23,9,0,1,4,0,0,0,1,286,-,
Staphylococcus epidermidis,0,0,0,0,0,1,12,0,0,0,5,2,0,0,0,0,0,0,0,1,20,-,
Staphylococcus saprophyticus,0,0,0,0,0,1,0,28,1,0,0,0,0,0,0,0,0,0,0,1,30,-,
Stenotrophomonas maltophilia,0,0,0,0,0,18,22,135,326,212,136,46,32,13,0,0,0,0,148,2,1088,-,
Streptococcus agalactiae,0,0,0,0,0,4,7,180,122,3,2,2,2,0,0,0,0,0,194,4,516,-1,
Streptococcus pneumoniae,0,0,0,2,19,136,1381,9548,3082,196,46,43,21,6,0,0,0,0,229,13,14709,1,
Streptococcus pyogenes,0,0,0,0,2,30,255,358,132,22,0,1,0,0,0,0,0,0,236,5,1036,1,
"Streptococcus, viridans group",0,0,0,1,1,1,2,8,19,8,1,0,0,0,0,0,0,0,0,1,41,-,
