Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Acinetobacter anitratus,0,0,0,0,0,0,0,6,29,37,25,7,5,7,0,0,0,0,0,1,116,ID,
Acinetobacter baumannii,0,0,0,0,0,6,20,219,592,445,148,79,48,78,38,73,36,107,7,20,1896,2,0.5 - 4
Acinetobacter calcoaceticus,0,0,0,0,0,0,0,6,21,30,18,15,13,7,0,0,0,0,0,1,110,ID,
Actinobaculum schaalii,0,0,0,0,0,0,1,6,9,22,10,0,0,0,0,0,0,0,0,1,48,ID,
Aeromonas hydrophila,0,0,0,0,0,0,0,4,17,26,6,2,0,0,0,0,0,0,0,1,55,ID,
Alcaligenes faecalis,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,0,0,0,1,23,ID,
Bacillus cereus,0,0,0,0,0,0,8,29,62,11,0,0,0,0,0,0,0,0,0,1,110,ID,
Bifidobacterium longum,0,0,0,0,0,0,0,0,0,0,0,2,8,15,21,9,5,1,1,1,62,ID,
Campylobacter coli,0,0,0,0,4,38,160,1550,4160,1911,175,4,2,1,5,99,0,0,0,50,8109,2,0.5 - 2
Campylobacter jejuni,0,0,0,2,37,156,1754,6926,15430,3062,114,12,5,0,5,62,0,0,1,50,27566,2,0.5 - 2
Citrobacter freundii,0,0,0,1,0,0,17,269,798,363,56,36,37,93,15,55,1,0,32,7,1773,2, 1-4
Citrobacter koseri,0,0,0,0,0,2,8,42,145,58,12,2,3,1,1,0,1,0,0,3,275,-2,0.5 - 4
Enterobacter agglomerans,0,0,0,0,0,1,5,43,5,0,0,0,0,0,0,0,0,0,0,1,54,ID,
Enterobacter cloacae,1,0,1,2,13,77,292,1178,3642,1383,159,87,124,91,19,103,50,52,60,34,7334,2,0.5 - 2
Enterococcus faecalis,0,0,0,0,0,2,2,7,18,37,73,156,880,1761,704,61,57,69,686,25,4513,64,32 - 128
Enterococcus faecium,0,0,0,0,0,0,0,1,5,14,83,555,1147,575,93,13,11,46,320,24,2863,32,16 - 64
Enterococcus hirae,0,0,0,0,0,0,0,0,1,4,50,98,234,151,28,0,0,0,2,8,568,32, 4-32
Escherichia coli,0,0,4,6,25,49,522,8516,32023,20499,3360,799,1362,3725,6360,512,138,166,70,82,78136,2, 1-2
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,1,63,34,7,0,0,0,0,0,0,0,0,2,105,ID,
Escherichia coli NCTC 13846,0,0,0,0,0,0,0,0,54,58,8,0,0,0,0,0,0,0,0,2,120,ID,
Hafnia alvei,0,0,0,0,0,0,3,11,13,1,0,0,0,0,0,0,0,0,0,1,28,-, 1-4
Klebsiella aerogenes,0,0,0,0,1,0,7,124,720,571,120,40,31,9,2,12,2,14,48,14,1701,2, 1-4 
Klebsiella oxytoca,0,0,1,0,0,2,17,642,2107,907,165,54,35,29,9,34,8,9,83,24,4102,2, 1-2
Klebsiella pneumoniae,0,0,3,3,5,9,157,2015,6153,2154,293,221,259,266,150,185,159,168,93,41,12293,2, 1-2
Kocuria kristinae,0,0,0,0,0,0,41,15,20,12,54,16,10,2,0,0,0,0,0,2,170,-,
Lactobacillus delbrueckii,0,0,0,0,0,0,0,0,5,1,9,17,12,0,0,0,0,0,0,1,44,ID,
Lactobacillus lactis,0,0,0,0,0,0,0,0,0,2,4,0,1,5,0,0,0,0,0,1,12,-,
Lactobacillus plantarum,0,0,0,0,0,0,1,2,3,7,22,46,33,6,0,0,0,0,0,2,120,ID,
Lactobacillus reuteri,0,0,0,0,0,0,0,1,1,20,52,38,0,0,0,0,0,0,0,2,112,ID,
Lactobacillus rhamnosus,0,0,0,0,0,0,0,0,0,4,36,146,36,3,0,0,0,0,0,3,225,-16, 4-16
Listeria monocytogenes,0,0,0,0,0,0,0,29,139,136,3,0,0,0,0,0,0,0,0,3,307,-2,0.5 - 8
Mannheimia haemolytica,0,0,0,0,0,0,2,4,6,123,315,57,2,0,3,28,1,0,0,12,541,4, 2-4
Moraxella catarrhalis,0,0,0,0,2,12,27,0,1,0,0,0,0,0,0,0,0,0,0,1,42,ID,
Morganella morganii,0,0,0,0,0,2,19,239,518,287,60,26,11,25,19,26,7,6,97,10,1342,2, 1-4
Neisseria gonorrhoeae,0,0,0,0,0,0,0,0,0,7,241,1049,1361,108,1,0,0,0,0,4,2767,-16, 4-64
Pantoea agglomerans,0,0,0,0,0,1,5,43,5,0,0,0,0,0,0,0,0,0,0,1,54,ID,
Pasteurella multocida,0,0,0,0,0,2,4,4,28,114,243,201,8,6,60,43,4,0,0,13,717,8, 2-8
Proteus mirabilis,0,0,0,0,1,4,34,747,2220,2333,1006,243,123,216,52,136,22,16,127,18,7280,4, 1-4
Proteus vulgaris,0,0,0,0,0,0,16,174,318,194,44,16,5,13,3,5,3,2,130,5,923,2,0.5 - 4
Pseudomonas aeruginosa,0,0,0,1,3,3,58,330,950,4422,8656,4283,1401,645,202,451,41,149,147,48,21742,8, 4-16
Rothia aeria,0,0,0,0,0,0,4,0,2,18,7,1,3,5,0,0,0,0,0,1,40,-,
Rothia dentocariosa,0,0,0,0,0,0,3,8,15,39,9,2,2,0,0,0,0,0,0,1,78,-,
Rothia mucilaginosa,0,0,0,0,0,0,45,35,106,193,375,56,28,8,0,0,0,0,0,2,846,-,
Rothia spp,0,0,0,0,0,0,55,41,116,229,408,58,34,13,0,0,0,0,0,1,954,-,
Salmonella enterica,0,0,0,0,0,0,77,18588,14794,2681,300,75,283,882,1240,3,0,0,0,8,38923,2,0.5 - 2
Serratia liquefaciens,0,0,0,0,0,0,0,44,72,45,7,3,2,2,1,1,0,0,139,2,316,ID,
Serratia marcescens,0,0,0,0,0,2,17,124,819,403,56,22,32,46,54,19,8,50,156,7,1808,2,0.5 - 4
