Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0,0,7,39,29,11,1,3,2,0,0,0,1,92,-,
Acinetobacter baumannii,0,0,5,13,20,156,701,1145,1083,664,464,178,157,625,1430,104,4,3,8,29,6760,2,
Acinetobacter calcoaceticus,0,0,0,0,0,0,1,2,5,10,4,0,0,0,0,1,0,0,0,1,23,-,
Acinetobacter pittii,0,0,0,0,0,0,0,8,24,1,1,1,1,1,0,1,0,0,0,1,38,-,
Aeromonas hydrophila,0,0,0,0,0,0,11,30,10,22,29,10,3,3,0,1,0,0,0,2,119,-,
Alcaligenes faecalis,0,0,0,0,0,0,0,2,10,5,5,1,0,0,0,0,0,0,0,1,23,-,
Bacteroides capillosus,0,0,0,0,0,0,5,6,3,1,1,0,0,0,0,0,0,0,0,1,16,-,
Bacteroides fragilis,2,0,0,30,236,545,810,618,226,119,48,21,13,6,6,7,7,0,0,7,2694,1,
Bacteroides fragilis group,0,0,0,31,209,336,479,355,256,130,46,10,6,3,4,5,7,0,1,3,1878,-1,
Bacteroides ovatus,0,0,0,1,1,18,53,23,11,5,1,0,0,0,0,0,0,0,0,2,113,-,
Bacteroides thetaiotaomicron,0,0,0,1,23,44,65,82,66,35,9,2,2,0,0,0,0,0,0,4,329,-,
Bacteroides vulgatus,0,0,0,0,1,14,19,10,9,3,1,0,0,0,0,0,0,0,0,2,57,-,
Burkholderia pseudomallei,0,0,0,0,0,0,9,55,192,70,18,6,1,0,1,0,0,0,0,7,352,2,0.25 - 2
Campylobacter jejuni,0,0,0,2,33,87,53,20,3,1,0,0,0,0,0,0,0,0,0,1,199,-,
Citrobacter freundii,0,0,0,2,6,20,267,545,856,465,81,31,5,7,5,0,0,0,33,6,2323,2,
Citrobacter koseri,0,0,0,3,3,41,361,130,90,7,3,1,2,0,0,0,0,0,0,3,641,-1,
