Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Aspergillus flavus EUCAST,0,0,2,2,0,11,59,162,116,25,11,0,0,4,0,0,0,0,0,1,392,-,,
Aspergillus fumigatus EUCAST,0,0,1,2,8,16,155,895,832,202,54,30,14,58,121,1,0,0,0,1,2389,-,,
Aspergillus nidulans EUCAST,0,0,0,0,2,7,33,39,19,4,5,1,2,4,0,0,0,0,0,1,116,-,,
Aspergillus niger EUCAST,0,0,0,0,0,1,6,18,104,117,21,7,5,25,3,0,0,0,0,1,307,-,,
Aspergillus sydowii EUCAST,0,0,0,0,0,1,8,8,18,10,1,2,1,7,0,0,0,0,0,1,56,-,,
Aspergillus terreus EUCAST,0,0,0,1,5,24,200,341,54,5,3,0,2,1,0,0,0,0,0,1,636,-,,
Aspergillus versicolor EUCAST,0,0,0,0,0,1,2,4,11,10,1,0,1,1,0,0,0,0,0,1,31,-,,
Candida albicans EUCAST,0,0,0,1754,521,221,74,32,14,10,0,0,2,6,0,0,0,0,0,1,2634,-,,
Candida dubliniensis EUCAST,0,0,0,29,97,13,2,2,0,0,0,0,1,0,0,0,0,0,0,1,144,-,,
Candida glabrata EUCAST,0,0,0,5,29,70,185,327,460,336,106,43,71,69,0,0,0,0,0,1,1701,-,,
Candida guilliermondii EUCAST,0,0,0,2,2,3,17,54,58,16,2,0,0,1,0,0,0,0,0,1,155,-,,
Candida kefyr EUCAST,0,0,0,10,27,29,10,2,1,0,0,0,0,0,0,0,0,0,0,1,79,-,,
Candida krusei EUCAST,0,0,0,4,11,27,126,173,83,24,2,1,0,0,0,0,0,0,0,1,451,-,,
Candida lusitaniae EUCAST,0,0,0,19,21,23,12,4,2,0,0,0,1,0,0,0,0,0,0,1,82,-,,
Candida parapsilosis EUCAST,0,0,0,190,381,227,89,29,9,2,0,0,0,0,0,0,0,0,0,1,927,-,,
Candida tropicalis EUCAST,0,0,0,138,218,129,65,40,12,7,0,1,9,6,0,0,0,0,0,1,625,-,,
Saccharomyces cerevisiae EUCAST,0,0,0,1,1,0,3,15,33,9,6,1,0,0,0,0,0,0,0,1,69,-,,
