Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterobacter cloacae,0,0,0,0,0,0,1,0,0,7,102,40,4,6,4,1,9,16,0,1,190,-,,
Escherichia coli,0,0,0,0,0,0,3,127,333,368,720,1238,507,107,59,181,34,183,0,4,3860,-8,,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,0,1,20,16,1,0,2,4,2,1,0,1,47,-,,
Klebsiella oxytoca,0,0,0,0,0,0,1,0,0,3,44,34,12,6,4,5,4,2,0,1,115,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,0,5,34,234,31,9,7,11,20,9,56,0,1,416,-,,
Lactobacillus reuteri,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,15,4,7,1,49,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,4,20,126,51,0,0,0,0,0,0,0,2,201,-,,
Mannheimia haemolytica,0,0,0,0,0,0,1,2,0,2,14,109,150,4,2,6,0,0,0,7,290,16,,
Mycobacterium tuberculosis 7H9,0,0,0,0,0,0,17,34,165,781,2009,774,214,54,422,0,0,0,0,2,4470,-,,
Pasteurella multocida,0,0,0,0,0,0,0,2,4,32,65,128,341,104,11,30,10,7,0,10,734,32, 8-64,
Proteus mirabilis,0,0,0,0,0,0,0,0,0,0,8,38,33,18,4,3,1,34,0,1,139,-,,
Pseudomonas aeruginosa,0,0,0,0,0,0,1,0,0,2,4,2,2,16,48,150,115,98,0,1,438,-,,
Salmonella enterica,0,0,0,0,0,0,0,16,1042,981,520,422,35,2,0,7,0,1,0,3,3026,-,,
Serratia liquefaciens,0,0,0,0,0,0,0,0,0,0,6,7,3,2,0,0,0,0,0,1,18,-,,
Serratia marcescens,0,0,0,0,0,0,0,0,0,0,26,32,8,4,2,1,0,2,0,1,75,-,,
Staphylococcus aureus,0,0,0,0,0,0,0,0,22,84,150,56,4,0,0,0,0,0,0,3,316,-8,,
Staphylococcus coagulase negative,0,0,0,0,0,0,32,42,78,76,36,10,0,1,4,0,0,0,0,3,279,-,,
Staphylococcus epidermidis,0,0,0,0,0,0,0,0,8,26,2,2,3,0,87,2,0,130,0,1,260,-,,
