Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Clostridioides difficile,0,0,0,0,0,0,0,2,3,5,2,15,4,0,0,2,0,0,0,1,33,ID,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,0,1,5,7,37,0,0,0,0,1,50,ID,,
Enterococcus faecium,0,0,0,4,63,686,768,254,123,60,38,71,120,72,127,18,0,0,0,16,2404,0.5,0.125 - 0.5,
Haemophilus influenzae,0,1,9,17,3,4,45,463,1469,1190,436,51,15,3,6,0,0,0,0,11,3712,4, 2-4,
Haemophilus parainfluenzae,0,0,3,0,5,5,21,41,90,142,168,89,15,0,0,0,0,0,0,5,579,8,8 - 128,
Moraxella catarrhalis,0,0,24,27,126,908,507,128,12,3,0,0,0,0,0,0,0,0,0,9,1735,0.25,0.06 - 0.5,
Neisseria gonorrhoeae,0,0,9,5,11,28,51,77,117,38,8,0,0,0,0,0,0,0,0,3,344,ID,,
Staphylococcus aureus,0,0,6,28,1082,6516,4541,487,33,10,19,12,5,2,9,0,0,0,0,12,12750,0.25,0.125 - 0.25,
Staphylococcus aureus MRSA,0,0,1,7,375,2166,2342,469,27,8,13,7,2,1,11,0,0,0,0,13,5429,0.25,0.125 - 0.25,
Staphylococcus aureus MSSA,0,0,5,22,712,4492,2670,82,10,5,5,4,3,2,3,0,0,0,0,10,8015,0.25,0.125 - 0.25,
Staphylococcus capitis,0,0,0,0,13,29,20,2,0,1,0,0,0,0,1,0,0,0,0,3,66,-0.25,0.06 - 0.5,
Staphylococcus cohnii,0,0,0,0,0,0,0,0,0,1,3,4,8,1,1,0,0,0,0,1,18,ID,,
Staphylococcus epidermidis,0,0,4,46,372,354,103,24,27,20,14,9,8,0,6,2,0,0,0,9,989,0.25,0.06 - 0.25,
Staphylococcus haemolyticus,0,0,0,0,6,89,33,2,0,2,3,1,3,5,5,1,0,0,0,5,150,0.25,0.06 - 0.25,
Staphylococcus hominis,0,0,0,0,50,81,16,6,2,2,0,0,0,0,0,0,0,0,0,5,157,0.25,0.03 - 0.5,
Staphylococcus lugdunensis,0,0,1,9,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,-0.06,0.016 - 0.125,
Staphylococcus warneri,0,0,0,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,1,17,ID,,
Streptococcus agalactiae,0,0,5,59,746,98,23,1,0,0,0,2,0,6,1,1,0,0,0,7,942,0.125,0.03 - 0.125,
Streptococcus anginosus,0,0,10,27,35,38,39,29,14,2,0,0,0,0,0,0,0,0,0,5,194,ID,0.06 - 4,
Streptococcus dysgalactiae,0,0,0,5,144,51,5,1,0,1,0,0,0,0,1,0,0,0,0,3,208,-0.125,0.03 - 0.125,
Streptococcus group C,0,0,0,8,80,17,4,2,1,0,0,0,0,0,0,0,0,0,0,3,112,-0.125,0.03 - 0.06,
Streptococcus group G,0,0,0,7,96,34,1,1,0,0,0,0,0,0,0,0,0,0,0,3,139,-0.125,0.03 - 0.25,
Streptococcus mitis,0,0,1,21,36,125,187,157,84,16,2,0,0,0,0,0,0,0,0,11,629,ID,0.5 - 2,
Streptococcus pneumoniae,0,0,15,129,796,3551,3949,1611,239,38,3,0,0,0,0,0,0,0,0,12,10331,0.5,0.25 - 1,
Streptococcus pneumoniae ATCC 49619,0,0,0,0,0,3,2,8,2,0,0,0,0,0,0,0,0,0,0,1,15,ID,,
Streptococcus pyogenes,0,0,7,250,488,132,3,1,1,0,0,0,0,0,0,0,0,0,0,7,882,0.125,0.03 - 0.125,
Streptococcus salivarius,0,0,16,10,16,54,39,13,0,0,0,0,0,0,0,0,0,0,0,6,148,ID,0.25 - 2,
