Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Achromobacter xylosoxidans,0,0,0,0,0,0,0,1,0,13,34,13,12,19,0,0,0,0,0,1,92,-,,
Acinetobacter anitratus,0,0,0,0,0,10,11,4,2,4,8,26,0,0,0,0,0,0,0,1,65,-,,
Acinetobacter baumannii,0,0,0,0,54,374,516,195,51,72,81,414,65,30,19,0,0,0,9,4,1880,-0.5,,
Acinetobacter lwoffii,0,0,0,0,21,131,155,63,9,11,12,15,0,0,0,0,0,0,17,2,434,-,,
Aerococcus sanguinicola,0,0,0,0,0,0,0,0,0,5,1,1,1,16,6,0,0,0,0,1,30,-,,
Aerococcus urinae,0,0,0,0,0,0,0,2,19,19,3,1,5,0,0,0,0,0,0,2,49,-,,
Bacteroides fragilis,0,0,0,0,0,0,1,6,122,200,78,77,39,15,11,2,0,0,0,5,551,-,,
Bacteroides fragilis group,0,0,0,0,0,0,0,6,100,136,63,104,60,18,11,17,5,0,0,1,520,-,,
Bacteroides thetaiotaomicron,0,0,0,0,0,0,0,0,2,1,9,33,20,3,0,2,3,0,0,1,73,-,,
Burkholderia cepacia complex,0,0,0,0,0,0,1,2,1,7,15,4,3,5,0,0,0,0,0,3,38,-,,
Citrobacter freundii,0,0,0,1,75,90,25,25,19,9,7,15,63,4,2,0,0,0,0,4,335,-,,
Corynebacterium striatum,0,0,0,0,0,0,1,2,0,0,0,0,0,1,12,0,0,0,0,1,16,-,,
Enterobacter cloacae,0,0,0,2,264,466,70,24,63,38,22,40,24,6,14,0,1,0,0,4,1034,-,,
Enterococcus faecalis,0,0,0,0,1,0,32,35,464,2999,1551,134,1065,117,1205,44,6,1,185,10,7839,4,,
Enterococcus faecium,0,0,0,0,0,0,7,6,43,123,288,97,41,105,216,107,40,0,0,5,1073,4,,
Escherichia coli,0,0,4,81,1122,777,177,71,114,33,10,33,100,208,108,2,0,0,0,6,2840,0.25,,
Haemophilus influenzae,0,7,3409,16458,2652,233,64,25,21,11,16,4,9,0,1,0,0,0,0,13,22910,0.064,,
Haemophilus parainfluenzae,0,0,63,187,128,52,24,3,1,2,1,1,1,0,0,0,0,0,0,2,463,-,,
Helicobacter pylori,3,0,4,28,107,303,788,539,162,64,57,134,101,68,246,0,0,0,0,3,2604,-0.5,,
Kingella kingae,0,0,0,22,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,-,,
Klebsiella aerogenes,0,0,0,0,29,97,16,12,14,12,3,3,10,7,4,0,0,0,0,3,207,-,,
Klebsiella oxytoca,0,0,0,3,182,267,35,20,27,22,14,60,14,2,1,0,0,0,0,4,647,-0.25,,
