Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Citrobacter freundii,0,0,0,0,0,0,0,0,2,3,5,2,1,1,0,0,0,0,3,1,17,-,,
Enterobacter cloacae,0,0,0,0,0,0,0,1,3,11,17,14,6,3,0,1,0,0,22,1,78,-,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,25,6,3,0,1,40,-,,
Escherichia coli,0,0,0,0,0,0,0,10,122,288,90,22,7,4,4,2,0,0,1,2,550,-,,
Haemophilus influenzae,0,0,0,0,0,0,0,3,11,106,137,16,15,44,10,5,2,0,0,2,349,-,,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,2,7,6,1,1,1,0,0,0,0,1,1,19,-,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,3,7,4,0,1,0,0,1,0,0,1,1,17,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,5,66,26,4,2,0,0,0,0,1,0,2,1,106,-,,
Morganella morganii,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,12,16,1,34,-,,
Proteus mirabilis,0,0,0,0,0,0,0,3,24,138,127,60,11,5,3,0,1,1,5,3,378,-,,
Streptococcus pneumoniae,0,0,0,0,0,0,0,5,20,86,84,44,9,19,21,120,57,0,0,2,465,-,,
Streptococcus pyogenes,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,6,-,,
