Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Achromobacter xylosoxidans,0,0,0,0,0,0,7,30,10,5,16,10,5,1,2,6,0,0,0,1,92,-,,
Acinetobacter baumannii,0,0,0,5,15,87,367,811,876,826,675,236,213,566,64,97,69,5,10,18,4922,4, 1-8,
Acinetobacter lwoffii,0,0,3,2,2,88,58,93,53,34,28,10,4,18,6,1,0,0,0,2,400,ID,,
Acinetobacter pittii,0,0,0,0,0,0,0,5,20,4,3,3,1,1,0,1,0,0,0,1,38,ID,,
Actinomyces israelii,0,47,28,12,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,98,ID,,
Aerococcus sanguinicola,0,0,0,0,9,16,5,0,0,0,0,0,0,0,0,0,0,0,0,1,30,ID,,
Aerococcus urinae,0,0,1,3,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,ID,,
Bacillus cereus,0,0,0,0,27,58,15,1,2,3,2,1,1,0,0,0,0,0,0,1,110,ID,,
Bacteroides caccae,0,0,0,0,3,8,4,1,1,1,0,0,0,0,0,0,0,0,0,1,18,ID,,
Bacteroides fragilis,3,4,45,257,739,615,423,146,60,30,27,10,1,0,1,1,0,0,0,31,2362,0.125,0.06 - 0.25,
Bacteroides fragilis group,0,0,0,3,1,10,20,49,14,5,3,2,0,1,4,0,0,0,0,1,112,-,0.06 - 0.25,
Bacteroides ovatus,0,0,0,1,11,98,71,34,12,3,0,0,0,0,0,0,0,0,0,5,230,0.25,0.06 - 0.25,
Bacteroides thetaiotaomicron,4,2,10,19,103,356,136,37,13,6,2,0,0,0,0,0,0,0,0,13,688,0.25,0.06 - 0.25,
Bacteroides uniformis,0,0,2,0,8,21,40,6,1,0,0,0,0,0,0,0,0,0,0,3,78,-0.25,0.03 - 0.5,
Bacteroides vulgatus,0,0,9,14,68,62,75,11,5,1,0,0,0,0,0,0,0,0,0,6,245,0.25,0.03 - 0.5,
