Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Anaerobic cocci Gram positive,0,0,0,0,1,32,23,110,64,33,14,3,1,0,2,11,7,0,0,1,301,-,,
Bacteroides fragilis,0,0,0,4,20,65,95,295,548,835,349,84,18,13,3,2,0,1,0,5,2332,-,,
Bacteroides fragilis group,0,0,0,1,30,35,103,243,614,1412,531,120,34,19,2,12,4,0,0,8,3160,-,,
Bacteroides ovatus,0,0,0,0,1,2,2,15,20,10,4,0,0,0,0,0,0,0,0,3,54,-,,
Bacteroides thetaiotaomicron,0,0,0,0,5,7,12,37,88,97,18,9,3,0,0,0,0,1,0,3,277,-,,
Bacteroides vulgatus,0,0,0,0,0,3,4,17,11,9,4,3,0,0,0,0,0,0,0,3,51,-,,
Clostridioides difficile,0,0,0,2,96,485,1291,2595,2119,896,302,52,3,0,0,1,0,0,0,17,7842,2,,
Fusobacterium spp,0,0,0,0,17,80,22,17,16,6,4,2,2,0,0,0,0,0,0,1,166,-,,
Helicobacter pylori,0,0,0,93,136,218,500,597,1089,1786,1781,336,133,224,324,421,384,3024,122,11,11168,8,,
Prevotella spp,0,0,0,7,21,172,69,75,157,104,64,19,7,30,0,0,0,0,0,2,725,-,,
Rothia dentocariosa,0,0,0,0,0,0,0,0,0,2,6,14,9,5,137,0,0,0,0,1,173,-,,
