Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterobacter agglomerans,0,0,0,0,0,0,0,16,83,22,4,1,0,0,0,0,0,0,0,1,126,-,,
Enterobacter cloacae,0,0,0,0,0,0,0,0,6,17,185,366,128,39,35,23,0,0,0,5,799,16,,
Enterobacter dissolvens,0,0,0,0,0,0,0,0,1,3,26,7,0,0,0,0,0,0,0,1,37,-,,
Enterococcus faecalis,0,0,0,0,7,23,59,25,0,1,3,4,32,174,226,0,1,0,0,4,555,-0.5,,
Enterococcus faecium,0,0,0,0,5,105,59,15,0,0,1,3,19,73,45,0,0,0,0,4,325,-0.5,,
Escherichia coli,0,0,0,0,0,0,1,16,212,588,292,113,82,138,48,8,0,0,0,6,1498,4,,
Haemophilus influenzae,0,0,0,0,4,12,162,1896,1507,324,57,11,5,0,0,0,0,0,0,11,3978,1,,
Klebsiella aerogenes,0,0,0,0,0,0,0,1,1,7,62,30,4,0,4,1,0,0,0,5,110,16,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,4,135,106,24,13,4,4,0,0,0,0,6,290,8,,
Klebsiella pneumoniae,0,0,0,0,0,0,2,3,18,106,432,193,60,48,58,18,0,0,0,6,938,8,,
Moraxella catarrhalis,0,0,0,0,8,338,1295,64,2,0,0,0,0,0,0,0,0,0,0,4,1707,-0.25,,
Morganella morganii,0,0,0,0,0,0,0,0,0,0,16,39,29,23,17,6,0,0,0,5,130,-,,
Neisseria meningitidis,0,0,0,0,0,3,14,184,94,5,0,0,0,0,0,0,0,0,0,2,300,-,,
Proteus mirabilis,0,0,0,0,0,0,0,0,1,1,3,15,109,347,318,83,0,0,0,5,877,-,,
Serratia liquefaciens,0,0,0,0,0,0,0,1,2,12,6,2,0,0,0,0,0,0,0,1,23,-,,
Staphylococcus aureus,0,0,0,5,35,535,677,115,6,7,12,16,8,1,0,0,0,0,0,2,1417,-,,
Staphylococcus aureus MRSA,0,0,0,0,0,6,300,89,6,0,1,1,1,0,0,0,0,0,0,4,404,-0.5,,
Staphylococcus aureus MSSA,0,0,0,0,0,8,419,118,20,3,1,1,1,0,0,0,0,0,0,4,571,-0.5,,
Staphylococcus coagulase negative,0,0,0,0,0,50,58,51,43,4,2,1,0,0,0,0,0,0,0,2,209,-,,
Staphylococcus epidermidis,0,0,0,0,0,63,98,98,108,5,4,0,0,0,0,0,0,0,0,3,376,-,,
Staphylococcus epidermidis MSSE,0,0,0,0,0,17,32,14,20,0,0,0,1,0,0,0,0,0,0,2,84,-,,
Staphylococcus haemolyticus,0,0,0,0,0,6,8,20,20,5,2,3,1,1,0,0,0,0,0,3,66,-,,
Stenotrophomonas maltophilia,0,0,0,0,0,1,45,52,32,7,1,0,0,0,0,0,0,0,0,5,138,1,,
Streptococcus agalactiae,0,0,0,0,3,8,29,15,8,0,2,3,9,102,159,0,0,0,0,5,338,0.5,,
Streptococcus anginosus,0,0,0,0,0,32,22,11,10,2,3,1,2,2,0,0,0,0,0,4,85,-0.5,,
Streptococcus group G,0,0,0,0,8,4,61,50,9,3,4,3,8,18,20,0,0,0,0,4,188,-0.5,,
Streptococcus oralis,0,0,0,0,1,17,46,55,23,4,2,12,19,14,3,0,0,0,0,4,196,-0.5,,
Streptococcus pneumoniae,0,0,0,8,420,2023,1027,169,77,27,21,58,92,119,21,0,0,0,0,9,4062,0.5,,
Streptococcus pyogenes,0,0,0,0,41,41,181,51,18,3,6,8,14,27,13,0,0,0,0,5,403,0.5,,
"Streptococcus, viridans group",0,0,0,0,6,72,194,57,25,13,14,19,50,60,32,9,0,0,0,3,551,-0.5,,
Yersinia enterocolitica,0,0,0,0,0,0,0,11,50,78,14,2,0,0,0,0,0,0,0,1,155,-,,
