Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,56,45,13,8,10,4,5,15,39,23,34,3,0,0,0,3,255,-0.25,,
Aerococcus urinae,0,0,0,0,1,3,10,0,2,0,0,0,0,0,0,0,0,0,0,1,16,-,,
Bacillus cereus,0,0,0,0,9,26,68,6,0,0,1,0,0,0,0,0,0,0,0,1,110,ID,,
Bacteroides caccae,0,0,0,0,0,0,0,5,10,15,13,3,1,4,2,0,0,0,0,2,53,-,,
Bacteroides fragilis,0,0,0,0,2,47,142,544,786,287,133,113,104,42,19,19,0,0,0,7,2238,2,,
Bacteroides fragilis group,0,0,0,0,0,4,61,72,33,75,19,17,1,7,2,0,0,0,0,4,291,-,,
Bacteroides ovatus,0,0,0,0,0,1,3,9,20,42,59,22,4,5,10,0,0,0,0,3,175,-,,
Bacteroides spp,0,0,0,0,0,18,15,37,82,68,20,7,2,2,4,0,0,0,0,3,255,-,,
Bacteroides thetaiotaomicron,0,0,0,0,0,0,4,4,46,200,66,13,9,16,6,3,0,0,0,4,367,-,,
Bacteroides uniformis,0,0,0,0,0,1,1,2,8,29,26,11,10,8,9,1,0,0,0,3,106,-,,
Bacteroides vulgatus,0,0,0,0,0,2,3,17,53,22,10,6,2,15,12,1,0,0,0,3,143,-,,
Campylobacter jejuni,0,0,0,1,5,0,0,0,2,13,1,1,1,0,0,0,0,0,0,1,24,-,,
Citrobacter freundii,0,0,0,0,21,80,52,21,33,10,5,8,76,0,1,0,0,0,0,3,307,-0.25,,
Clostridioides difficile,0,0,0,0,0,0,0,17,347,1186,1371,70,32,184,284,1732,2,0,0,16,5225,4,,
Clostridium perfringens,0,0,0,0,0,0,4,49,56,5,2,0,0,0,0,0,0,0,0,2,116,-,,
Corynebacterium amycolatum,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,12,-,,
Corynebacterium jeikeium,0,0,0,0,0,1,0,0,0,0,1,1,3,2,4,0,0,0,0,1,12,-,,
Corynebacterium pseudodiphtheriticum,0,0,2,0,0,1,2,0,2,0,2,2,0,0,0,0,0,0,0,1,11,-,,
Corynebacterium spp,0,0,2,0,1,2,3,0,2,0,3,9,9,19,8,0,0,0,0,5,58,-,,
Corynebacterium striatum,0,0,0,0,0,0,2,1,0,0,0,3,6,12,4,0,0,0,0,2,28,-,,
Corynebacterium urealyticum,0,0,0,0,0,0,1,0,0,0,0,4,0,3,3,0,0,0,0,1,11,-,,
Enterobacter cloacae,0,0,0,0,91,500,195,31,63,40,17,30,39,10,16,1,1,0,0,4,1034,-0.25,,
