Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Campylobacter coli,0,0,0,0,0,0,0,0,194,567,120,9,1,4,3,0,0,0,0,11,898,4,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,0,2,2,8,30,95,194,209,2,90,10,632,-,,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,0,23,175,341,313,159,49,8,0,5,9,1073,-,,
Enterococcus hirae,0,0,0,0,0,0,0,0,0,0,15,49,73,153,145,104,26,0,3,8,568,-,,
Escherichia coli,0,0,0,0,0,0,0,1,4,1475,1421,741,94,17,91,61,21,20,0,15,3946,8,,
Mannheimia haemolytica,0,0,0,0,0,0,0,2,0,3,20,207,261,19,24,4,1,0,0,12,541,16,,
Pasteurella multocida,0,0,0,0,0,0,0,0,1,2,9,110,161,19,7,19,2,0,0,7,330,16, 8-32,
Salmonella enterica,0,0,0,0,0,0,0,0,0,7127,1531,159,8,7,9,13,22,16,0,7,8892,4,,
Staphylococcus aureus,0,0,0,0,0,0,10,102,156,45,3,0,0,0,0,0,0,0,0,3,316,-1,,
Staphylococcus coagulase negative,0,0,0,0,0,0,210,54,6,6,0,1,1,1,0,0,0,0,0,3,279,-,,
Staphylococcus hyicus,0,0,0,0,0,2,23,64,35,8,4,0,0,0,0,0,0,0,0,5,136,1,0.250 - 2.000,
Staphylococcus pseudintermedius,0,0,0,0,0,1,45,138,24,3,117,0,0,0,0,0,0,0,0,7,328,1,0.250 - 1.000,
