Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,0,0,0,2,5,9,11,6,11,6,10,4,3,42,0,1,109,ID,,
Citrobacter freundii,0,0,0,0,0,0,0,5,11,2,0,1,2,0,0,1,1,1,0,1,24,ID,,
Enterobacter cloacae,0,0,0,0,0,0,1,79,68,8,4,2,1,6,6,7,4,4,0,1,190,ID,,
Enterococcus faecium,0,0,0,0,0,0,0,0,1,6,5,8,9,17,135,146,71,12,0,1,410,ID,,
Escherichia coli,0,0,0,0,0,0,9,1405,2583,1286,344,95,108,76,44,20,2,3,0,4,5975,-2,1.000 - 4.000,
Klebsiella aerogenes,0,0,0,0,0,0,0,7,22,9,1,0,2,2,3,0,1,0,0,1,47,ID,,
Klebsiella oxytoca,0,0,0,0,0,0,0,14,64,27,3,1,2,0,2,0,2,0,0,1,115,ID,,
Klebsiella pneumoniae,0,0,0,0,0,1,7,190,109,10,8,8,23,21,12,13,5,9,0,1,416,ID,,
Lactobacillus reuteri,0,0,0,0,0,0,0,1,0,11,34,3,0,0,0,0,0,0,0,1,49,ID,,
Morganella morganii,0,0,0,0,0,0,0,1,11,16,5,2,4,0,0,1,0,0,0,1,40,ID,,
Proteus mirabilis,0,0,0,0,0,0,0,7,62,92,81,20,9,1,3,5,1,4,0,3,285,-4,0.125 - 32.000,
Proteus vulgaris,0,0,0,0,0,0,0,0,6,7,4,0,0,1,0,0,0,0,0,1,18,ID,,
Pseudomonas aeruginosa,0,0,0,0,0,2,4,8,53,175,235,192,74,36,9,1,7,42,25,5,863,8,4.000 - 32.000,
Pseudomonas fluorescens group,0,0,0,0,0,0,7,8,4,0,0,0,0,0,0,0,0,0,0,1,19,ID,,
Pseudomonas stutzeri group,0,0,0,0,0,0,2,12,15,4,0,0,0,0,0,0,0,0,1,1,34,ID,,
Salmonella enterica,0,0,0,0,0,0,6,11,31,4,0,0,0,0,0,0,0,0,0,2,52,ID,,
Serratia liquefaciens,0,0,0,0,0,0,0,1,3,4,5,3,0,0,2,0,0,0,0,1,18,ID,,
Serratia marcescens,0,0,0,0,0,0,0,0,4,23,22,14,7,1,1,0,2,1,0,1,75,ID,,
Staphylococcus aureus,0,0,0,0,0,1,9,12,5,3,3,4,1,1,1,0,0,0,0,1,40,ID,,
Staphylococcus coagulase negative,0,0,0,1,3,16,4,1,1,5,6,2,1,0,0,0,0,0,0,1,40,-,,
Staphylococcus epidermidis,0,0,0,0,3,16,17,3,0,3,13,23,11,30,5,4,0,2,0,1,130,ID,,
Staphylococcus haemolyticus,0,0,0,0,0,0,0,0,0,0,1,2,6,4,0,0,2,4,2,1,21,ID,,
Staphylococcus saprophyticus,0,0,0,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,ID,,
Staphylococcus warneri,0,0,0,1,3,5,3,0,0,2,2,0,0,1,0,0,0,0,4,1,21,ID,,
Streptococcus agalactiae,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,1,0,0,0,1,20,ID,,
Streptococcus pneumoniae,0,0,0,0,0,0,0,0,0,0,0,4,8,7,3,2,1,0,0,1,25,ID,,
"Streptococcus, viridans group",0,0,0,0,0,0,0,0,0,2,6,10,3,4,0,0,0,0,0,1,25,ID,,
Yersinia enterocolitica,0,0,0,0,0,0,25,30,94,2,0,0,0,0,0,0,0,0,0,1,151,ID,,
