Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Aerococcus spp,0,0,0,0,0,0,1,3,7,16,12,23,33,25,0,0,0,0,0,2,120,-,,
Aerococcus urinae,0,0,0,0,0,0,1,3,7,3,9,7,0,0,0,0,0,0,0,1,30,-,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,1,1,31,535,163,7,7,1,0,0,3,746,-32,,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,0,0,1,15,40,331,754,781,263,0,13,2185,256,,
Escherichia coli,0,0,0,0,0,0,0,0,0,1,15,155,1304,2068,338,97,17,5,0,10,4000,64,,
Proteus mirabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,0,1,25,-,,
Staphylococcus aureus,0,0,0,0,0,0,0,0,0,2,9,35,742,794,34,0,0,0,0,3,1616,-32,,
Staphylococcus coagulase negative,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,0,0,0,1,15,-,,
Staphylococcus epidermidis,0,0,0,0,0,0,0,0,0,0,0,0,1,127,3,0,0,0,0,1,131,-,,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,0,0,3,40,28,0,0,0,0,0,2,71,-,,
Streptococcus agalactiae,0,0,0,0,0,0,0,0,0,0,3,31,10,2,0,0,0,0,0,2,46,-,,
,,,,,,,,,,,,,,,,,,,,,,,,
