Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,2,4,67,43,21,6,12,2,5,0,0,0,0,0,0,1,162,-,,
Aeromonas hydrophila,0,0,2,16,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,-,,
Burkholderia cepacia complex,0,0,0,0,0,0,0,1,2,1,7,2,1,2,0,0,0,0,0,1,16,-,,
Enterococcus faecalis,0,0,0,0,0,0,0,0,4,161,341,36,4,7,8,84,0,0,0,2,645,-,,
Enterococcus faecium,0,0,0,0,0,0,0,0,1,3,4,9,3,6,15,22,0,0,0,1,63,-,,
Escherichia coli,0,0,0,8,275,1878,629,82,110,135,33,12,131,94,290,3,0,0,0,5,3680,0.25,,
Haemophilus influenzae,0,0,4,285,3113,340,15,3,1,0,1,0,0,0,0,0,0,0,0,6,3762,0.064,,
Klebsiella pneumoniae,0,0,0,0,11,81,119,14,5,8,10,1,4,0,0,0,0,0,0,1,253,-,,
Legionella pneumophila,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,0,3,57,7,0,0,0,0,0,0,0,1,67,-,,
Moraxella catarrhalis,0,0,0,0,6,21,235,4,0,0,0,0,0,0,0,0,0,0,0,3,266,-0.25,,
Morganella morganii,0,0,0,3,11,54,83,16,6,0,0,0,0,0,0,6,0,0,0,3,179,-0.5,,
Mycobacterium tuberculosis 7H9,0,0,0,0,0,25,95,145,1148,1467,358,214,488,680,1,0,0,0,0,3,4621,-,,
Neisseria gonorrhoeae,0,0,22,58,16,15,2,0,2,5,0,0,0,0,0,0,0,0,0,1,120,-,,
Plesiomonas shigelloides,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,-,,
Proteus mirabilis,0,0,0,0,1,83,617,242,31,10,20,10,6,6,6,10,0,0,0,5,1042,0.5,,
Proteus vulgaris,0,0,0,0,6,114,77,12,0,0,0,1,0,0,0,0,0,0,0,3,210,-0.25,,
Pseudomonas aeruginosa,0,0,0,0,3,6,26,98,586,561,275,180,133,48,145,102,0,0,0,8,2163,2,,
Salmonella enterica,0,0,0,0,1,3,89,42,8,4,1,0,0,0,0,0,0,0,0,2,148,-,,
Shigella spp,0,0,0,0,6,64,3,0,0,0,0,0,0,0,1,0,0,0,0,1,74,-,,
Staphylococcus aureus,0,0,0,0,3,5,150,1225,744,90,20,33,284,176,60,38,0,0,0,4,2828,-1,,
Staphylococcus coagulase negative,0,0,0,0,0,1,11,338,201,42,4,17,46,69,25,16,0,0,0,2,770,-,,
Staphylococcus epidermidis,0,0,0,0,1,1,3,110,144,6,4,22,285,0,0,0,0,0,0,1,576,-,,
Staphylococcus saprophyticus,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,1,18,-,,
Stenotrophomonas maltophilia,0,0,0,0,1,0,2,0,13,23,27,22,7,0,4,0,0,0,0,2,99,-,,
Streptococcus agalactiae,0,0,0,0,0,0,0,0,2,110,84,6,0,5,0,0,0,0,0,4,207,-4,,
Streptococcus group C,0,0,0,0,0,0,0,0,0,48,14,0,0,0,0,0,0,0,0,1,62,-,,
Streptococcus group G,0,0,0,0,0,0,0,0,3,50,19,1,0,0,0,0,0,0,0,1,73,-,,
Streptococcus pneumoniae,0,0,0,0,0,0,0,10,75,914,3293,194,2,18,6,0,0,0,0,7,4512,4,,
Streptococcus pyogenes,0,0,0,0,0,0,0,0,20,180,106,15,0,1,0,0,0,0,0,4,322,-4,,
"Streptococcus, viridans group",0,0,0,0,0,0,0,0,1,21,76,19,3,1,0,1,0,0,0,2,122,-,,
Yersinia enterocolitica,0,0,0,0,0,8,33,1,0,1,0,0,0,0,0,0,0,0,0,1,43,-,,
