Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Corynebacterium jeikeium,0,0,0,0,0,0,0,1,0,1,0,14,2,42,0,0,0,0,0,1,60,-,,
Enterococcus faecalis,0,0,0,0,0,2,1,9,12,18,20,2328,312,5854,0,0,0,0,0,3,8556,-,,
Enterococcus faecium,0,0,0,0,0,1,1,12,11,15,36,1406,93,2265,0,1,0,0,0,4,3841,-,,
Enterococcus gallinarum,0,0,0,0,0,0,0,0,1,0,1,36,0,73,0,0,0,0,0,1,111,-,,
Kocuria kristinae,0,0,0,0,0,0,8,7,13,26,25,29,16,30,0,0,0,0,0,2,154,-,,
Listeria monocytogenes,0,0,0,0,0,0,0,0,0,1,17,176,17,2,0,0,0,0,0,2,213,-,,
Rothia aeria,0,0,0,0,0,0,23,2,1,1,0,0,1,3,0,0,0,0,0,1,31,-,,
Rothia dentocariosa,0,0,0,0,0,0,47,1,3,0,0,0,0,1,0,0,0,0,0,1,52,-,,
Rothia mucilaginosa,0,0,0,0,0,184,347,34,35,35,21,28,10,30,0,0,0,0,0,2,724,-,,
Rothia spp,0,0,0,0,0,195,383,38,36,41,27,34,13,35,0,0,0,0,0,1,802,-,,
Staphylococcus aureus,0,0,0,5,23,201,1350,5976,9460,1951,340,3695,102,1913,354,85,178,496,199,21,26328,2,,
Staphylococcus aureus MRSA,0,0,0,0,0,0,0,0,1,0,0,8,7,1,7,14,38,328,0,4,404,-2,,
Staphylococcus aureus MSSA,0,0,0,0,0,4,115,290,106,28,28,0,0,0,0,0,0,0,0,4,571,-2,,
Staphylococcus auricularis,0,0,0,0,0,3,4,14,11,1,5,6,2,19,0,0,0,0,0,1,65,-,,
Staphylococcus capitis,0,0,0,0,0,12,59,123,28,3,2,19,3,53,4,67,0,0,0,6,373,-,,
Staphylococcus coagulase negative,0,0,0,0,13,92,311,949,324,336,546,1897,298,646,9,21,66,142,151,8,5801,1,,
Staphylococcus epidermidis,0,0,0,0,2,135,655,892,137,384,906,1940,523,1854,51,86,26,41,12,10,7644,1,,
Staphylococcus haemolyticus,0,0,0,1,0,21,80,77,53,28,22,257,17,446,5,48,1,59,11,10,1126,-,,
Staphylococcus hominis,0,0,0,0,1,32,127,108,28,31,60,175,28,220,8,24,0,1,0,7,843,-,,
Staphylococcus lugdunensis,0,0,0,0,0,3,6,38,86,53,10,6,2,7,0,0,0,0,0,3,211,-2,,
Staphylococcus saprophyticus,0,0,0,0,0,0,9,6,29,76,10,16,3,55,0,0,0,0,0,2,204,-,,
Staphylococcus simulans,0,0,0,0,0,1,12,24,6,3,7,14,2,39,0,0,0,0,0,1,108,-,,
Staphylococcus warneri,0,0,0,0,0,1,12,111,57,7,5,18,7,54,16,28,1,1,4,5,322,-,,
Staphylococcus xylosus,0,0,0,0,0,0,3,9,5,1,6,11,1,12,0,0,0,0,0,1,48,-,,
Streptococcus agalactiae,0,0,0,0,0,51,124,2256,726,23,1,4,2,0,0,0,0,0,0,5,3187,-,,
Streptococcus anginosus,0,0,0,0,0,17,7,64,40,14,3,1,1,0,0,0,1,13,0,3,161,-,,
Streptococcus bovis,0,0,0,0,0,5,8,66,4,0,0,1,0,0,0,0,0,0,0,1,84,-,,
Streptococcus constellatus,0,0,0,0,0,37,19,51,17,2,0,0,1,2,0,0,0,0,0,1,129,-,,
Streptococcus group C,0,0,0,0,0,119,17,57,1,2,0,1,0,0,0,0,0,0,0,2,197,-,,
Streptococcus group F,0,0,0,0,0,15,7,18,8,0,0,0,0,0,0,0,0,0,0,1,48,-,,
Streptococcus group G,0,0,0,0,21,635,34,314,12,1,0,0,0,0,0,0,0,0,0,6,1017,-,,
Streptococcus intermedius,0,0,0,0,0,15,5,20,6,3,2,1,2,0,0,0,0,0,0,1,54,-,,
Streptococcus milleri,0,0,0,0,0,27,20,43,19,1,0,0,0,0,0,0,0,0,0,1,110,-,,
Streptococcus mitis,0,0,0,0,0,160,24,187,30,33,24,13,5,3,0,0,0,0,0,2,479,-,,
Streptococcus mutans,0,0,0,0,0,16,1,5,4,0,0,0,1,1,0,0,0,0,0,1,28,-,,
Streptococcus oralis,0,0,0,0,0,72,41,58,15,23,11,11,8,4,2,0,0,0,0,3,245,-,,
Streptococcus pneumoniae,0,0,0,0,19,81,216,74,31,3,3,4,8,7,1,0,0,0,0,2,447,-,,
Streptococcus pyogenes,0,0,0,0,43,73,0,1,1,0,0,0,0,0,0,0,0,0,0,2,118,-,,
"Streptococcus, viridans group",0,0,0,0,0,118,19,354,65,26,21,19,4,0,1,3,0,0,0,2,630,-,,
