Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Enterococcus faecalis,0,0,0,0,0,0,0,0,0,4,16,7,0,0,0,0,0,0,0,1,27,-,,
Enterococcus faecium,0,0,0,0,0,0,0,0,0,2,3,4,1,0,0,0,4,2,0,1,16,-,,
Haemophilus influenzae,0,0,0,0,0,2,0,9,39,129,294,124,46,44,23,10,5,53,0,2,778,-,,
Neisseria meningitidis,0,0,0,8,11,13,107,226,140,39,9,0,0,0,0,0,0,0,0,10,553,1,,
Staphylococcus aureus,0,0,1,338,309,96,234,539,613,460,206,77,37,23,10,4,4,16,0,4,2967,-,,
Staphylococcus coagulase negative,0,0,0,6,5,4,6,4,7,1,2,1,2,0,1,0,1,0,0,1,40,-,,
Staphylococcus saprophyticus,0,0,0,0,5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,18,-,,
Streptococcus pneumoniae,0,41,327,594,103,24,20,27,30,16,16,3,0,0,0,0,0,0,0,4,1201,-,,
Streptococcus pyogenes,0,0,40,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,114,-,,
"Streptococcus, viridans group",0,0,0,0,0,7,6,8,3,0,0,1,0,0,0,0,0,0,0,1,25,-,,
