Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,79,9,10,10,68,10,20,11,21,31,58,54,74,80,170,184,61,55,950,-,,
Acinetobacter lwoffii,0,0,0,0,0,0,6,2,169,22,17,25,31,20,9,6,37,1,3,1,348,-,,
Aeromonas hydrophila,0,0,0,0,0,0,0,0,0,8,14,19,7,3,2,1,1,0,0,1,55,-,,
Anaerobic cocci Gram positive,0,0,0,0,0,29,85,8,7,1,2,2,6,3,0,2,0,0,0,1,145,-,,
Bacteroides fragilis,0,0,0,15,4,67,414,323,207,244,195,171,119,78,39,10,6,6,10,5,1908,1,,
Bacteroides fragilis group,0,0,2,25,14,149,309,585,277,345,458,370,297,165,175,281,16,22,8,7,3498,1,,
Bacteroides ovatus,0,0,0,1,0,0,1,2,3,6,6,8,9,9,8,0,0,0,0,2,53,-,,
Bacteroides thetaiotaomicron,0,0,0,0,0,2,10,4,2,9,10,24,49,49,27,5,1,7,4,4,203,-,,
Burkholderia cepacia complex,0,0,0,1,0,0,1,6,18,14,6,11,5,10,5,3,5,1,1,4,87,-,,
Citrobacter freundii,0,0,0,0,0,1,1,1,62,297,782,236,148,143,122,160,135,25,38,6,2151,8,,
Citrobacter koseri,0,0,0,0,0,1,0,1,14,69,377,94,51,23,3,4,3,1,0,3,641,-8,,
Clostridioides difficile,0,0,0,0,0,0,0,1,18,162,716,1157,869,135,29,2,0,0,0,5,3089,32, 8-64,
Clostridium perfringens,0,0,11,24,36,33,18,8,3,7,1,1,2,0,0,0,0,0,0,3,144,-0.125,,
Enterobacter agglomerans,0,0,0,0,0,0,0,3,25,20,5,5,0,0,0,0,0,0,0,1,58,-,,
Enterobacter cloacae,0,0,0,2,9,15,42,166,672,1607,4117,1715,728,557,682,807,986,168,97,59,12370,8,,
Enterobacter dissolvens,0,0,0,0,0,0,0,0,1,4,24,4,2,1,2,0,0,0,0,1,38,-,,
Enterococcus faecalis,0,0,0,6,6,5,12,9,50,210,1093,4393,1325,331,134,30,74,22,4,10,7704,16,,
Enterococcus faecium,0,0,0,0,0,0,0,0,3,14,17,30,40,95,92,67,1680,357,507,6,2902,-,,
Escherichia coli,0,0,8,6,9,47,105,221,2978,16380,20925,5517,1917,1239,815,538,765,236,89,83,51795,8,,
Escherichia coli ATCC 25922,0,0,0,0,0,0,0,0,0,0,35,96,0,0,0,0,0,0,0,3,131,-,,
Fusobacterium spp,0,0,0,1,1,4,64,3,3,7,3,1,0,4,0,1,0,0,0,1,92,-,,
Haemophilus influenzae,0,8,63,98,97,41,14,14,7,3,1,0,0,0,0,0,0,0,0,3,346,-0.064,,
Klebsiella aerogenes,0,0,0,0,2,0,2,5,44,243,1012,646,314,346,431,340,146,70,53,53,3654,8,,
Klebsiella oxytoca,0,0,3,2,2,8,12,39,300,1201,1502,523,201,94,54,62,359,193,66,59,4621,8,,
Klebsiella pneumoniae,0,0,2,0,3,11,24,46,444,2539,7785,5041,1802,1076,560,397,1280,336,209,77,21555,8,,
Listeria monocytogenes,0,0,0,0,0,0,0,1,6,18,48,50,6,0,0,0,0,0,0,3,129,-8,,
Morganella morganii,0,0,0,1,2,8,94,144,749,166,62,43,31,17,14,11,7,0,0,9,1349,2,,
Prevotella spp,0,0,0,5,1,0,116,8,2,13,8,7,1,4,0,1,0,0,0,1,166,-,,
Proteus mirabilis,0,0,0,2,5,21,365,831,3405,553,135,78,40,29,25,18,8,2,3,14,5520,2,,
Proteus vulgaris,0,0,0,0,6,4,42,61,242,61,15,3,6,4,1,0,2,0,0,5,447,2,,
Providencia rettgeri,0,0,0,0,0,0,1,2,70,15,5,3,0,3,0,0,0,0,0,3,99,-2,,
Providencia stuartii,0,0,0,1,0,0,0,1,15,33,60,64,26,11,2,5,2,0,0,3,220,-8,,
Pseudomonas aeruginosa,0,0,5,1,0,4,23,37,453,886,3147,10479,5692,3595,1879,1506,3135,863,161,71,31866,16,,
Pseudomonas fluorescens group,0,0,0,0,0,0,1,0,5,24,69,95,74,41,14,8,19,3,118,5,471,16,,
Pseudomonas stutzeri group,0,0,0,0,0,0,0,2,6,15,14,1,0,0,0,0,0,0,0,2,38,-,,
Raoultella spp,0,0,0,0,0,0,0,0,4,10,25,8,6,3,0,1,1,2,0,2,60,-,,
Rothia dentocariosa,0,0,0,0,0,0,0,0,0,167,3,1,0,1,1,0,1,0,0,1,174,-,,
Salmonella enterica,0,0,0,0,0,0,0,0,17,144,674,710,112,15,7,8,8,9,8,3,1712,-8,,
Salmonella Enteritidis,0,0,0,0,0,0,0,0,4,9,205,327,17,4,0,0,1,0,0,2,567,-,,
Salmonella Typhi,0,0,0,0,0,0,0,0,5,106,152,42,12,1,1,1,1,2,0,1,323,-,,
Salmonella Typhimurium,0,0,0,0,0,0,0,0,1,8,52,65,38,4,3,3,2,6,7,1,189,-,,
Serratia liquefaciens,0,0,0,0,0,0,0,0,17,95,133,31,8,7,14,7,5,2,142,5,461,8,,
Serratia marcescens,0,0,1,0,0,0,1,4,292,1138,1331,516,189,158,213,141,140,29,1,8,4154,8,,
Shigella flexneri,0,0,0,0,0,0,0,1,59,47,146,57,10,0,0,0,1,0,0,1,321,-,,
Shigella sonnei,0,0,0,0,0,0,0,0,16,165,231,11,3,0,0,0,0,0,0,1,426,-,,
Staphylococcus aureus,0,0,16,17,19,34,187,526,1374,1526,1523,578,140,77,50,47,30,43,0,45,6187,2,,
Staphylococcus aureus MRSA,0,0,0,0,0,0,0,0,1,1,5,6,9,2,17,103,227,33,0,4,404,-,,
Staphylococcus aureus MSSA,0,0,0,0,0,0,1,2,100,210,187,51,18,1,1,0,0,0,0,4,571,-,,
Staphylococcus capitis,0,0,0,0,1,1,8,11,79,31,15,10,11,6,3,9,4,0,0,2,189,-,,
Staphylococcus coagulase negative,0,0,0,1,7,44,131,124,205,225,142,51,32,21,7,7,23,34,1,5,1055,-,,
Staphylococcus epidermidis,0,0,0,5,5,10,92,130,663,819,823,477,271,123,79,82,91,28,1,5,3699,-,,
Staphylococcus epidermidis MSSE,0,0,0,0,0,0,22,20,19,18,2,3,0,0,0,0,0,0,0,2,84,-,,
Staphylococcus haemolyticus,0,0,1,1,1,0,2,5,25,42,21,33,39,31,20,34,131,38,9,4,433,-,,
Staphylococcus hominis,0,0,0,1,1,0,2,3,76,46,40,51,80,22,6,11,20,0,0,2,359,-,,
Staphylococcus saprophyticus,0,0,0,0,0,1,6,1,17,27,39,13,11,7,2,2,7,3,0,3,136,-,,
Staphylococcus warneri,0,0,0,0,0,0,2,1,34,32,7,4,11,8,4,1,2,1,0,1,107,-,,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,8,16,29,120,354,685,726,554,2208,258,90,16,5048,-,,
Streptococcus agalactiae,0,0,4,8,7,30,156,372,1775,120,3,3,0,1,1,0,2,2,0,8,2484,1,,
Streptococcus anginosus,0,0,0,1,2,10,32,36,78,15,4,2,2,5,1,1,1,5,0,6,195,1,,
Streptococcus group G,0,0,0,11,47,144,49,6,13,1,0,0,0,0,0,0,0,0,0,6,271,0.25,,
Streptococcus milleri,0,0,0,0,2,6,8,9,61,13,2,0,1,0,0,0,0,0,0,2,102,-,,
Streptococcus oralis,0,1,15,32,52,11,20,23,16,8,5,7,3,3,0,0,0,0,0,4,196,-,,
Streptococcus pneumoniae,2,12,421,694,183,72,13,43,145,24,48,47,12,0,0,0,0,0,0,7,1716,0.064,,
Streptococcus pyogenes,0,0,3,22,188,290,73,8,64,3,1,1,0,0,0,0,0,0,0,7,653,0.25,,
"Streptococcus, viridans group",0,2,17,49,70,54,149,132,88,35,23,30,22,11,2,2,0,1,0,6,687,-,,
