Species,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions ,Observations,(T)ECOFF,CI,
Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,12,38,88,455,726,546,159,257,1631,83,5,3995,-,,
Acinetobacter lwoffii,0,0,0,0,0,0,0,0,0,63,67,121,148,112,65,12,12,65,18,2,683,-,,
Bacteroides capillosus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,-,,
Bacteroides fragilis,0,0,0,0,0,0,3,4,8,15,13,21,24,12,5,7,7,31,3,2,153,-,,
Bacteroides fragilis group,0,0,0,3,1,10,18,31,37,68,142,113,119,168,114,83,59,83,14,4,1063,-,,
Bacteroides uniformis,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,4,-,,
Burkholderia cepacia complex,0,0,0,0,0,0,0,4,6,1,3,1,4,3,3,5,0,1,0,2,31,-,,
Citrobacter freundii,0,0,0,0,0,0,1,0,11,60,430,169,45,41,42,55,106,164,38,7,1162,-,,
Clostridioides difficile,0,0,0,0,0,0,0,0,0,0,16,225,392,168,71,22,3,22,0,3,919,-32,8 - 128,
Clostridium butyricum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,,
Clostridium perfringens,0,0,12,23,35,27,18,10,4,3,2,2,1,1,0,0,0,0,0,4,138,-,,
Corynebacterium jeikeium,0,0,0,0,0,4,0,3,4,2,0,0,0,47,0,0,0,0,0,1,60,-,,
Enterobacter cloacae,0,0,0,0,0,0,1,0,10,358,1313,521,166,120,123,181,258,402,102,8,3555,-,,
Enterococcus faecalis,0,0,0,0,0,13,82,135,484,3713,3401,1205,306,111,5,5,1,2,0,5,9463,8,,
Enterococcus faecium,0,0,0,0,0,10,12,11,30,43,50,152,68,3121,9,11,2,5,47,4,3571,-,,
Enterococcus gallinarum,0,0,0,0,0,0,0,0,18,28,24,8,4,29,0,0,0,0,0,1,111,-,,
Escherichia coli,0,0,0,0,0,6,16,38,314,4833,6891,1218,388,776,1335,1140,1185,2043,1295,15,21478,8,,
Klebsiella aerogenes,0,0,0,0,0,0,0,0,6,21,215,157,32,31,37,51,52,58,52,6,712,-,,
Klebsiella oxytoca,0,0,0,0,0,0,0,0,7,76,210,590,792,358,98,44,156,245,110,8,2686,-,,
Klebsiella pneumoniae,0,0,0,0,0,0,0,2,21,199,509,1567,1024,422,226,166,279,435,219,7,5069,-,,
Morganella morganii,0,0,0,0,0,2,8,25,40,164,571,207,13,7,4,6,2,12,2,4,1063,-,,
Proteus mirabilis,0,0,0,0,0,0,24,112,105,68,13,7,3,4,4,5,12,55,1,6,413,-,,
Proteus vulgaris,0,0,0,0,0,0,13,35,62,120,97,21,2,2,0,4,1,5,0,3,362,-,,
Providencia rettgeri,0,0,0,0,0,0,0,1,23,33,22,2,0,0,0,0,2,2,0,2,85,-,,
Providencia stuartii,0,0,0,0,0,0,2,14,54,75,32,9,2,0,0,0,0,5,0,2,193,-,,
Pseudomonas aeruginosa,0,0,0,0,0,0,9,4,45,340,1095,3429,1446,884,331,237,199,245,192,12,8456,16,,
Pseudomonas fluorescens group,0,0,0,0,0,1,3,3,31,53,64,72,47,28,5,3,2,6,117,3,435,-,,
Pseudomonas stutzeri group,0,0,0,0,0,0,0,1,1,18,16,2,0,0,0,0,0,0,0,2,38,-,,
Salmonella enterica,0,0,0,0,0,6,251,623,766,1,2,0,0,0,0,0,0,0,0,1,1649,-,,
Salmonella Enteritidis,0,0,0,0,0,0,38,208,309,0,0,0,0,0,0,0,0,0,0,1,555,-,,
Salmonella Paratyphi,0,0,0,0,0,0,13,22,34,0,0,0,0,0,0,0,0,0,0,1,69,-,,
Salmonella Typhi,0,0,0,0,0,2,123,87,110,0,1,0,0,0,0,0,0,0,0,1,323,-,,
Salmonella Typhimurium,0,0,0,0,0,1,15,72,100,0,1,0,0,0,0,0,0,0,0,1,189,-,,
Serratia liquefaciens,0,0,0,0,0,0,2,10,30,19,16,6,0,1,0,0,0,0,0,1,84,-,,
Serratia marcescens,0,0,0,0,0,0,0,2,21,215,384,127,57,32,36,19,39,136,163,7,1231,-,,
Shigella flexneri,0,0,0,0,0,14,85,48,173,1,0,0,0,0,0,0,0,0,0,1,321,-,,
Shigella sonnei,0,0,0,0,0,30,215,59,121,1,0,0,0,0,0,0,0,0,0,1,426,-,,
Staphylococcus aureus,0,0,0,0,0,2,29,106,193,145,308,273,114,104,53,55,15,4,0,3,1401,-2,,
Staphylococcus coagulase negative,0,0,0,1,7,52,105,114,195,253,194,145,82,49,25,12,15,35,26,5,1310,-,,
Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,1,5,5,28,83,2259,62,30,19,71,42,8,2605,-,,
Streptococcus agalactiae,0,0,0,3,3,12,130,50,3,3,0,0,0,0,0,0,0,0,0,4,204,-,,
Streptococcus pneumoniae,1,7,268,296,30,4,8,8,8,6,10,4,2,0,0,0,0,0,0,4,652,-,,
"Streptococcus, viridans group",0,0,6,16,18,16,36,22,11,6,5,1,2,4,0,1,0,0,0,2,144,-,,
